Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Goodyear,David M. Pelly,Janko Peric,Donna Reid,Gareth White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Cambridge/Cambridge"," 1","Cambridge",114,1,71,48,32,1,267,448
"Cambridge/Cambridge"," 2A","Cambridge",166,1,103,41,18,1,330,524
"Cambridge/Cambridge"," 2B","Mobile poll/Bureau itinérant",33,1,32,12,5,1,84,63
"Cambridge/Cambridge"," 3","Cambridge",57,0,48,33,6,0,144,281
"Cambridge/Cambridge"," 4","Cambridge",79,0,53,40,9,0,181,276
"Cambridge/Cambridge"," 5","Cambridge",69,1,53,24,8,1,156,247
"Cambridge/Cambridge"," 6","Cambridge",89,1,88,58,10,0,246,387
"Cambridge/Cambridge"," 7","Cambridge",45,0,58,23,6,0,132,238
"Cambridge/Cambridge"," 8","Cambridge",65,1,54,50,14,0,184,298
"Cambridge/Cambridge"," 9","Cambridge",92,2,56,35,10,0,195,313
"Cambridge/Cambridge"," 10","Cambridge",72,3,63,45,16,0,199,359
"Cambridge/Cambridge"," 11","Cambridge",111,1,74,47,22,0,255,416
"Cambridge/Cambridge"," 12","Cambridge",84,1,39,43,10,0,177,318
"Cambridge/Cambridge"," 13","Cambridge",99,3,58,27,10,0,197,348
"Cambridge/Cambridge"," 14","Cambridge",114,0,79,30,12,0,235,451
"Cambridge/Cambridge"," 15","Cambridge",74,0,60,24,11,0,169,346
"Cambridge/Cambridge"," 16","Cambridge",121,2,101,37,16,1,278,448
"Cambridge/Cambridge"," 17","Cambridge",94,1,35,55,11,0,196,344
"Cambridge/Cambridge"," 18","Cambridge",96,0,72,39,19,0,226,346
"Cambridge/Cambridge"," 19","Cambridge",117,0,61,34,27,0,239,364
"Cambridge/Cambridge"," 20","Cambridge",98,0,62,21,14,1,196,316
"Cambridge/Cambridge"," 21","Cambridge",86,0,64,37,5,0,192,377
"Cambridge/Cambridge"," 22","Cambridge",86,0,61,29,12,0,188,323
"Cambridge/Cambridge"," 23","Cambridge",107,1,85,28,6,1,228,432
"Cambridge/Cambridge"," 24A","Cambridge",117,0,93,40,3,0,253,413
"Cambridge/Cambridge"," 24B","Cambridge",93,0,66,23,18,1,201,328
"Cambridge/Cambridge"," 24C","Cambridge",96,1,72,28,6,3,206,371
"Cambridge/Cambridge"," 25","Cambridge",110,0,107,37,7,1,262,448
"Cambridge/Cambridge"," 26","Cambridge",106,1,65,43,11,2,228,360
"Cambridge/Cambridge"," 27","Cambridge",118,2,86,38,31,1,276,415
"Cambridge/Cambridge"," 28","Cambridge",122,0,92,21,7,0,242,380
"Cambridge/Cambridge"," 29","Cambridge",102,1,62,24,4,1,194,331
"Cambridge/Cambridge"," 30","Cambridge",91,2,72,35,7,2,209,295
"Cambridge/Cambridge"," 31","Cambridge",71,1,28,43,13,0,156,310
"Cambridge/Cambridge"," 32","Cambridge",145,3,78,45,15,3,289,434
"Cambridge/Cambridge"," 33","Cambridge",78,2,49,40,18,0,187,348
"Cambridge/Cambridge"," 34","Cambridge",80,2,70,40,10,1,203,409
"Cambridge/Cambridge"," 35","Cambridge",89,0,50,47,13,2,201,384
"Cambridge/Cambridge"," 36A","Cambridge",97,0,61,18,13,1,190,323
"Cambridge/Cambridge"," 36B","Mobile poll/Bureau itinérant",Merged with No. 2B/Fusionné avec le nº 2B,,,,,,,16
"Cambridge/Cambridge"," 37A","Cambridge",62,0,46,30,5,0,143,262
"Cambridge/Cambridge"," 37B","Cambridge",59,1,42,37,12,1,152,264
"Cambridge/Cambridge"," 38A","Cambridge",61,0,30,29,6,0,126,235
"Cambridge/Cambridge"," 38B","Mobile poll/Bureau itinérant",Merged with No. 2B/Fusionné avec le nº 2B,,,,,,,50
"Cambridge/Cambridge"," 39","Cambridge",54,1,48,23,9,0,135,294
"Cambridge/Cambridge"," 40","Cambridge",74,1,43,49,10,0,177,302
"Cambridge/Cambridge"," 41","Cambridge",69,2,53,34,6,1,165,320
"Cambridge/Cambridge"," 42","Cambridge",56,2,65,27,5,0,155,306
"Cambridge/Cambridge"," 43","Cambridge",49,1,38,24,6,0,118,220
"Cambridge/Cambridge"," 44","Cambridge",110,1,63,53,11,1,239,448
"Cambridge/Cambridge"," 45","Cambridge",75,0,42,33,9,0,159,311
"Cambridge/Cambridge"," 46","Cambridge",103,1,81,50,13,0,248,462
"Cambridge/Cambridge"," 47","Cambridge",83,0,58,30,8,0,179,314
"Cambridge/Cambridge"," 48","Cambridge",113,0,83,37,11,0,244,452
"Cambridge/Cambridge"," 49","Cambridge",103,0,90,53,9,1,256,432
"Cambridge/Cambridge"," 50","Cambridge",69,0,57,48,12,0,186,353
"Cambridge/Cambridge"," 51","Cambridge",77,1,80,30,24,0,212,326
"Cambridge/Cambridge"," 52","Cambridge",76,0,68,61,16,0,221,413
"Cambridge/Cambridge"," 53","Cambridge",83,1,85,56,16,0,241,377
"Cambridge/Cambridge"," 54A","Cambridge",71,0,47,32,4,0,154,258
"Cambridge/Cambridge"," 54B","Cambridge",64,1,42,32,6,0,145,256
"Cambridge/Cambridge"," 55","Cambridge",117,0,90,51,28,0,286,428
"Cambridge/Cambridge"," 56","Cambridge",81,0,88,61,18,1,249,434
"Cambridge/Cambridge"," 57","Cambridge",89,3,68,55,19,0,234,414
"Cambridge/Cambridge"," 58","Cambridge",88,1,70,53,7,0,219,397
"Cambridge/Cambridge"," 59","Cambridge",45,1,37,28,14,0,125,254
"Cambridge/Cambridge"," 60","Cambridge",65,2,56,72,15,0,210,434
"Cambridge/Cambridge"," 61","Cambridge",86,0,38,48,10,0,182,333
"Cambridge/Cambridge"," 62","Cambridge",89,2,77,51,5,0,224,375
"Cambridge/Cambridge"," 63","Cambridge",80,1,68,50,19,1,219,402
"Cambridge/Cambridge"," 64","Cambridge",124,1,88,40,21,2,276,401
"Cambridge/Cambridge"," 65","Cambridge",137,0,87,41,14,0,279,396
"Cambridge/Cambridge"," 66A","Cambridge",61,1,58,32,2,0,154,302
"Cambridge/Cambridge"," 66B","Cambridge",62,1,49,22,7,3,144,289
"Cambridge/Cambridge"," 67A","Cambridge",48,2,49,26,10,0,135,248
"Cambridge/Cambridge"," 67B","Cambridge",45,2,38,35,5,1,126,228
"Cambridge/Cambridge"," 68","Cambridge",75,0,68,33,20,1,197,329
"Cambridge/Cambridge"," 69","Cambridge",93,3,85,46,14,2,243,395
"Cambridge/Cambridge"," 70","Cambridge",92,1,67,44,10,0,214,365
"Cambridge/Cambridge"," 71","Cambridge",95,1,64,37,13,0,210,314
"Cambridge/Cambridge"," 72A","Cambridge",82,0,85,55,10,0,232,334
"Cambridge/Cambridge"," 72B","Mobile poll/Bureau itinérant",Merged with No. 2B/Fusionné avec le nº 2B,,,,,,,20
"Cambridge/Cambridge"," 73","Cambridge",101,0,81,30,15,0,227,399
"Cambridge/Cambridge"," 74","Cambridge",98,0,96,43,24,0,261,469
"Cambridge/Cambridge"," 75","Cambridge",110,0,79,33,10,0,232,401
"Cambridge/Cambridge"," 76A","Cambridge",95,1,71,28,6,0,201,405
"Cambridge/Cambridge"," 76B","Cambridge",91,0,63,30,9,2,195,383
"Cambridge/Cambridge"," 77","Cambridge",88,0,81,30,9,0,208,425
"Cambridge/Cambridge"," 78","Cambridge",80,1,69,33,9,0,192,404
"Cambridge/Cambridge"," 79","Cambridge",61,1,64,31,5,0,162,283
"Cambridge/Cambridge"," 80","Cambridge",75,0,53,53,10,0,191,307
"Cambridge/Cambridge"," 81","Cambridge",55,1,42,18,8,2,126,241
"Cambridge/Cambridge"," 82","Cambridge",77,0,77,40,7,0,201,333
"Cambridge/Cambridge"," 83","Cambridge",50,1,33,12,5,0,101,188
"Cambridge/Cambridge"," 84","Cambridge",82,1,69,33,7,1,193,367
"Cambridge/Cambridge"," 85","Cambridge",90,0,94,48,6,0,238,471
"Cambridge/Cambridge"," 86","Cambridge",75,0,63,49,11,0,198,379
"Cambridge/Cambridge"," 87","Cambridge",91,2,85,45,19,1,243,410
"Cambridge/Cambridge"," 88","Cambridge",86,1,72,55,8,1,223,424
"Cambridge/Cambridge"," 89","Cambridge",51,0,74,37,5,1,168,301
"Cambridge/Cambridge"," 90","Cambridge",115,1,78,38,4,2,238,415
"Cambridge/Cambridge"," 91A","Cambridge",39,0,61,23,4,2,129,269
"Cambridge/Cambridge"," 91B","Cambridge",55,0,52,19,6,1,133,246
"Cambridge/Cambridge"," 92","Cambridge",113,0,89,37,18,0,257,388
"Cambridge/Cambridge"," 93","Cambridge",79,0,58,38,13,0,188,334
"Cambridge/Cambridge"," 94","Cambridge",93,0,56,42,10,0,201,333
"Cambridge/Cambridge"," 95","Cambridge",90,1,62,38,5,0,196,290
"Cambridge/Cambridge"," 96","Cambridge",133,2,79,46,12,0,272,381
"Cambridge/Cambridge"," 97","Cambridge",123,0,108,35,14,0,280,404
"Cambridge/Cambridge"," 98","Cambridge",56,0,31,24,9,0,120,216
"Cambridge/Cambridge"," 99A","Cambridge",88,3,103,18,7,1,220,386
"Cambridge/Cambridge"," 99B","Cambridge",83,0,81,26,6,1,197,368
"Cambridge/Cambridge"," 100","Cambridge",106,0,89,32,11,0,238,441
"Cambridge/Cambridge"," 101","Cambridge",74,1,105,18,5,1,204,352
"Cambridge/Cambridge"," 102","Cambridge",128,0,102,45,7,2,284,458
"Cambridge/Cambridge"," 103A","Cambridge",76,0,100,18,7,1,202,324
"Cambridge/Cambridge"," 103B","Cambridge",72,0,84,28,3,0,187,315
"Cambridge/Cambridge"," 104A","Cambridge",92,0,95,27,11,1,226,368
"Cambridge/Cambridge"," 104B","Cambridge",61,0,63,29,7,1,161,329
"Cambridge/Cambridge"," 105","Cambridge",108,0,94,19,5,0,226,393
"Cambridge/Cambridge"," 106","Cambridge",70,0,50,15,3,0,138,228
"Cambridge/Cambridge"," 107","Cambridge",119,0,65,32,14,0,230,353
"Cambridge/Cambridge"," 108","Cambridge",82,0,59,1,7,0,149,248
"Cambridge/Cambridge"," 109","Cambridge",119,0,117,23,10,1,270,409
"Cambridge/Cambridge"," 110","Cambridge",108,0,115,27,11,1,262,437
"Cambridge/Cambridge"," 111","Cambridge",137,0,97,26,6,0,266,433
"Cambridge/Cambridge"," 112","Cambridge",71,1,77,27,13,0,189,352
"Cambridge/Cambridge"," 113","Cambridge",97,1,104,23,16,0,241,394
"Cambridge/Cambridge"," 114A","Cambridge",68,0,81,26,10,0,185,297
"Cambridge/Cambridge"," 114B","Cambridge",77,3,72,21,8,0,181,303
"Cambridge/Cambridge"," 115","Cambridge",100,0,132,28,6,0,266,405
"Cambridge/Cambridge"," 116","Cambridge",116,3,101,33,17,0,270,458
"Cambridge/Cambridge"," 117","Cambridge",98,2,113,27,11,0,251,409
"Cambridge/Cambridge"," 118","Cambridge",48,1,66,22,9,2,148,234
"Cambridge/Cambridge"," 119","Cambridge",79,0,66,18,8,0,171,339
"Cambridge/Cambridge"," 120","Cambridge",91,1,51,39,12,0,194,297
"Cambridge/Cambridge"," 121","Cambridge",112,0,98,18,13,0,241,341
"Cambridge/Cambridge"," 122","Cambridge",135,1,90,30,17,2,275,422
"Cambridge/Cambridge"," 123A","Cambridge",75,0,59,33,6,1,174,268
"Cambridge/Cambridge"," 123B","Cambridge",89,0,60,40,6,0,195,276
"Cambridge/Cambridge"," 124A","Cambridge",83,1,47,39,8,0,178,275
"Cambridge/Cambridge"," 124B","Cambridge",58,0,57,35,8,0,158,250
"Cambridge/Cambridge"," 125","Cambridge",87,2,94,44,11,0,238,378
"Cambridge/Cambridge"," 126","Cambridge",102,0,77,31,17,0,227,331
"Cambridge/Cambridge"," 127","Cambridge",63,2,76,47,22,0,210,379
"Cambridge/Cambridge"," 128","Cambridge",68,0,50,52,16,1,187,482
"Cambridge/Cambridge"," 129","Cambridge",83,0,86,57,6,2,234,456
"Cambridge/Cambridge"," 130","Cambridge",78,0,62,43,10,1,194,371
"Cambridge/Cambridge"," 131","Cambridge",86,6,99,41,11,5,248,506
"Cambridge/Cambridge"," 132","Cambridge",89,3,75,35,11,1,214,447
"Cambridge/Cambridge"," 133A","Cambridge",42,3,78,21,4,1,149,263
"Cambridge/Cambridge"," 133B","Cambridge",34,2,71,24,3,1,135,257
"Cambridge/Cambridge"," 134","Cambridge",77,1,96,25,6,1,206,411
"Cambridge/Cambridge"," 135","Cambridge",68,0,58,44,11,1,182,411
"Cambridge/Cambridge"," 136","Cambridge",101,1,94,39,9,1,245,433
"Cambridge/Cambridge"," 137","Cambridge",71,0,74,36,4,0,185,386
"Cambridge/Cambridge"," 138","Cambridge",85,1,83,50,4,2,225,380
"Cambridge/Cambridge"," 139","Cambridge",69,0,54,38,9,1,171,438
"Cambridge/Cambridge"," 140","Cambridge",85,3,82,52,17,0,239,394
"Cambridge/Cambridge"," 141","Cambridge",71,0,80,44,12,2,209,440
"Cambridge/Cambridge"," 142","Cambridge",86,1,66,49,16,1,219,390
"Cambridge/Cambridge"," 143A","Cambridge",51,0,41,25,7,2,126,308
"Cambridge/Cambridge"," 143B","Cambridge",41,0,42,37,14,2,136,287
"Cambridge/Cambridge"," 144","Cambridge",111,4,85,63,23,4,290,471
"Cambridge/Cambridge"," 145","Cambridge",88,2,86,51,20,2,249,448
"Cambridge/Cambridge"," 146","Cambridge",88,0,75,49,16,0,228,390
"Cambridge/Cambridge"," 147","Cambridge",89,0,74,51,16,1,231,431
"Cambridge/Cambridge"," 148","Cambridge",158,0,116,45,14,2,335,502
"Cambridge/Cambridge"," 149","Cambridge",108,0,97,37,16,1,259,406
"Cambridge/Cambridge"," 150","Cambridge",79,0,72,23,11,0,185,280
"Cambridge/Cambridge"," 151","Cambridge",80,0,84,49,8,1,222,307
"Cambridge/Cambridge"," 152A","Cambridge",65,1,28,27,15,1,137,257
"Cambridge/Cambridge"," 152B","Cambridge",54,0,35,28,14,0,131,247
"Cambridge/Cambridge"," 153","Cambridge",71,0,53,43,16,0,183,320
"Cambridge/Cambridge"," 154","Cambridge",103,0,103,38,21,0,265,412
"Cambridge/Cambridge"," 155","Cambridge",84,0,76,61,27,0,248,446
"Cambridge/Cambridge"," 156","Cambridge",64,2,44,56,18,0,184,312
"Cambridge/Cambridge"," 157","Cambridge",95,0,75,74,18,0,262,402
"Cambridge/Cambridge"," 158","Cambridge",86,0,62,62,8,1,219,342
"Cambridge/Cambridge"," 159","Cambridge",90,1,59,58,11,0,219,374
"Cambridge/Cambridge"," 160A","Cambridge",47,0,42,35,19,0,143,272
"Cambridge/Cambridge"," 160B","Cambridge",41,0,38,29,8,0,116,244
"Cambridge/Cambridge"," 161","Cambridge",40,0,30,24,11,0,105,341
"Cambridge/Cambridge"," 162A","Cambridge",75,1,52,37,5,0,170,262
"Cambridge/Cambridge"," 162B","Cambridge",59,3,58,33,21,0,174,280
"Cambridge/Cambridge"," 163A","Cambridge",72,0,57,23,7,2,161,245
"Cambridge/Cambridge"," 163B","Cambridge",89,1,61,19,14,0,184,259
"Cambridge/Cambridge"," 164","Cambridge",83,0,91,32,10,1,217,374
"Cambridge/Cambridge"," 165","Cambridge",116,1,95,57,13,0,282,453
"Cambridge/Cambridge"," 166","Cambridge",46,0,26,17,5,1,95,323
"Cambridge/Cambridge"," 167A","Cambridge",113,1,71,60,9,0,254,364
"Cambridge/Cambridge"," 167B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,110
"Cambridge/Cambridge"," 168","Cambridge",89,3,47,42,10,0,191,371
"Cambridge/Cambridge"," 169","Cambridge",17,0,22,14,16,0,69,138
"Cambridge/Cambridge"," 170","Cambridge",132,1,87,46,8,1,275,421
"Cambridge/Cambridge"," 171","Cambridge",126,1,111,44,19,1,302,470
"Cambridge/Cambridge"," 172A","Cambridge",73,1,51,41,4,0,170,296
"Cambridge/Cambridge"," 172B","Cambridge",77,1,49,38,8,0,173,285
"Cambridge/Cambridge"," 173","Cambridge",70,1,80,38,10,0,199,338
"Cambridge/Cambridge"," 174","Cambridge",91,0,70,32,18,0,211,331
"Cambridge/Cambridge"," 175","Cambridge",76,1,60,40,12,1,190,408
"Cambridge/Cambridge"," 176","Cambridge",73,0,52,46,13,1,185,339
"Cambridge/Cambridge"," 177","Cambridge",112,3,84,66,12,5,282,421
"Cambridge/Cambridge"," 178","Cambridge",68,1,87,61,13,3,233,403
"Cambridge/Cambridge"," 179","Cambridge",94,0,94,57,18,0,263,413
"Cambridge/Cambridge"," 180","Cambridge",74,2,59,31,12,0,178,323
"Cambridge/Cambridge"," 181","Cambridge",90,1,90,48,11,4,244,464
"Cambridge/Cambridge"," 182","Cambridge",102,2,79,35,11,3,232,467
