Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Chénier,Carl DeFaria,Mohamed Elrofaie,Jim Gill,Albina Guarnieri,Richard Pietro,Sally Wong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 1","Mississauga",2,68,0,14,101,8,0,2,195,436
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 2","Mississauga",0,88,1,12,80,8,0,3,192,305
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 3","Mississauga",0,64,0,28,105,9,4,1,211,394
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 4","Mississauga",0,23,0,7,24,2,2,0,58,162
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 5","Mississauga",0,81,3,31,119,12,2,2,250,622
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 6","Mississauga",0,81,3,34,181,9,2,1,311,661
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 7","Mississauga",2,112,2,22,124,7,4,1,274,520
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 8","Mississauga",2,91,1,18,137,8,14,1,272,439
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 9","Mississauga",2,63,0,44,68,16,1,3,197,395
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 10","Mississauga",0,17,1,23,25,4,2,1,73,173
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 11","Mississauga",3,76,3,30,188,15,3,2,320,849
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 12","Mississauga",0,19,3,7,34,1,0,0,64,194
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 13","Mississauga",1,28,3,28,106,4,0,0,170,456
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 14","Mississauga",1,44,1,30,128,2,3,5,214,450
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 15","Mississauga",0,25,1,14,81,2,3,0,126,324
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 16","Mississauga",1,60,1,25,56,4,1,0,148,343
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 17","Mississauga",0,25,0,15,42,2,0,0,84,204
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 18","Mississauga",0,64,0,22,64,3,9,2,164,341
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 19","Mississauga",1,60,0,17,124,6,1,1,210,389
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 20","Mississauga",0,57,2,22,102,8,0,2,193,361
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 21","Mississauga",1,61,1,7,80,8,0,1,159,308
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 22","Mississauga",1,104,0,29,115,11,11,1,272,507
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 23","Mississauga",0,3,0,2,1,0,0,0,6,19
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 24","Mississauga",0,129,4,45,197,15,3,6,399,839
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 25","Mississauga",0,48,0,20,52,1,0,1,122,290
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 26","Mississauga",0,75,2,27,111,4,6,1,226,595
"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 27","Mississauga",3,88,1,30,135,3,3,2,265,515
