Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Beverly Bernardo,Sarmite Sam Bulte,Lorne Gershuny,Jurij Klufas,Peggy Nash,Terry Parker,Robert L. Rishchynski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Parkdale--High Park/Parkdale--High Park"," 1","York",3,184,1,24,124,2,4,3,345,631
"Parkdale--High Park/Parkdale--High Park"," 2","York",2,53,1,54,95,5,6,4,220,398
"Parkdale--High Park/Parkdale--High Park"," 3","York",0,96,1,71,109,1,13,1,292,472
"Parkdale--High Park/Parkdale--High Park"," 4","York",0,79,0,61,109,2,15,1,267,377
"Parkdale--High Park/Parkdale--High Park"," 5","York",0,64,1,36,74,3,7,0,185,293
"Parkdale--High Park/Parkdale--High Park"," 6","York",0,95,0,46,79,0,15,1,236,367
"Parkdale--High Park/Parkdale--High Park"," 7","York",0,93,0,46,76,3,10,1,229,351
"Parkdale--High Park/Parkdale--High Park"," 8","York",1,87,1,32,85,2,6,2,216,345
"Parkdale--High Park/Parkdale--High Park"," 9","York",0,122,0,50,109,5,11,0,297,425
"Parkdale--High Park/Parkdale--High Park"," 10","York",0,120,0,73,108,4,12,1,318,518
"Parkdale--High Park/Parkdale--High Park"," 11","York",0,91,0,43,74,2,8,2,220,331
"Parkdale--High Park/Parkdale--High Park"," 12","York",0,72,1,55,80,1,14,0,223,330
"Parkdale--High Park/Parkdale--High Park"," 13","York",0,76,0,110,30,1,14,0,231,361
"Parkdale--High Park/Parkdale--High Park"," 14","York",1,89,0,59,60,3,12,0,224,321
"Parkdale--High Park/Parkdale--High Park"," 15","York",0,118,1,67,112,2,15,1,316,476
"Parkdale--High Park/Parkdale--High Park"," 16","Toronto",0,45,0,37,54,0,11,0,147,248
"Parkdale--High Park/Parkdale--High Park"," 17","Toronto",1,112,0,56,93,1,13,3,279,395
"Parkdale--High Park/Parkdale--High Park"," 18","York",0,105,0,69,93,3,11,0,281,450
"Parkdale--High Park/Parkdale--High Park"," 19","York",1,145,0,77,86,1,18,2,330,480
"Parkdale--High Park/Parkdale--High Park"," 20","York",0,135,0,100,146,6,32,0,419,613
"Parkdale--High Park/Parkdale--High Park"," 21","Toronto",0,58,0,34,65,0,15,0,172,240
"Parkdale--High Park/Parkdale--High Park"," 22","Toronto",0,78,0,33,77,2,10,1,201,269
"Parkdale--High Park/Parkdale--High Park"," 23","Toronto",0,142,0,87,71,1,10,0,311,468
"Parkdale--High Park/Parkdale--High Park"," 24","Toronto",1,104,1,96,48,1,12,1,264,431
"Parkdale--High Park/Parkdale--High Park"," 25","Toronto",1,120,0,69,97,4,18,0,309,416
"Parkdale--High Park/Parkdale--High Park"," 26","Toronto",0,114,2,56,64,1,18,0,255,366
"Parkdale--High Park/Parkdale--High Park"," 27","Toronto",0,111,0,49,99,1,14,2,276,428
"Parkdale--High Park/Parkdale--High Park"," 28","Toronto",0,77,0,32,84,1,12,0,206,337
"Parkdale--High Park/Parkdale--High Park"," 29","Toronto",0,104,0,41,104,0,14,0,263,402
"Parkdale--High Park/Parkdale--High Park"," 30","Toronto",0,78,1,75,80,2,15,1,252,359
"Parkdale--High Park/Parkdale--High Park"," 31","Toronto",1,90,0,55,84,0,13,0,243,384
"Parkdale--High Park/Parkdale--High Park"," 32","Toronto",0,127,0,79,105,1,25,0,337,498
"Parkdale--High Park/Parkdale--High Park"," 33","Toronto",0,90,0,72,78,2,29,0,271,375
"Parkdale--High Park/Parkdale--High Park"," 34","Toronto",0,90,0,75,56,0,17,1,239,386
"Parkdale--High Park/Parkdale--High Park"," 35","Toronto",0,125,0,100,88,3,19,3,338,606
"Parkdale--High Park/Parkdale--High Park"," 36","Toronto",1,99,0,72,66,0,12,0,250,362
"Parkdale--High Park/Parkdale--High Park"," 37","Toronto",2,185,1,100,107,0,21,3,419,589
"Parkdale--High Park/Parkdale--High Park"," 38","Toronto",0,99,0,63,72,2,4,1,241,324
"Parkdale--High Park/Parkdale--High Park"," 39","Toronto",0,87,0,18,46,1,7,1,160,285
"Parkdale--High Park/Parkdale--High Park"," 40","Toronto",0,82,0,44,81,1,16,1,225,351
"Parkdale--High Park/Parkdale--High Park"," 41","Toronto",1,73,0,63,61,0,10,3,211,320
"Parkdale--High Park/Parkdale--High Park"," 42","York",0,105,0,42,131,3,9,3,293,490
"Parkdale--High Park/Parkdale--High Park"," 43","Toronto",1,89,0,38,120,1,22,1,272,440
