Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Bracewell,Carol Lee Chapman,Bev Collins,Dick Harris,Christopher S. M. Kempling,Don Roberts,Alfred Julian Trudeau,Simon Yu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Cariboo--Prince George/Cariboo--Prince George"," 1","Hagensborg",31,1,2,99,4,2,93,37,2,271,460
"Cariboo--Prince George/Cariboo--Prince George"," 2","Hagensborg",Void/Supprimé,,,,,,,,,,
"Cariboo--Prince George/Cariboo--Prince George"," 3","Anahim Lake",46,0,1,93,0,1,55,63,1,260,572
"Cariboo--Prince George/Cariboo--Prince George"," 4","Chilanko Forks",9,1,1,27,1,0,14,33,0,86,207
"Cariboo--Prince George/Cariboo--Prince George"," 5","Tatla Lake",21,0,1,53,0,0,21,14,0,110,167
"Cariboo--Prince George/Cariboo--Prince George"," 6","Nemaiah Valley",8,0,2,10,2,1,9,55,0,87,123
"Cariboo--Prince George/Cariboo--Prince George"," 7","Hanceville",7,0,1,12,0,1,12,33,2,68,172
"Cariboo--Prince George/Cariboo--Prince George"," 8","Alexis Creek",15,2,1,38,0,0,45,31,0,132,352
"Cariboo--Prince George/Cariboo--Prince George"," 9","Big Creek",8,0,0,16,0,1,7,7,0,39,121
"Cariboo--Prince George/Cariboo--Prince George"," 10","Nazko",7,0,2,21,0,0,21,4,0,55,155
"Cariboo--Prince George/Cariboo--Prince George"," 11","Quesnel",9,1,1,58,6,0,46,22,0,143,261
"Cariboo--Prince George/Cariboo--Prince George"," 12","Strathnaver",23,1,5,176,6,0,50,65,0,326,508
"Cariboo--Prince George/Cariboo--Prince George"," 13","Wells",9,1,1,42,0,0,45,16,0,114,174
"Cariboo--Prince George/Cariboo--Prince George"," 14","Barlow",20,1,7,110,3,2,62,47,0,252,478
"Cariboo--Prince George/Cariboo--Prince George"," 15","Quesnel",6,1,0,74,8,0,30,33,0,152,256
"Cariboo--Prince George/Cariboo--Prince George"," 16","Quesnel",Merged with No. 17/Fusionné avec le nº 17,,,,,,,,,,60
"Cariboo--Prince George/Cariboo--Prince George"," 17","Moose Heights",9,2,2,141,5,0,65,52,2,278,419
"Cariboo--Prince George/Cariboo--Prince George"," 18","Quesnel",13,0,4,116,5,0,54,37,0,229,437
"Cariboo--Prince George/Cariboo--Prince George"," 19","Quesnel",11,0,1,97,7,0,48,33,0,197,355
"Cariboo--Prince George/Cariboo--Prince George"," 20","Quesnel",25,0,4,134,10,1,54,47,1,276,543
"Cariboo--Prince George/Cariboo--Prince George"," 21","Baker Creek",4,0,2,65,1,0,6,9,0,87,128
"Cariboo--Prince George/Cariboo--Prince George"," 22","Quesnel",3,1,0,92,16,0,61,33,1,207,386
"Cariboo--Prince George/Cariboo--Prince George"," 23","Quesnel",10,0,1,62,1,1,32,25,0,132,215
"Cariboo--Prince George/Cariboo--Prince George"," 24","Narcosli Creek",3,1,0,37,8,0,6,18,0,73,111
"Cariboo--Prince George/Cariboo--Prince George"," 25","Alexandria",1,1,2,37,1,1,25,18,0,86,143
"Cariboo--Prince George/Cariboo--Prince George"," 26","Quesnel",10,0,0,36,0,0,30,20,0,96,159
"Cariboo--Prince George/Cariboo--Prince George"," 27","Kersley",10,0,1,190,5,1,83,59,1,350,561
"Cariboo--Prince George/Cariboo--Prince George"," 28","Kersley",Void/Supprimé,,,,,,,,,,
"Cariboo--Prince George/Cariboo--Prince George"," 29","Quesnel",8,1,2,98,0,2,66,39,1,217,420
"Cariboo--Prince George/Cariboo--Prince George"," 30","Quesnel",9,0,1,121,5,0,42,29,0,207,341
"Cariboo--Prince George/Cariboo--Prince George"," 31","Quesnel",6,0,0,108,0,1,72,38,0,225,416
"Cariboo--Prince George/Cariboo--Prince George"," 32","Quesnel",11,2,1,68,3,0,49,36,0,170,302
