Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stanley Haroun,Peter Johnston,Mike Melymick,John Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton--St. Albert/Edmonton--St. Albert"," 1","St. Albert",55,17,40,304,0,416,674
"Edmonton--St. Albert/Edmonton--St. Albert"," 2","St. Albert",50,12,34,230,0,326,531
"Edmonton--St. Albert/Edmonton--St. Albert"," 3","St. Albert",40,19,35,165,2,261,416
"Edmonton--St. Albert/Edmonton--St. Albert"," 4","St. Albert",26,11,17,74,0,128,221
"Edmonton--St. Albert/Edmonton--St. Albert"," 5","St. Albert",35,10,28,120,0,193,335
"Edmonton--St. Albert/Edmonton--St. Albert"," 6","St. Albert",51,19,54,214,0,338,511
"Edmonton--St. Albert/Edmonton--St. Albert"," 7","St. Albert",53,13,42,207,0,315,485
"Edmonton--St. Albert/Edmonton--St. Albert"," 8","St. Albert",66,18,39,176,1,300,458
"Edmonton--St. Albert/Edmonton--St. Albert"," 9","St. Albert",39,24,46,201,0,310,488
"Edmonton--St. Albert/Edmonton--St. Albert"," 10A","St. Albert",38,31,41,205,0,315,469
"Edmonton--St. Albert/Edmonton--St. Albert"," 10B","St. Albert",45,23,31,194,0,293,471
"Edmonton--St. Albert/Edmonton--St. Albert"," 11","St. Albert",39,14,31,122,0,206,339
"Edmonton--St. Albert/Edmonton--St. Albert"," 12","St. Albert",61,15,35,278,0,389,616
"Edmonton--St. Albert/Edmonton--St. Albert"," 13","St. Albert",30,23,35,131,0,219,328
"Edmonton--St. Albert/Edmonton--St. Albert"," 14","St. Albert",28,19,36,155,0,238,389
"Edmonton--St. Albert/Edmonton--St. Albert"," 15","St. Albert",44,24,37,177,0,282,417
"Edmonton--St. Albert/Edmonton--St. Albert"," 16","St. Albert",28,22,44,138,2,234,375
"Edmonton--St. Albert/Edmonton--St. Albert"," 17","St. Albert",54,31,32,190,1,308,446
"Edmonton--St. Albert/Edmonton--St. Albert"," 18","St. Albert",50,19,29,131,0,229,430
"Edmonton--St. Albert/Edmonton--St. Albert"," 19","St. Albert",30,12,31,161,0,234,360
"Edmonton--St. Albert/Edmonton--St. Albert"," 20","St. Albert",39,18,29,117,0,203,339
"Edmonton--St. Albert/Edmonton--St. Albert"," 21","St. Albert",48,22,32,170,0,272,406
"Edmonton--St. Albert/Edmonton--St. Albert"," 22","St. Albert",28,15,37,111,0,191,318
"Edmonton--St. Albert/Edmonton--St. Albert"," 23","St. Albert",66,25,33,185,0,309,490
"Edmonton--St. Albert/Edmonton--St. Albert"," 24","St. Albert",43,33,41,157,0,274,493
"Edmonton--St. Albert/Edmonton--St. Albert"," 25","St. Albert",46,24,49,174,1,294,481
"Edmonton--St. Albert/Edmonton--St. Albert"," 26","St. Albert",44,20,51,179,1,295,438
"Edmonton--St. Albert/Edmonton--St. Albert"," 27A","St. Albert",60,10,29,215,0,314,628
"Edmonton--St. Albert/Edmonton--St. Albert"," 27B","Mobile poll/Bureau itinérant",Merged with No. 401/Fusionné avec le nº 401,,,,,,19
"Edmonton--St. Albert/Edmonton--St. Albert"," 27C","Mobile poll/Bureau itinérant",Merged with No. 401/Fusionné avec le nº 401,,,,,,17
"Edmonton--St. Albert/Edmonton--St. Albert"," 27D","Mobile poll/Bureau itinérant",Merged with No. 401/Fusionné avec le nº 401,,,,,,5
"Edmonton--St. Albert/Edmonton--St. Albert"," 28A","St. Albert",35,13,25,130,1,204,308
"Edmonton--St. Albert/Edmonton--St. Albert"," 28B","Mobile poll/Bureau itinérant",Merged with No. 401/Fusionné avec le nº 401,,,,,,50
"Edmonton--St. Albert/Edmonton--St. Albert"," 29","St. Albert",27,7,16,121,0,171,308
"Edmonton--St. Albert/Edmonton--St. Albert"," 30","St. Albert",29,12,7,151,0,199,335
"Edmonton--St. Albert/Edmonton--St. Albert"," 31","St. Albert",55,30,44,285,0,414,767
"Edmonton--St. Albert/Edmonton--St. Albert"," 31-1A","St. Albert",44,15,34,197,0,290,468
"Edmonton--St. Albert/Edmonton--St. Albert"," 31-1B","St. Albert",43,9,34,197,0,283,478
"Edmonton--St. Albert/Edmonton--St. Albert"," 32","St. Albert",43,14,40,175,0,272,461
"Edmonton--St. Albert/Edmonton--St. Albert"," 33","St. Albert",22,7,28,169,0,226,354
"Edmonton--St. Albert/Edmonton--St. Albert"," 34","St. Albert",50,9,28,159,0,246,439
"Edmonton--St. Albert/Edmonton--St. Albert"," 35","St. Albert",41,17,28,132,0,218,361
"Edmonton--St. Albert/Edmonton--St. Albert"," 36","St. Albert",59,14,41,197,0,311,525
"Edmonton--St. Albert/Edmonton--St. Albert"," 37","St. Albert",58,17,26,259,0,360,619
"Edmonton--St. Albert/Edmonton--St. Albert"," 38","St. Albert",34,5,10,143,1,193,271
"Edmonton--St. Albert/Edmonton--St. Albert"," 39","St. Albert",21,20,31,68,0,140,311
"Edmonton--St. Albert/Edmonton--St. Albert"," 40","St. Albert",42,22,33,161,2,260,412
"Edmonton--St. Albert/Edmonton--St. Albert"," 41","St. Albert",28,20,28,99,0,175,240
"Edmonton--St. Albert/Edmonton--St. Albert"," 42","St. Albert",26,25,31,112,1,195,285
"Edmonton--St. Albert/Edmonton--St. Albert"," 43","St. Albert",39,21,42,148,0,250,356
"Edmonton--St. Albert/Edmonton--St. Albert"," 44","St. Albert",33,21,34,137,9,234,379
"Edmonton--St. Albert/Edmonton--St. Albert"," 45","St. Albert",55,7,42,216,5,325,485
"Edmonton--St. Albert/Edmonton--St. Albert"," 46","St. Albert",80,21,30,359,1,491,727
"Edmonton--St. Albert/Edmonton--St. Albert"," 46-1","St. Albert",56,15,45,215,2,333,554
"Edmonton--St. Albert/Edmonton--St. Albert"," 47","St. Albert",35,13,23,112,0,183,302
"Edmonton--St. Albert/Edmonton--St. Albert"," 48","St. Albert",19,17,33,151,2,222,369
"Edmonton--St. Albert/Edmonton--St. Albert"," 49","St. Albert",36,17,39,126,0,218,338
"Edmonton--St. Albert/Edmonton--St. Albert"," 50","St. Albert",40,25,50,148,1,264,427
"Edmonton--St. Albert/Edmonton--St. Albert"," 51","St. Albert",35,27,29,139,0,230,397
"Edmonton--St. Albert/Edmonton--St. Albert"," 52","St. Albert",54,23,38,194,0,309,460
"Edmonton--St. Albert/Edmonton--St. Albert"," 53","St. Albert",61,27,40,182,0,310,438
"Edmonton--St. Albert/Edmonton--St. Albert"," 54","St. Albert",68,27,35,156,0,286,505
"Edmonton--St. Albert/Edmonton--St. Albert"," 55","St. Albert",32,19,28,120,0,199,318
"Edmonton--St. Albert/Edmonton--St. Albert"," 56","St. Albert",57,34,40,131,0,262,414
"Edmonton--St. Albert/Edmonton--St. Albert"," 57","St. Albert",40,16,23,115,0,194,311
"Edmonton--St. Albert/Edmonton--St. Albert"," 58","St. Albert",37,21,41,166,0,265,518
"Edmonton--St. Albert/Edmonton--St. Albert"," 59","St. Albert",40,11,31,103,0,185,348
"Edmonton--St. Albert/Edmonton--St. Albert"," 60","St. Albert",40,21,28,139,0,228,351
"Edmonton--St. Albert/Edmonton--St. Albert"," 61","St. Albert",66,21,60,156,0,303,483
"Edmonton--St. Albert/Edmonton--St. Albert"," 62","St. Albert",18,9,9,63,0,99,196
"Edmonton--St. Albert/Edmonton--St. Albert"," 63","St. Albert",37,21,27,156,2,243,375
"Edmonton--St. Albert/Edmonton--St. Albert"," 64","St. Albert",49,41,45,128,0,263,478
"Edmonton--St. Albert/Edmonton--St. Albert"," 65","St. Albert",34,25,33,135,0,227,377
"Edmonton--St. Albert/Edmonton--St. Albert"," 66","St. Albert",37,15,38,143,0,233,397
"Edmonton--St. Albert/Edmonton--St. Albert"," 67","St. Albert",45,10,21,149,0,225,456
"Edmonton--St. Albert/Edmonton--St. Albert"," 68","St. Albert",32,8,23,105,0,168,344
"Edmonton--St. Albert/Edmonton--St. Albert"," 69","St. Albert",38,16,36,117,3,210,384
"Edmonton--St. Albert/Edmonton--St. Albert"," 70","St. Albert",23,20,28,122,3,196,339
"Edmonton--St. Albert/Edmonton--St. Albert"," 71","St. Albert",51,14,36,168,0,269,496
"Edmonton--St. Albert/Edmonton--St. Albert"," 72","St. Albert",28,12,22,122,1,185,304
"Edmonton--St. Albert/Edmonton--St. Albert"," 73","St. Albert",29,10,23,150,0,212,326
"Edmonton--St. Albert/Edmonton--St. Albert"," 74","St. Albert",24,8,24,159,0,215,324
"Edmonton--St. Albert/Edmonton--St. Albert"," 75","St. Albert",28,8,22,174,0,232,363
"Edmonton--St. Albert/Edmonton--St. Albert"," 76","St. Albert",26,10,28,141,0,205,314
"Edmonton--St. Albert/Edmonton--St. Albert"," 77","St. Albert",42,9,21,135,0,207,366
"Edmonton--St. Albert/Edmonton--St. Albert"," 78","St. Albert",46,6,25,162,0,239,366
"Edmonton--St. Albert/Edmonton--St. Albert"," 79","St. Albert",42,24,34,137,1,238,381
"Edmonton--St. Albert/Edmonton--St. Albert"," 80","St. Albert",28,17,30,178,0,253,371
"Edmonton--St. Albert/Edmonton--St. Albert"," 81","St. Albert",37,6,14,67,0,124,225
"Edmonton--St. Albert/Edmonton--St. Albert"," 82","St. Albert",30,12,22,93,1,158,252
"Edmonton--St. Albert/Edmonton--St. Albert"," 83","St. Albert",31,26,33,128,0,218,334
"Edmonton--St. Albert/Edmonton--St. Albert"," 84","St. Albert",43,19,35,187,0,284,438
"Edmonton--St. Albert/Edmonton--St. Albert"," 85","St. Albert",41,10,26,125,0,202,299
"Edmonton--St. Albert/Edmonton--St. Albert"," 86","St. Albert",29,6,16,113,0,164,244
"Edmonton--St. Albert/Edmonton--St. Albert"," 87","St. Albert",42,14,43,170,1,270,244
"Edmonton--St. Albert/Edmonton--St. Albert"," 88","St. Albert",Merged with No. 87/Fusionné avec le nº 87,,,,,,195
"Edmonton--St. Albert/Edmonton--St. Albert"," 89","St. Albert",17,11,27,114,0,169,236
"Edmonton--St. Albert/Edmonton--St. Albert"," 90","St. Albert",26,6,19,115,0,166,255
"Edmonton--St. Albert/Edmonton--St. Albert"," 91","St. Albert",40,14,34,111,1,200,324
"Edmonton--St. Albert/Edmonton--St. Albert"," 92","St. Albert",53,19,38,129,0,239,411
"Edmonton--St. Albert/Edmonton--St. Albert"," 93","St. Albert",36,10,15,122,0,183,292
"Edmonton--St. Albert/Edmonton--St. Albert"," 94","St. Albert",23,10,22,122,0,177,298
"Edmonton--St. Albert/Edmonton--St. Albert"," 95","St. Albert",31,9,30,85,0,155,251
"Edmonton--St. Albert/Edmonton--St. Albert"," 96","St. Albert",47,30,41,204,1,323,502
"Edmonton--St. Albert/Edmonton--St. Albert"," 97","St. Albert",34,27,38,158,0,257,386
"Edmonton--St. Albert/Edmonton--St. Albert"," 98","St. Albert",46,23,29,206,0,304,486
"Edmonton--St. Albert/Edmonton--St. Albert"," 99","St. Albert",43,17,33,151,0,244,376
"Edmonton--St. Albert/Edmonton--St. Albert"," 100","St. Albert",16,6,13,54,0,89,228
"Edmonton--St. Albert/Edmonton--St. Albert"," 101","St. Albert",44,21,46,141,0,252,391
"Edmonton--St. Albert/Edmonton--St. Albert"," 102","St. Albert",48,22,20,137,0,227,380
"Edmonton--St. Albert/Edmonton--St. Albert"," 103","St. Albert",33,12,36,106,0,187,316
"Edmonton--St. Albert/Edmonton--St. Albert"," 104","St. Albert",53,23,67,186,0,329,507
"Edmonton--St. Albert/Edmonton--St. Albert"," 105","Edmonton",14,7,17,86,0,124,266
"Edmonton--St. Albert/Edmonton--St. Albert"," 106","Edmonton",26,9,44,95,1,175,447
"Edmonton--St. Albert/Edmonton--St. Albert"," 107","Edmonton",Void/Supprimé,,,,,,
"Edmonton--St. Albert/Edmonton--St. Albert"," 108","Edmonton",23,17,48,132,0,220,395
"Edmonton--St. Albert/Edmonton--St. Albert"," 109","Edmonton",52,10,39,124,0,225,349
"Edmonton--St. Albert/Edmonton--St. Albert"," 110","Edmonton",28,12,40,132,0,212,365
"Edmonton--St. Albert/Edmonton--St. Albert"," 111","Edmonton",32,12,30,121,1,196,366
"Edmonton--St. Albert/Edmonton--St. Albert"," 112","Edmonton",54,11,59,130,1,255,417
"Edmonton--St. Albert/Edmonton--St. Albert"," 113","Edmonton",66,11,51,152,0,280,552
"Edmonton--St. Albert/Edmonton--St. Albert"," 114","Edmonton",38,11,30,118,0,197,361
"Edmonton--St. Albert/Edmonton--St. Albert"," 115","Edmonton",22,17,36,56,1,132,344
"Edmonton--St. Albert/Edmonton--St. Albert"," 116","Edmonton",56,15,28,119,0,218,390
"Edmonton--St. Albert/Edmonton--St. Albert"," 117","Edmonton",50,19,29,115,2,215,340
"Edmonton--St. Albert/Edmonton--St. Albert"," 118","Edmonton",63,13,43,126,1,246,463
"Edmonton--St. Albert/Edmonton--St. Albert"," 119A","Edmonton",58,28,54,168,1,309,705
"Edmonton--St. Albert/Edmonton--St. Albert"," 119B","Edmonton",63,17,49,151,0,280,576
"Edmonton--St. Albert/Edmonton--St. Albert"," 119C","Edmonton",68,7,33,153,0,261,564
"Edmonton--St. Albert/Edmonton--St. Albert"," 119D","Edmonton",61,13,34,128,0,236,549
"Edmonton--St. Albert/Edmonton--St. Albert"," 120","Edmonton",57,4,41,126,0,228,470
"Edmonton--St. Albert/Edmonton--St. Albert"," 121","Edmonton",51,7,31,110,0,199,349
"Edmonton--St. Albert/Edmonton--St. Albert"," 122","Edmonton",68,21,33,123,0,245,496
"Edmonton--St. Albert/Edmonton--St. Albert"," 123","Edmonton",23,4,29,85,0,141,311
"Edmonton--St. Albert/Edmonton--St. Albert"," 124","Edmonton",56,16,30,97,1,200,448
"Edmonton--St. Albert/Edmonton--St. Albert"," 125A","Edmonton",68,8,35,122,0,233,502
"Edmonton--St. Albert/Edmonton--St. Albert"," 125B","Edmonton",53,11,23,112,0,199,436
"Edmonton--St. Albert/Edmonton--St. Albert"," 126","Edmonton",25,4,25,61,0,115,419
"Edmonton--St. Albert/Edmonton--St. Albert"," 127","Edmonton",41,15,37,139,1,233,426
"Edmonton--St. Albert/Edmonton--St. Albert"," 128","Edmonton",77,13,48,108,1,247,537
"Edmonton--St. Albert/Edmonton--St. Albert"," 129","Edmonton",42,6,34,174,0,256,570
"Edmonton--St. Albert/Edmonton--St. Albert"," 130","Edmonton",42,7,46,136,0,231,572
"Edmonton--St. Albert/Edmonton--St. Albert"," 131","Edmonton",73,21,48,167,0,309,573
"Edmonton--St. Albert/Edmonton--St. Albert"," 132","Edmonton",60,4,29,101,0,194,416
"Edmonton--St. Albert/Edmonton--St. Albert"," 133","Edmonton",28,5,17,54,0,104,270
"Edmonton--St. Albert/Edmonton--St. Albert"," 134","Edmonton",64,13,43,114,0,234,413
"Edmonton--St. Albert/Edmonton--St. Albert"," 135","Edmonton",76,14,39,126,0,255,598
"Edmonton--St. Albert/Edmonton--St. Albert"," 136","Edmonton",42,10,25,105,1,183,360
"Edmonton--St. Albert/Edmonton--St. Albert"," 137","Edmonton",63,22,35,124,0,244,500
"Edmonton--St. Albert/Edmonton--St. Albert"," 138A","Edmonton",41,16,31,93,0,181,403
"Edmonton--St. Albert/Edmonton--St. Albert"," 138B","Edmonton",54,7,29,145,0,235,478
"Edmonton--St. Albert/Edmonton--St. Albert"," 139A","Edmonton",80,12,41,147,0,280,589
"Edmonton--St. Albert/Edmonton--St. Albert"," 139B","Edmonton",86,11,39,148,0,284,588
"Edmonton--St. Albert/Edmonton--St. Albert"," 140","Edmonton",92,17,76,218,2,405,749
"Edmonton--St. Albert/Edmonton--St. Albert"," 141A","Edmonton",72,13,16,146,0,247,436
"Edmonton--St. Albert/Edmonton--St. Albert"," 141B","Edmonton",50,8,36,132,0,226,430
"Edmonton--St. Albert/Edmonton--St. Albert"," 141C","Edmonton",60,12,34,126,1,233,424
"Edmonton--St. Albert/Edmonton--St. Albert"," 142","Edmonton",70,15,38,192,0,315,543
