Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Albert,Simon Bernier,Maude Genet,Monique Guay,Yannick Guénette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Rivière-du-Nord/Rivière-du-Nord"," 1","Saint-Hippolyte",20,6,6,63,6,1,102,229
"Rivière-du-Nord/Rivière-du-Nord"," 2","Saint-Hippolyte",36,8,10,125,29,3,211,422
"Rivière-du-Nord/Rivière-du-Nord"," 3","Saint-Hippolyte",47,26,17,198,27,2,317,677
"Rivière-du-Nord/Rivière-du-Nord"," 4","Saint-Hippolyte",65,20,20,119,39,4,267,510
"Rivière-du-Nord/Rivière-du-Nord"," 5","Saint-Hippolyte",40,22,13,129,20,3,227,415
"Rivière-du-Nord/Rivière-du-Nord"," 6","Saint-Hippolyte",7,7,6,48,11,2,81,167
"Rivière-du-Nord/Rivière-du-Nord"," 7","Saint-Hippolyte",39,23,16,162,12,1,253,541
"Rivière-du-Nord/Rivière-du-Nord"," 8","Saint-Hippolyte",30,24,8,118,13,0,193,362
"Rivière-du-Nord/Rivière-du-Nord"," 9","Saint-Hippolyte",27,17,4,83,13,1,145,326
"Rivière-du-Nord/Rivière-du-Nord"," 10","Saint-Hippolyte",28,17,4,92,15,2,158,336
"Rivière-du-Nord/Rivière-du-Nord"," 11","Saint-Hippolyte",24,15,8,104,24,4,179,367
"Rivière-du-Nord/Rivière-du-Nord"," 12","Saint-Hippolyte",55,30,12,199,27,5,328,644
"Rivière-du-Nord/Rivière-du-Nord"," 13","Saint-Hippolyte",76,33,9,229,27,3,377,677
"Rivière-du-Nord/Rivière-du-Nord"," 14","Prévost",71,47,30,274,15,9,446,676
"Rivière-du-Nord/Rivière-du-Nord"," 15","Prévost",60,36,30,225,26,4,381,713
"Rivière-du-Nord/Rivière-du-Nord"," 16","Prévost",42,17,8,159,24,2,252,588
"Rivière-du-Nord/Rivière-du-Nord"," 17","Prévost",68,32,18,179,29,6,332,562
"Rivière-du-Nord/Rivière-du-Nord"," 18","Prévost",63,33,12,144,29,5,286,528
"Rivière-du-Nord/Rivière-du-Nord"," 19","Prévost",27,17,8,86,21,3,162,358
"Rivière-du-Nord/Rivière-du-Nord"," 20","Prévost",103,40,20,238,31,6,438,768
"Rivière-du-Nord/Rivière-du-Nord"," 21","Prévost",50,19,23,190,41,7,330,563
"Rivière-du-Nord/Rivière-du-Nord"," 22","Prévost",78,50,15,273,29,3,448,735
"Rivière-du-Nord/Rivière-du-Nord"," 23","Prévost",73,32,13,182,13,2,315,513
"Rivière-du-Nord/Rivière-du-Nord"," 24","Prévost",74,31,10,163,25,9,312,514
"Rivière-du-Nord/Rivière-du-Nord"," 25","Prévost",64,22,10,183,23,6,308,469
"Rivière-du-Nord/Rivière-du-Nord"," 26","Prévost",106,25,17,254,20,4,426,654
"Rivière-du-Nord/Rivière-du-Nord"," 27","Sainte-Sophie",53,26,8,160,22,6,275,484
"Rivière-du-Nord/Rivière-du-Nord"," 28","Sainte-Sophie",48,18,5,141,11,5,228,413
"Rivière-du-Nord/Rivière-du-Nord"," 29","New Glasgow",Void/Supprimé,,,,,,,
"Rivière-du-Nord/Rivière-du-Nord"," 30","Sainte-Sophie",27,11,9,138,17,1,203,417
"Rivière-du-Nord/Rivière-du-Nord"," 31","Sainte-Sophie",44,10,12,135,10,3,214,448
"Rivière-du-Nord/Rivière-du-Nord"," 32","Sainte-Sophie",37,12,9,201,11,6,276,433
"Rivière-du-Nord/Rivière-du-Nord"," 33","Sainte-Sophie",52,19,16,165,15,3,270,506
"Rivière-du-Nord/Rivière-du-Nord"," 34","Sainte-Sophie",27,8,11,167,14,3,230,484
"Rivière-du-Nord/Rivière-du-Nord"," 35","Sainte-Sophie",28,8,5,94,10,3,148,295
"Rivière-du-Nord/Rivière-du-Nord"," 36","Sainte-Sophie",52,15,9,204,13,4,297,592
"Rivière-du-Nord/Rivière-du-Nord"," 37","Sainte-Sophie",34,12,8,153,20,6,233,470
"Rivière-du-Nord/Rivière-du-Nord"," 38","Sainte-Sophie",26,11,5,165,10,8,225,435
"Rivière-du-Nord/Rivière-du-Nord"," 39","Sainte-Sophie",44,17,10,164,16,5,256,439
"Rivière-du-Nord/Rivière-du-Nord"," 40","Sainte-Sophie",31,11,5,136,3,4,190,394
