Political affiliation/Appartenance politique,N.L. Valid Votes/Votes valides T.-N.-L.,P.E.I. Valid Votes/Votes valides Î.-P.-É.,N.S. Valid Votes/Votes valides N.-É.,N.B. Valid Votes/Votes valides N.-B.,Que. Valid Votes/Votes valides Qc,Ont. Valid Votes/Votes valides Ont.,Man. Valid Votes/Votes valides Man.,Sask. Valid Votes/Votes valides Sask.,Alta. Valid Votes/Votes valides Alb.,B.C. Valid Votes/Votes valides C.-B.,Y.T. Valid Votes/Votes valides Yn,N.W.T. Valid Votes/Votes valides T.N.-O.,Nun. Valid Votes/Votes valides Nt
"Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada",0,0,0,0,0,72,0,0,0,0,0,0,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,1553201,0,0,0,0,0,0,0,0
"Canadian Action Party/Parti action canadienne",0,0,0,150,185,2374,66,121,1101,2105,0,0,0
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",0,97,1376,0,116,16606,2868,871,2866,3352,0,0,0
"Communist Party of Canada/Parti communiste du Canada",0,0,0,0,169,1581,442,94,324,412,0,0,0
"Conservative Party of Canada/Parti conservateur du Canada",97159,26146,141756,145719,907972,1985242,220493,226563,931701,682109,3341,3200,2670
"First Peoples National Party of Canada/First Peoples National Party of Canada",0,0,0,0,0,563,0,0,543,95,0,0,0
"Green Party of Canada/Le Parti Vert du Canada",2046,3025,12400,9737,146576,263400,19925,14784,93732,97002,559,338,544
"Liberal Party of Canada/Parti libéral du Canada",97452,41195,177406,159393,766228,2260024,134162,103440,219214,504738,6847,5643,3673
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,0,477,1635,0,0,0,890,0,0,0
"Marijuana Party/Parti Marijuana",0,193,436,0,1857,4182,0,0,390,1389,0,0,724
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,344,0,3063,3640,0,0,542,1391,0,0,0
"New Democratic Party/Nouveau Parti Démocratique",30882,7491,142520,89217,276401,1100366,130856,111253,167394,521473,3366,6802,1576
"Progressive Canadian Party/Parti Progressiste Canadien",0,0,0,0,2535,9586,934,0,582,514,0,0,0
"Western Block Party/Western Block Party",0,0,0,0,0,0,0,0,431,663,0,0,0
"Independent/Indépendant",0,219,1206,2776,32378,8629,5776,1041,13897,10625,0,149,0
"No Affiliation/Aucune appartenance",0,0,0,0,0,343,0,4396,0,425,0,0,0
