Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Anders,Tim Cayzer,Teale Phelps Bondaroff,Jennifer Pollock,Danielle Roberts,André Vachon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Calgary West/Calgary-Ouest"," 1A","Calgary",146,0,19,53,29,0,1,248,452
"Calgary West/Calgary-Ouest"," 1B","Calgary",144,0,19,42,21,0,0,226,350
"Calgary West/Calgary-Ouest"," 1C","Calgary",146,2,23,66,33,1,0,271,438
"Calgary West/Calgary-Ouest"," 2A","Calgary",143,1,23,48,26,0,0,241,429
"Calgary West/Calgary-Ouest"," 2B","Calgary",137,6,26,62,39,0,0,270,434
"Calgary West/Calgary-Ouest"," 2C","Calgary",190,1,27,34,40,0,0,292,497
"Calgary West/Calgary-Ouest"," 3","Calgary",89,2,19,46,26,0,0,182,289
"Calgary West/Calgary-Ouest"," 4A","Calgary",109,0,12,38,35,0,0,194,306
"Calgary West/Calgary-Ouest"," 4B","Calgary",77,0,19,29,25,0,0,150,244
"Calgary West/Calgary-Ouest"," 5A","Calgary",161,1,13,37,11,0,0,223,354
"Calgary West/Calgary-Ouest"," 5B","Calgary",81,1,16,26,15,0,0,139,233
"Calgary West/Calgary-Ouest"," 6","Calgary",112,0,12,46,10,0,0,180,304
"Calgary West/Calgary-Ouest"," 7A","Calgary",107,0,15,36,19,0,0,177,317
"Calgary West/Calgary-Ouest"," 7B","Calgary",98,0,22,43,18,0,0,181,313
"Calgary West/Calgary-Ouest"," 7C","Calgary",108,0,17,36,14,0,0,175,291
"Calgary West/Calgary-Ouest"," 8A","Calgary",103,2,8,30,18,0,1,162,262
"Calgary West/Calgary-Ouest"," 8B","Calgary",97,2,13,40,7,1,0,160,229
"Calgary West/Calgary-Ouest"," 9A","Calgary",113,0,11,25,14,0,0,163,248
"Calgary West/Calgary-Ouest"," 9B","Calgary",98,1,16,37,13,0,1,166,274
"Calgary West/Calgary-Ouest"," 10A","Calgary",148,0,15,47,14,0,1,225,349
"Calgary West/Calgary-Ouest"," 10B","Calgary",118,1,11,45,9,0,1,185,328
"Calgary West/Calgary-Ouest"," 10C","Calgary",138,1,23,39,20,1,1,223,352
"Calgary West/Calgary-Ouest"," 11A","Calgary",162,0,13,37,27,0,0,239,384
"Calgary West/Calgary-Ouest"," 11B","Calgary",145,0,26,42,8,0,0,221,339
"Calgary West/Calgary-Ouest"," 11C","Calgary",121,0,21,53,21,1,0,217,336
"Calgary West/Calgary-Ouest"," 11D","Calgary",124,0,23,39,32,0,3,221,367
"Calgary West/Calgary-Ouest"," 12","Calgary",92,1,12,27,14,0,0,146,235
