Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Barnes,John Carmichael,Soumen Deb,John Godfrey,Daphne So,David Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Don Valley West/Don Valley-Ouest"," 1","North York",0,56,0,105,17,26,0,204,380
"Don Valley West/Don Valley-Ouest"," 2","North York",1,95,0,123,9,13,1,242,400
"Don Valley West/Don Valley-Ouest"," 3","North York",0,80,2,113,9,18,1,223,409
"Don Valley West/Don Valley-Ouest"," 4","North York",1,54,0,106,10,41,0,212,438
"Don Valley West/Don Valley-Ouest"," 5","North York",0,49,2,120,11,42,1,225,430
"Don Valley West/Don Valley-Ouest"," 6","North York",0,113,0,104,7,6,0,230,499
"Don Valley West/Don Valley-Ouest"," 7","North York",0,111,0,107,5,5,1,229,406
"Don Valley West/Don Valley-Ouest"," 8","North York",0,94,0,136,8,16,3,257,403
"Don Valley West/Don Valley-Ouest"," 9","North York",2,68,2,148,4,39,0,263,423
"Don Valley West/Don Valley-Ouest"," 10","North York",0,71,0,116,14,7,0,208,343
"Don Valley West/Don Valley-Ouest"," 11","North York",0,105,1,159,22,25,0,312,544
"Don Valley West/Don Valley-Ouest"," 12","North York",0,121,1,77,12,5,1,217,469
"Don Valley West/Don Valley-Ouest"," 13","North York",0,110,1,114,7,3,1,236,486
"Don Valley West/Don Valley-Ouest"," 14","North York",0,99,0,124,7,7,0,237,404
"Don Valley West/Don Valley-Ouest"," 15","North York",1,96,3,106,9,14,1,230,405
"Don Valley West/Don Valley-Ouest"," 16A","North York",Merged with No. 23/Fusionné avec le nº 23,,,,,,,,95
"Don Valley West/Don Valley-Ouest"," 16B","North York",1,80,1,113,6,10,0,211,359
"Don Valley West/Don Valley-Ouest"," 16C","North York",1,64,2,124,9,9,0,209,305
"Don Valley West/Don Valley-Ouest"," 17","North York",0,122,0,133,22,6,2,285,493
"Don Valley West/Don Valley-Ouest"," 18","North York",0,141,1,126,10,9,0,287,461
