Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sean Maw,Shannon Nelles,Judy Stewart,Myron Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Wild Rose/Wild Rose"," 1A","Big Horn 144A",4,8,37,0,1,50,170
"Wild Rose/Wild Rose"," 1B","Big Horn 144A",20,13,6,47,0,86,153
"Wild Rose/Wild Rose"," 2","Strachan",Merged with No. 3/Fusionné avec le nº 3,,,,,,48
"Wild Rose/Wild Rose"," 3","Ricinus",6,12,8,193,0,219,308
"Wild Rose/Wild Rose"," 4","Chedderville",10,11,5,204,1,231,396
"Wild Rose/Wild Rose"," 5","Stauffer",11,15,7,179,1,213,348
"Wild Rose/Wild Rose"," 6","Caroline",18,13,8,302,0,341,607
"Wild Rose/Wild Rose"," 7","Caroline",9,28,11,201,0,249,525
"Wild Rose/Wild Rose"," 8","Crammond",11,13,5,214,0,243,370
"Wild Rose/Wild Rose"," 9","Clearwater No. 99",Merged with No. 16/Fusionné avec le nº 16,,,,,,5
"Wild Rose/Wild Rose"," 10","Lake Louise",77,58,49,86,4,274,404
"Wild Rose/Wild Rose"," 11","Lake Louise",26,31,32,27,1,117,192
"Wild Rose/Wild Rose"," 12","Banff",44,26,26,36,1,133,253
"Wild Rose/Wild Rose"," 13","Water Valley",Merged with No. 14/Fusionné avec le nº 14,,,,,,3
"Wild Rose/Wild Rose"," 14","Elkton",31,4,11,197,2,245,356
"Wild Rose/Wild Rose"," 15","Dartique",23,6,5,78,0,112,155
"Wild Rose/Wild Rose"," 16","Bearberry",9,18,16,171,0,214,337
"Wild Rose/Wild Rose"," 17","Garrington",19,10,6,314,0,349,584
"Wild Rose/Wild Rose"," 18","Garrington",17,8,7,242,0,274,386
"Wild Rose/Wild Rose"," 19","Sundre",27,16,14,232,0,289,501
"Wild Rose/Wild Rose"," 20","Sundre",19,12,17,198,0,246,408
"Wild Rose/Wild Rose"," 21A","Sundre",6,7,8,122,0,143,330
"Wild Rose/Wild Rose"," 21B","Sundre",7,7,13,123,0,150,342
"Wild Rose/Wild Rose"," 21C","Sundre",9,3,7,136,0,155,339
"Wild Rose/Wild Rose"," 22","Sundre",8,11,5,175,0,199,349
"Wild Rose/Wild Rose"," 23A","Pioneer Ranch",14,10,6,185,0,215,349
"Wild Rose/Wild Rose"," 23B","Pioneer Ranch",16,7,9,175,1,208,318
"Wild Rose/Wild Rose"," 23C","Pioneer Ranch",11,4,13,166,0,194,300
"Wild Rose/Wild Rose"," 24","Harmattan",8,3,2,169,0,182,265
"Wild Rose/Wild Rose"," 25","Garrington",18,16,10,295,0,339,552
"Wild Rose/Wild Rose"," 26","Netook",24,13,10,210,3,260,436
"Wild Rose/Wild Rose"," 27","Olds",65,37,25,249,0,376,720
"Wild Rose/Wild Rose"," 28","Harmattan",25,15,7,279,0,326,426
"Wild Rose/Wild Rose"," 29","Neapolis",10,6,0,105,0,121,222
"Wild Rose/Wild Rose"," 30","Westcott",23,13,8,279,0,323,476
"Wild Rose/Wild Rose"," 31","Didsbury",28,18,32,343,0,421,597
"Wild Rose/Wild Rose"," 32","Didsbury",17,18,19,157,0,211,362
"Wild Rose/Wild Rose"," 33","Didsbury",21,15,21,180,1,238,378
"Wild Rose/Wild Rose"," 34A","Didsbury",10,31,16,187,0,244,496
"Wild Rose/Wild Rose"," 34B","Didsbury",9,5,8,164,0,186,393
"Wild Rose/Wild Rose"," 35","Didsbury",13,13,19,165,0,210,334
"Wild Rose/Wild Rose"," 36","Didsbury",39,28,29,327,0,423,640
"Wild Rose/Wild Rose"," 37","Neapolis",22,11,16,265,0,314,428
"Wild Rose/Wild Rose"," 38","Garfield",24,18,11,307,1,361,505
"Wild Rose/Wild Rose"," 39","Carstairs",25,13,13,286,3,340,544
"Wild Rose/Wild Rose"," 40","Carstairs",28,21,25,214,1,289,440
"Wild Rose/Wild Rose"," 41A","Carstairs",11,14,18,223,0,266,402
"Wild Rose/Wild Rose"," 41B","Carstairs",20,14,24,261,0,319,483
"Wild Rose/Wild Rose"," 42","Neapolis",19,1,9,143,0,172,249
"Wild Rose/Wild Rose"," 43","Wessex",15,4,8,166,1,194,279
"Wild Rose/Wild Rose"," 44","Dogpound",24,5,10,237,0,276,468
"Wild Rose/Wild Rose"," 45","Cremona",25,9,14,295,0,343,425
"Wild Rose/Wild Rose"," 46","Cremona",18,17,9,148,1,193,309
"Wild Rose/Wild Rose"," 47","Water Valley",50,15,14,252,1,332,414
"Wild Rose/Wild Rose"," 48","Olds",17,19,10,192,0,238,254
"Wild Rose/Wild Rose"," 49","Olds",12,9,18,228,0,267,458
"Wild Rose/Wild Rose"," 50","Olds",13,4,10,124,0,151,261
"Wild Rose/Wild Rose"," 51","Olds",14,6,19,234,0,273,451
"Wild Rose/Wild Rose"," 52","Olds",13,19,14,104,1,151,351
"Wild Rose/Wild Rose"," 53","Olds",13,17,18,161,0,209,355
"Wild Rose/Wild Rose"," 54","Olds",23,12,17,213,1,266,321
"Wild Rose/Wild Rose"," 55","Olds",12,10,7,95,0,124,291
"Wild Rose/Wild Rose"," 56","Olds",8,19,13,175,0,215,457
"Wild Rose/Wild Rose"," 57","Olds",12,6,11,124,0,153,306
"Wild Rose/Wild Rose"," 58","Olds",11,14,11,111,0,147,293
"Wild Rose/Wild Rose"," 59","Olds",26,20,19,132,0,197,431
"Wild Rose/Wild Rose"," 60","Olds",20,15,11,132,0,178,377
"Wild Rose/Wild Rose"," 61","Olds",22,18,12,221,0,273,482
"Wild Rose/Wild Rose"," 62","Olds",19,10,8,149,0,186,352
"Wild Rose/Wild Rose"," 63","Madden",16,2,7,238,0,263,324
"Wild Rose/Wild Rose"," 64","Wessex",6,7,2,131,0,146,179
"Wild Rose/Wild Rose"," 65","Crossfield",14,14,16,257,0,301,447
"Wild Rose/Wild Rose"," 66","Crossfield",23,16,14,255,0,308,457
"Wild Rose/Wild Rose"," 67A","Crossfield",21,21,10,293,2,347,437
"Wild Rose/Wild Rose"," 67B","Crossfield",14,14,13,274,0,315,481
"Wild Rose/Wild Rose"," 68","Crossfield",Merged with No. 67A/Fusionné avec le nº 67A,,,,,,120
"Wild Rose/Wild Rose"," 69","Kersey",8,5,7,137,0,157,219
"Wild Rose/Wild Rose"," 70","Rocky View No. 44",18,13,14,277,0,322,477
"Wild Rose/Wild Rose"," 71","Airdrie",7,6,4,138,0,155,236
"Wild Rose/Wild Rose"," 72","Airdrie",14,10,10,176,1,211,323
"Wild Rose/Wild Rose"," 73","Bearspaw",26,17,35,214,0,292,465
"Wild Rose/Wild Rose"," 74","Balzac",17,14,17,247,1,296,426
"Wild Rose/Wild Rose"," 75A","Balzac",6,13,15,173,0,207,334
"Wild Rose/Wild Rose"," 75B","Balzac",11,12,19,231,1,274,417
"Wild Rose/Wild Rose"," 75C","Balzac",21,11,10,241,0,283,282
"Wild Rose/Wild Rose"," 76","Balzac",Merged with No. 75C/Fusionné avec le nº 75C,,,,,,142
"Wild Rose/Wild Rose"," 77A","Airdrie",16,7,10,174,0,207,416
"Wild Rose/Wild Rose"," 77B","Airdrie",18,11,10,198,0,237,446
"Wild Rose/Wild Rose"," 77C","Airdrie",9,10,16,167,0,202,403
"Wild Rose/Wild Rose"," 78A","Airdrie",10,15,10,128,0,163,306
"Wild Rose/Wild Rose"," 78B","Airdrie",10,10,15,144,0,179,351
"Wild Rose/Wild Rose"," 78C","Airdrie",16,10,9,110,1,146,308
"Wild Rose/Wild Rose"," 79","Airdrie",17,14,22,232,1,286,499
"Wild Rose/Wild Rose"," 80A","Airdrie",10,16,17,162,0,205,362
"Wild Rose/Wild Rose"," 80B","Airdrie",15,13,17,162,1,208,358
"Wild Rose/Wild Rose"," 81","Airdrie",24,24,30,303,1,382,638
"Wild Rose/Wild Rose"," 82","Airdrie",8,5,12,118,1,144,349
"Wild Rose/Wild Rose"," 83A","Airdrie",21,13,21,142,0,197,360
"Wild Rose/Wild Rose"," 83B","Airdrie",20,19,19,170,0,228,449
"Wild Rose/Wild Rose"," 83C","Airdrie",16,20,27,168,0,231,413
"Wild Rose/Wild Rose"," 83D","Airdrie",12,18,20,159,0,209,378
"Wild Rose/Wild Rose"," 84","Airdrie",22,22,15,246,1,306,538
"Wild Rose/Wild Rose"," 85A","Airdrie",18,21,12,141,0,192,398
"Wild Rose/Wild Rose"," 85B","Airdrie",15,22,17,129,0,183,404
"Wild Rose/Wild Rose"," 86","Airdrie",24,13,7,163,1,208,350
"Wild Rose/Wild Rose"," 87","Airdrie",28,11,23,247,0,309,550
"Wild Rose/Wild Rose"," 88","Airdrie",19,21,16,119,1,176,385
"Wild Rose/Wild Rose"," 89","Airdrie",21,16,26,181,0,244,441
"Wild Rose/Wild Rose"," 90","Airdrie",21,15,22,140,0,198,323
"Wild Rose/Wild Rose"," 91","Airdrie",14,8,10,113,0,145,311
"Wild Rose/Wild Rose"," 92","Airdrie",17,20,21,223,0,281,465
"Wild Rose/Wild Rose"," 93A","Airdrie",14,19,13,163,2,211,394
"Wild Rose/Wild Rose"," 93B","Airdrie",16,14,12,183,0,225,387
"Wild Rose/Wild Rose"," 93C","Airdrie",21,26,31,212,0,290,477
"Wild Rose/Wild Rose"," 93D","Airdrie",13,14,14,179,0,220,416
"Wild Rose/Wild Rose"," 94","Airdrie",17,11,12,149,1,190,360
"Wild Rose/Wild Rose"," 95","Airdrie",20,16,16,186,0,238,482
"Wild Rose/Wild Rose"," 96","Airdrie",18,17,16,136,1,188,304
"Wild Rose/Wild Rose"," 97","Airdrie",12,15,18,146,1,192,323
"Wild Rose/Wild Rose"," 98","Airdrie",18,25,13,178,0,234,439
"Wild Rose/Wild Rose"," 99","Airdrie",17,15,21,158,0,211,368
"Wild Rose/Wild Rose"," 100","Airdrie",18,25,18,202,1,264,426
"Wild Rose/Wild Rose"," 101","Airdrie",13,19,10,126,0,168,372
"Wild Rose/Wild Rose"," 102","Airdrie",20,27,14,154,1,216,391
"Wild Rose/Wild Rose"," 103","Airdrie",23,20,13,207,0,263,452
"Wild Rose/Wild Rose"," 104","Airdrie",7,8,12,113,0,140,289
"Wild Rose/Wild Rose"," 105A","Airdrie",19,22,23,195,1,260,437
"Wild Rose/Wild Rose"," 105B","Airdrie",20,21,14,169,0,224,391
"Wild Rose/Wild Rose"," 106A","Airdrie",7,7,16,185,0,215,348
"Wild Rose/Wild Rose"," 106B","Airdrie",13,19,17,178,1,228,370
"Wild Rose/Wild Rose"," 106C","Airdrie",12,14,16,181,0,223,338
"Wild Rose/Wild Rose"," 107","Airdrie",16,11,9,102,0,138,216
"Wild Rose/Wild Rose"," 108","Airdrie",15,10,6,141,1,173,273
"Wild Rose/Wild Rose"," 109","Airdrie",16,20,18,182,0,236,396
"Wild Rose/Wild Rose"," 110","Airdrie",17,17,9,152,0,195,324
"Wild Rose/Wild Rose"," 111","Airdrie",12,23,19,162,2,218,359
"Wild Rose/Wild Rose"," 112","Airdrie",12,20,23,146,0,201,288
"Wild Rose/Wild Rose"," 113","Dartique",37,15,11,299,3,365,592
"Wild Rose/Wild Rose"," 114","Bottrel",21,9,14,206,0,250,352
"Wild Rose/Wild Rose"," 115","Radnor",Merged with No. 116A/Fusionné avec le nº 116A,,,,,,95
"Wild Rose/Wild Rose"," 116A","Rocky View No. 44",19,17,12,171,0,219,274
"Wild Rose/Wild Rose"," 116B","Rocky View No. 44",28,20,7,131,1,187,315
"Wild Rose/Wild Rose"," 117","Rocky View No. 44",22,8,13,113,0,156,255
"Wild Rose/Wild Rose"," 118","Mitford",16,4,6,58,0,84,140
"Wild Rose/Wild Rose"," 119","Lochend",17,18,14,131,0,180,317
"Wild Rose/Wild Rose"," 120","Lochend",32,9,14,259,0,314,481
"Wild Rose/Wild Rose"," 121","Rocky View No. 44",41,20,42,364,0,467,705
"Wild Rose/Wild Rose"," 122","Bearspaw",27,22,18,151,1,219,320
"Wild Rose/Wild Rose"," 123","Bearspaw",28,8,44,330,0,410,669
"Wild Rose/Wild Rose"," 124","Bearspaw",18,5,4,151,0,178,300
"Wild Rose/Wild Rose"," 125A","Rocky View No. 44",28,4,29,159,0,220,358
"Wild Rose/Wild Rose"," 125B","Rocky View No. 44",17,9,26,153,1,206,339
"Wild Rose/Wild Rose"," 126","Cochrane",37,18,23,193,0,271,438
"Wild Rose/Wild Rose"," 127","Cochrane",19,10,8,149,0,186,337
"Wild Rose/Wild Rose"," 128","Cochrane",15,17,23,139,0,194,334
"Wild Rose/Wild Rose"," 129","Cochrane",50,22,11,259,0,342,518
"Wild Rose/Wild Rose"," 130","Cochrane",34,10,20,193,0,257,377
"Wild Rose/Wild Rose"," 131","Cochrane",37,21,12,221,0,291,501
"Wild Rose/Wild Rose"," 132","Cochrane",39,20,19,246,0,324,505
"Wild Rose/Wild Rose"," 133","Cochrane",39,16,21,225,0,301,459
"Wild Rose/Wild Rose"," 134","Cochrane",44,21,25,207,0,297,446
"Wild Rose/Wild Rose"," 135","Cochrane",17,17,16,128,0,178,263
"Wild Rose/Wild Rose"," 136","Cochrane",34,23,28,138,0,223,377
"Wild Rose/Wild Rose"," 137","Cochrane",36,15,12,184,1,248,422
"Wild Rose/Wild Rose"," 138","Cochrane",33,22,15,131,1,202,380
