Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Chan,Richard Mathias,Darrel Robert Reid,Neil Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Richmond/Richmond"," 75A","Richmond",75,14,89,48,7,233,530
"Richmond/Richmond"," 75B","Richmond",Merged with No. 73/Fusionné avec le nº 73,,,,,,153
"Richmond/Richmond"," 76","Richmond",55,7,65,38,0,165,370
"Richmond/Richmond"," 77A","Richmond",123,14,73,41,1,252,607
"Richmond/Richmond"," 77B","Richmond",Merged with No. 74/Fusionné avec le nº 74,,,,,,91
"Richmond/Richmond"," 78","Richmond",102,12,66,63,1,244,516
"Richmond/Richmond"," 79A","Richmond",124,16,91,40,2,273,642
"Richmond/Richmond"," 79B","Richmond",Merged with No. 82/Fusionné avec le nº 82,,,,,,43
"Richmond/Richmond"," 80","Richmond",62,6,59,26,1,154,346
"Richmond/Richmond"," 81","Richmond",84,4,80,19,0,187,421
"Richmond/Richmond"," 82","Richmond",114,13,113,27,1,268,569
"Richmond/Richmond"," 83","Richmond",84,11,66,35,0,196,367
"Richmond/Richmond"," 84","Richmond",65,9,86,18,0,178,360
"Richmond/Richmond"," 85A","Richmond",122,5,88,44,0,259,621
"Richmond/Richmond"," 85B","Richmond",Merged with No. 86/Fusionné avec le nº 86,,,,,,129
"Richmond/Richmond"," 86","Richmond",120,6,90,14,1,231,500
"Richmond/Richmond"," 87","Richmond",74,5,84,25,0,188,506
"Richmond/Richmond"," 88","Richmond",138,5,108,43,1,295,637
"Richmond/Richmond"," 89","Richmond",85,9,87,24,1,206,414
"Richmond/Richmond"," 90","Richmond",77,4,93,32,0,206,501
"Richmond/Richmond"," 91","Richmond",87,8,74,28,1,198,412
"Richmond/Richmond"," 92A","Richmond",80,7,55,32,0,174,528
"Richmond/Richmond"," 92B","Richmond",Merged with No. 96/Fusionné avec le nº 96,,,,,,173
"Richmond/Richmond"," 93","Richmond",129,9,98,25,0,261,628
"Richmond/Richmond"," 94","Richmond",132,8,90,25,3,258,569
"Richmond/Richmond"," 95","Richmond",145,6,118,24,5,298,580
"Richmond/Richmond"," 96","Richmond",89,5,96,27,1,218,355
"Richmond/Richmond"," 97","Richmond",58,20,40,35,0,153,386
"Richmond/Richmond"," 98","Richmond",Void/Supprimé,,,,,,
"Richmond/Richmond"," 99","Richmond",58,15,65,44,1,183,385
"Richmond/Richmond"," 100A","Richmond",116,14,56,30,2,218,616
"Richmond/Richmond"," 100B","Richmond",103,7,74,53,0,237,469
"Richmond/Richmond"," 101","Richmond",Merged with No. 100B/Fusionné avec le nº 100B,,,,,,126
"Richmond/Richmond"," 102","Richmond",108,3,60,20,2,193,513
"Richmond/Richmond"," 103A","Richmond",82,5,75,26,0,188,507
"Richmond/Richmond"," 103B","Richmond",Merged with No. 104A/Fusionné avec le nº 104A,,,,,,142
"Richmond/Richmond"," 104A","Richmond",68,4,49,34,3,158,305
"Richmond/Richmond"," 104B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,50
"Richmond/Richmond"," 105A","Richmond",105,10,76,13,1,205,498
"Richmond/Richmond"," 105B","Richmond",97,7,84,21,0,209,494
"Richmond/Richmond"," 106A","Richmond",88,5,80,20,1,194,445
"Richmond/Richmond"," 106B","Richmond",69,8,85,17,0,179,395
"Richmond/Richmond"," 107A","Richmond",90,8,70,21,1,190,462
"Richmond/Richmond"," 107B","Richmond",113,11,97,19,4,244,469
"Richmond/Richmond"," 108","Richmond",142,12,132,21,4,311,666
"Richmond/Richmond"," 109","Richmond",136,17,107,21,4,285,483
"Richmond/Richmond"," 110","Richmond",143,6,108,22,1,280,556
"Richmond/Richmond"," 111","Richmond",175,10,112,24,1,322,553
"Richmond/Richmond"," 112","Richmond",109,22,94,52,0,277,419
"Richmond/Richmond"," 113","Richmond",110,20,71,48,0,249,365
"Richmond/Richmond"," 114","Richmond",121,16,95,71,2,305,490
"Richmond/Richmond"," 115","Richmond",103,15,71,62,0,251,417
"Richmond/Richmond"," 116","Richmond",75,12,68,54,4,213,380
"Richmond/Richmond"," 117A","Richmond",152,29,113,63,2,359,537
"Richmond/Richmond"," 117B","Richmond",Merged with No. 123/Fusionné avec le nº 123,,,,,,69
"Richmond/Richmond"," 118","Richmond",98,19,104,65,0,286,499
"Richmond/Richmond"," 119","Richmond",80,11,65,47,2,205,370
"Richmond/Richmond"," 120","Richmond",79,14,81,52,0,226,381
"Richmond/Richmond"," 121","Richmond",96,19,118,47,2,282,531
"Richmond/Richmond"," 122","Richmond",138,16,116,34,2,306,640
"Richmond/Richmond"," 123","Richmond",155,19,84,75,0,333,474
"Richmond/Richmond"," 124","Richmond",113,25,103,55,0,296,469
"Richmond/Richmond"," 125","Richmond",83,10,93,22,1,209,339
"Richmond/Richmond"," 126","Richmond",132,16,144,34,0,326,623
"Richmond/Richmond"," 127","Richmond",156,4,119,19,1,299,557
"Richmond/Richmond"," 128","Richmond",115,11,114,32,0,272,367
"Richmond/Richmond"," 129","Richmond",65,5,72,9,0,151,282
"Richmond/Richmond"," 130","Richmond",114,13,128,17,3,275,516
"Richmond/Richmond"," 131A","Richmond",145,14,132,28,0,319,545
"Richmond/Richmond"," 131B","Richmond",Merged with No. 128/Fusionné avec le nº 128,,,,,,121
"Richmond/Richmond"," 132","Richmond",150,16,103,38,2,309,567
"Richmond/Richmond"," 133","Richmond",124,12,106,33,0,275,597
"Richmond/Richmond"," 134","Richmond",102,12,105,23,0,242,588
"Richmond/Richmond"," 135","Richmond",120,14,91,30,1,256,469
"Richmond/Richmond"," 136","Richmond",122,10,99,32,1,264,570
"Richmond/Richmond"," 137","Richmond",129,13,108,20,2,272,582
"Richmond/Richmond"," 138","Richmond",119,15,99,35,2,270,541
"Richmond/Richmond"," 139","Richmond",122,13,122,60,1,318,465
"Richmond/Richmond"," 140","Richmond",117,24,99,80,1,321,386
"Richmond/Richmond"," 141A","Richmond",127,21,104,69,0,321,510
