Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvan Côté,Sarah Desjardins,Rodrigue Drapeau,Kim Leclerc,Stéphane Ricard,Jean-Yves Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 1","Sainte-Luce",3,14,74,8,29,177,7,312,559
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 2","Sainte-Luce",2,7,50,17,16,97,1,190,343
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 3","Sainte-Luce",1,8,56,15,20,82,2,184,345
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 4A","Luceville",1,2,54,18,6,77,1,159,318
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 4B","Mobile poll/Bureau itinérant",Merged with No. 505B/Fusionné avec le nº 505B,,,,,,,,21
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 5","Luceville",0,5,73,14,21,88,1,202,399
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 6","Luceville",1,1,64,17,12,75,1,171,335
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 7","Saint-Donat",2,5,53,12,13,126,0,211,416
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 8","Saint-Donat",1,10,46,29,16,79,3,184,270
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 9","Mont-Joli",1,5,95,23,9,144,1,278,535
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 10","Mont-Joli",3,1,60,18,17,84,2,185,447
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 11","Mont-Joli",3,8,65,32,31,97,1,237,480
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 12A","Mont-Joli",4,3,44,22,14,68,1,156,275
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 12B","Mobile poll/Bureau itinérant",Merged with No. 505B/Fusionné avec le nº 505B,,,,,,,,12
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 13A","Mont-Joli",4,3,33,14,10,44,1,109,287
