Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis A. Carrière,Joe Comuzzi,Bruce Hyer,Dawn Kannegiesser,Bev Sarafin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 1","Armstrong",2,78,20,12,38,0,150,375
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 2","Collins",0,12,6,0,1,0,19,25
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 3","Gull River 55",3,62,7,11,0,1,84,140
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 4","Jellicoe",0,15,11,1,11,1,39,77
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 5","Beardmore",4,41,21,7,16,0,89,285
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 6","Nipigon",3,10,30,4,21,0,68,117
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 7A","Nipigon",1,39,58,6,24,0,128,261
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 7B","Mobile poll/Bureau itinérant",0,8,1,0,4,0,13,23
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 8A","Nipigon",3,36,41,1,41,1,123,267
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 8B","Nipigon",1,41,68,1,27,1,139,246
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 9","Nipigon",3,45,92,3,25,1,169,357
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 10","Nipigon",0,35,51,3,42,5,136,247
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 11","Red Rock",2,22,35,6,20,0,85,137
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 12A","Red Rock",5,36,61,5,39,1,147,244
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 12B","Red Rock",1,66,54,6,34,0,161,256
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 13","Red Rock",2,30,53,3,20,0,108,192
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 14","Hurkett",5,38,70,6,35,2,156,279
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 15","Dorion",3,42,55,7,49,1,157,251
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 16","Macdiarmid",3,40,18,2,8,0,71,135
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 17","Aroland",3,37,12,3,7,1,63,157
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 18","Greenstone",2,76,74,8,26,0,186,439
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 19","Greenstone",1,45,27,5,39,1,118,235
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 20A","Greenstone",3,51,38,5,34,0,131,246
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 20B","Mobile poll/Bureau itinérant",Merged with No. 7B/Fusionné avec le nº 7B,,,,,,,16
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 21","Greenstone",3,70,43,6,30,2,154,300
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 22A","Greenstone",4,40,41,4,21,1,111,249
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 22B","Greenstone",2,40,34,0,29,1,106,238
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 23","Greenstone",2,75,42,5,41,3,168,339
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 24","Greenstone",1,48,37,8,35,0,129,232
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 25","Greenstone",4,68,48,5,35,0,160,363
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 26","Long Lake 58",1,31,8,0,4,0,44,162
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 27","Greenstone",3,68,55,2,36,0,164,319
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 28","Longlac",0,74,53,1,29,0,157,302
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 29","Ginoogaming First Nation 77",1,34,2,3,1,0,41,88
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 30","Longlac",7,82,64,8,57,1,219,416
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 31","Greenstone",0,18,9,1,9,0,37,105
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 32","Toimela",4,63,95,9,84,0,255,436
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 33","Kaministiquia",2,46,96,7,68,1,220,392
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 34","Gorham",8,61,80,14,50,0,213,389
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 35","Gorham",1,44,45,12,29,0,131,242
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 36A","Gorham",1,39,63,13,31,0,147,284
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 36B","Gorham",1,29,55,11,19,3,118,255
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 37","MacGregor",2,22,31,4,31,0,90,146
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 38A","MacGregor",1,38,37,11,53,1,141,300
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 38B","MacGregor",0,47,47,9,45,0,148,293
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 39","MacGregor",Void/Supprimé,,,,,,,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 40","MacGregor",1,84,96,23,69,1,274,470
