Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,René Berthiaume,Jo-Ann Fennessey,Bonnie Jean-Louis,Pierre Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1","Cumberland",96,33,12,135,0,276,462
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-1","Cumberland",192,56,18,193,0,459,716
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-2","Cumberland",174,49,15,160,1,399,644
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 2","Cumberland",87,28,16,110,1,242,417
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 3","Cumberland",96,42,7,133,0,278,460
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 4","Cumberland",114,51,17,171,4,357,551
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 5A","Cumberland",56,15,7,92,0,170,256
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 5B","Cumberland",53,31,3,111,1,199,346
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 6","Cumberland",79,37,17,151,0,284,463
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 7","Cumberland",98,47,9,125,1,280,470
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 8","Cumberland",73,21,5,77,2,178,283
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 9","Cumberland",155,48,18,113,2,336,475
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 10","Cumberland",97,58,19,167,1,342,492
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 11","Cumberland",83,34,11,117,0,245,332
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 12","Cumberland",97,36,12,160,1,306,407
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 13A","Cumberland",46,9,16,126,0,197,292
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 13B","Cumberland",87,28,8,111,0,234,323
