Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jovan Boseovski,Rochelle Carnegie,Jim Peterson,Sharolyn Vettese,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Willowdale/Willowdale"," 1","North York",23,18,50,3,0,94,258
"Willowdale/Willowdale"," 2","North York",71,25,180,13,0,289,448
"Willowdale/Willowdale"," 3","North York",68,25,150,10,1,254,442
"Willowdale/Willowdale"," 4","North York",80,21,149,9,0,259,430
"Willowdale/Willowdale"," 5","North York",66,29,127,5,1,228,462
"Willowdale/Willowdale"," 6","North York",76,28,151,14,0,269,461
"Willowdale/Willowdale"," 7","North York",77,15,120,11,1,224,397
"Willowdale/Willowdale"," 8","North York",92,13,122,11,1,239,431
"Willowdale/Willowdale"," 9","North York",57,18,155,7,1,238,465
"Willowdale/Willowdale"," 10","North York",88,22,145,10,1,266,473
"Willowdale/Willowdale"," 11","North York",75,24,154,11,0,264,492
"Willowdale/Willowdale"," 12","North York",79,18,141,8,2,248,346
"Willowdale/Willowdale"," 13","North York",Merged with No. 12/Fusionné avec le nº 12,,,,,,184
"Willowdale/Willowdale"," 14","North York",64,30,107,7,0,208,419
"Willowdale/Willowdale"," 15","North York",53,23,102,5,0,183,447
"Willowdale/Willowdale"," 16","North York",83,31,117,5,1,237,396
"Willowdale/Willowdale"," 17","North York",58,17,87,4,1,167,314
"Willowdale/Willowdale"," 18","North York",78,10,138,8,0,234,381
"Willowdale/Willowdale"," 19","North York",54,18,134,10,2,218,382
"Willowdale/Willowdale"," 20","North York",65,22,145,7,1,240,384
"Willowdale/Willowdale"," 21","North York",67,26,146,12,4,255,430
"Willowdale/Willowdale"," 22","North York",89,12,118,9,0,228,434
"Willowdale/Willowdale"," 23A","North York",19,11,88,3,3,124,249
"Willowdale/Willowdale"," 23B","North York",10,3,24,2,0,39,56
"Willowdale/Willowdale"," 24","North York",47,34,98,6,0,185,364
"Willowdale/Willowdale"," 25","North York",96,15,132,5,2,250,465
"Willowdale/Willowdale"," 26","North York",63,26,130,9,0,228,384
"Willowdale/Willowdale"," 27","North York",103,7,94,8,1,213,413
"Willowdale/Willowdale"," 28","North York",89,10,169,1,0,269,547
"Willowdale/Willowdale"," 29","North York",Merged with No. 30/Fusionné avec le nº 30,,,,,,2
"Willowdale/Willowdale"," 30","North York",60,29,104,8,3,204,291
"Willowdale/Willowdale"," 31","North York",Merged with No. 58/Fusionné avec le nº 58,,,,,,45
"Willowdale/Willowdale"," 32","North York",77,33,110,11,9,240,409
"Willowdale/Willowdale"," 33","North York",65,12,140,6,2,225,383
"Willowdale/Willowdale"," 34","North York",116,41,175,14,1,347,578
"Willowdale/Willowdale"," 35","North York",49,22,135,5,1,212,383
"Willowdale/Willowdale"," 36","North York",81,21,106,3,0,211,432
