Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Casey,N. Bruce Farrell,Gary Richard,Margaret Sagar,Rick Simpson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 1","Fort Lawrence",60,1,20,11,1,0,93,170
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 2A","Tyndal Road",99,3,35,29,1,0,167,320
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 2B","Tyndal Road",86,5,39,21,0,0,151,286
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 3","Hastings",87,1,23,24,2,2,139,214
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 4","Brookdale",105,3,16,35,1,0,160,260
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 5","Hastings",107,1,20,41,0,0,169,306
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 6","West Amherst",145,8,69,40,1,2,265,444
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 7","Lower Cove",144,2,32,46,8,2,234,407
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 8","Joggins",18,0,9,4,1,0,32,47
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 9","River Hebert",175,5,39,74,8,0,301,460
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 10","Strathcona",93,2,42,29,6,2,174,267
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 11","Maccan",144,7,39,67,25,2,284,445
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 12","Nappan",143,5,21,35,5,2,211,351
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 13","Brookdale",107,0,14,22,4,0,147,229
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 14","Springhill Junction",70,1,11,15,1,1,99,177
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 15","Athol",32,0,12,14,7,0,65,165
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 16","Amherst",106,2,52,25,2,0,187,368
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 17","Amherst",127,4,43,50,5,2,231,436
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 18","Amherst",63,0,20,19,5,1,108,365
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 19","Amherst",120,4,34,45,5,1,209,414
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 20","Amherst",152,4,46,47,1,0,250,390
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 21","Amherst",122,0,36,42,3,1,204,330
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 22A","Amherst",106,1,30,9,0,0,146,266
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 22B","Amherst",77,0,32,21,2,2,134,225
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 23A","Amherst",85,2,31,25,0,1,144,256
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 23B","Amherst",69,1,33,16,0,1,120,244
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 24","Amherst",143,3,42,37,2,3,230,392
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 25","Amherst",86,2,43,40,2,0,173,372
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 26","Amherst",64,3,26,19,3,0,115,219
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 27","Amherst",99,2,35,26,3,3,168,322
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 28","Amherst",99,1,48,31,2,0,181,374
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 29","Amherst",70,1,23,17,0,0,111,266
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 30","Amherst",78,1,28,30,2,0,139,344
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 31","Amherst",98,1,44,34,2,2,181,396
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 32","Amherst",77,3,28,21,3,1,133,387
