Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvain Castonguay,Hélène Héroux,Gérard Labelle,Angelo M. Marino,François Pilon,Pablo Rodriguez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Honoré-Mercier/Honoré-Mercier"," 1","Montréal",6,1,170,47,22,57,2,305,500
"Honoré-Mercier/Honoré-Mercier"," 2","Montréal",9,0,151,44,29,35,0,268,503
"Honoré-Mercier/Honoré-Mercier"," 3","Montréal",13,0,133,40,11,71,4,272,491
"Honoré-Mercier/Honoré-Mercier"," 4","Montréal",17,0,109,62,22,196,2,408,615
"Honoré-Mercier/Honoré-Mercier"," 5","Montréal",5,0,74,28,10,46,1,164,242
"Honoré-Mercier/Honoré-Mercier"," 6","Montréal",12,2,46,30,11,93,1,195,364
"Honoré-Mercier/Honoré-Mercier"," 7","Montréal",4,1,92,50,8,58,3,216,307
"Honoré-Mercier/Honoré-Mercier"," 8","Montréal",7,0,100,43,14,124,2,290,535
"Honoré-Mercier/Honoré-Mercier"," 9A","Montréal",5,0,64,49,7,76,3,204,359
"Honoré-Mercier/Honoré-Mercier"," 9B","Montréal",5,0,63,48,8,105,2,231,378
"Honoré-Mercier/Honoré-Mercier"," 10","Montréal",7,0,80,39,8,61,3,198,342
"Honoré-Mercier/Honoré-Mercier"," 11","Montréal",3,1,65,47,11,41,1,169,279
"Honoré-Mercier/Honoré-Mercier"," 12","Montréal",9,2,130,43,19,88,1,292,538
"Honoré-Mercier/Honoré-Mercier"," 13","Montréal",8,1,84,36,13,94,6,242,424
"Honoré-Mercier/Honoré-Mercier"," 14","Montréal",2,2,41,22,5,192,3,267,417
"Honoré-Mercier/Honoré-Mercier"," 15","Montréal",0,0,32,34,2,101,5,174,310
"Honoré-Mercier/Honoré-Mercier"," 16","Montréal",0,0,63,38,14,158,10,283,480
"Honoré-Mercier/Honoré-Mercier"," 17","Montréal",2,1,82,45,14,135,7,286,531
"Honoré-Mercier/Honoré-Mercier"," 18","Montréal",9,2,65,62,16,89,5,248,425
"Honoré-Mercier/Honoré-Mercier"," 19","Montréal",7,1,102,33,12,109,2,266,523
"Honoré-Mercier/Honoré-Mercier"," 20","Montréal",6,1,93,42,18,116,0,276,498
"Honoré-Mercier/Honoré-Mercier"," 21","Montréal",8,1,27,40,7,74,2,159,284
"Honoré-Mercier/Honoré-Mercier"," 22","Montréal",4,0,85,45,12,141,0,287,517
"Honoré-Mercier/Honoré-Mercier"," 23","Montréal",4,0,95,57,16,130,2,304,541
"Honoré-Mercier/Honoré-Mercier"," 24","Montréal",8,1,74,50,18,119,2,272,435
"Honoré-Mercier/Honoré-Mercier"," 25","Montréal",0,0,9,26,13,95,2,145,245
"Honoré-Mercier/Honoré-Mercier"," 26","Montréal",3,0,35,39,14,153,4,248,412
"Honoré-Mercier/Honoré-Mercier"," 27","Montréal",3,0,28,35,18,71,1,156,288
"Honoré-Mercier/Honoré-Mercier"," 28","Montréal",3,0,16,34,3,92,2,150,251
"Honoré-Mercier/Honoré-Mercier"," 29","Montréal",6,1,29,38,14,181,3,272,439
"Honoré-Mercier/Honoré-Mercier"," 30","Montréal",0,2,60,38,10,107,4,221,466
"Honoré-Mercier/Honoré-Mercier"," 31","Montréal",0,0,11,26,7,132,2,178,307
