Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eugene Conway,Shannon Hillier,Fabian Manning,Bill Morrow,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Avalon/Avalon"," 1","Grates Cove",9,0,41,24,2,76,154
"Avalon/Avalon"," 2","Red Head Cove",1,0,13,27,1,42,103
"Avalon/Avalon"," 3","Old Perlican",11,2,46,83,0,142,303
"Avalon/Avalon"," 4","Bay de Verde",19,1,53,67,3,143,270
"Avalon/Avalon"," 5","Bay de Verde",7,0,35,39,6,87,149
"Avalon/Avalon"," 6","Old Perlican",5,0,59,83,0,147,253
"Avalon/Avalon"," 7","Low Point--Lower Island Cove--Chaplin Cove",17,1,94,85,8,205,348
"Avalon/Avalon"," 8","Sibleys Cove--Lead Cove",8,2,67,33,0,110,172
"Avalon/Avalon"," 9","Burnt Point--Job's Cove",16,2,68,61,0,147,365
"Avalon/Avalon"," 10","Brownsdale--New Melbourne",14,0,35,46,3,98,176
"Avalon/Avalon"," 11","Gull Island",12,0,36,18,0,66,144
"Avalon/Avalon"," 12","Hant's Harbour",16,1,104,84,5,210,354
"Avalon/Avalon"," 13","New Chelsea",6,4,19,34,3,66,83
"Avalon/Avalon"," 14","Northern Bay--Ochre Pit Cove",22,1,73,38,8,142,291
"Avalon/Avalon"," 15","Winterton--Turks Cove",12,0,34,26,3,75,119
"Avalon/Avalon"," 16","Winterton",10,0,73,100,10,193,345
"Avalon/Avalon"," 17","Western Bay",19,1,107,56,5,188,375
"Avalon/Avalon"," 18","New Perlican",4,0,56,43,3,106,174
"Avalon/Avalon"," 19","Blackhead--Broad Cove--Adams Cove",9,0,61,79,8,157,288
"Avalon/Avalon"," 20","Heart's Content",16,0,106,98,3,223,363
"Avalon/Avalon"," 21","Small Point--Kingston--Spout Cove",7,0,56,24,0,87,140
"Avalon/Avalon"," 22","Salmon Cove--Perry's Cove",9,0,65,131,0,205,365
"Avalon/Avalon"," 23","Come By Chance",8,1,72,62,0,143,247
"Avalon/Avalon"," 24","Sunnyside",17,4,97,71,14,203,368
"Avalon/Avalon"," 25A","Arnold's Cove",16,1,54,93,0,164,312
"Avalon/Avalon"," 25B","Mobile poll/Bureau itinérant",Merged with No. 178C/Fusionné avec le nº 178C,,,,,,15
"Avalon/Avalon"," 26","Arnold's Cove",16,3,59,99,1,178,269
"Avalon/Avalon"," 27","Arnold's Cove",18,1,64,100,0,183,297
"Avalon/Avalon"," 28","Southern Harbour",13,0,124,65,0,202,327
"Avalon/Avalon"," 29","Southern Harbour",1,0,33,10,0,44,79
"Avalon/Avalon"," 30","Chance Cove",8,2,67,97,7,181,270
"Avalon/Avalon"," 31","Bellevue",12,1,76,39,2,130,201
"Avalon/Avalon"," 32","Thornlea",4,0,24,32,3,63,91
"Avalon/Avalon"," 33","Long Cove",19,3,79,92,3,196,347
"Avalon/Avalon"," 34","Norman's Cove",16,1,50,64,0,131,150
"Avalon/Avalon"," 35","Norman's Cove",12,0,41,60,0,113,194
"Avalon/Avalon"," 36","Chapel Arm",10,0,79,40,2,131,179
"Avalon/Avalon"," 37","Chapel Arm",14,1,83,38,3,139,196
"Avalon/Avalon"," 38","Little Harbour East",3,1,35,23,0,62,111
"Avalon/Avalon"," 39","Fair Haven",5,0,14,32,3,54,86
"Avalon/Avalon"," 40","Long Harbour",20,0,121,41,4,186,267
"Avalon/Avalon"," 41","Heart's Desire",13,2,48,51,4,118,205
"Avalon/Avalon"," 42","Heart's Delight",5,3,105,44,3,160,292
"Avalon/Avalon"," 43","Heart's Delight",6,1,48,42,1,98,156
"Avalon/Avalon"," 44","Islington",4,3,63,42,3,115,165
"Avalon/Avalon"," 45","Cavendish",19,5,57,51,1,133,230
"Avalon/Avalon"," 46","Whiteway",13,0,60,57,0,130,207
"Avalon/Avalon"," 47","Green's Harbour",15,5,95,77,3,195,329
