Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Fontana,Stephen Maynard,John Mazzilli,Margaret Mondaca,Rod Morley,Stuart Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"London North Centre/London-Centre-Nord"," 73","London",114,58,117,2,1,11,2,305,412
"London North Centre/London-Centre-Nord"," 74","London",123,49,119,0,1,10,1,303,446
"London North Centre/London-Centre-Nord"," 75","London",111,40,125,0,2,5,4,287,424
"London North Centre/London-Centre-Nord"," 76","London",137,64,77,3,1,7,3,292,448
"London North Centre/London-Centre-Nord"," 77","London",69,40,67,1,3,4,0,184,269
"London North Centre/London-Centre-Nord"," 78","London",123,76,92,2,3,14,3,313,486
"London North Centre/London-Centre-Nord"," 79A","London",54,43,22,1,0,12,2,134,224
"London North Centre/London-Centre-Nord"," 79B","Mobile poll/Bureau itinérant",Merged with No. 16B/Fusionné avec le nº 16B,,,,,,,,69
"London North Centre/London-Centre-Nord"," 80","London",133,97,61,0,0,18,2,311,470
"London North Centre/London-Centre-Nord"," 81","London",94,69,34,0,1,33,0,231,344
"London North Centre/London-Centre-Nord"," 82","London",58,79,52,1,3,17,0,210,358
"London North Centre/London-Centre-Nord"," 83","London",56,51,25,0,0,17,3,152,284
"London North Centre/London-Centre-Nord"," 84","London",119,116,63,0,0,20,0,318,560
"London North Centre/London-Centre-Nord"," 85","London",91,96,36,2,0,8,0,233,446
"London North Centre/London-Centre-Nord"," 86A","London",118,45,67,0,0,12,0,242,401
"London North Centre/London-Centre-Nord"," 86B","London",121,46,87,1,0,11,0,266,358
"London North Centre/London-Centre-Nord"," 87","London",Merged with No. 86B/Fusionné avec le nº 86B,,,,,,,,55
"London North Centre/London-Centre-Nord"," 88","London",82,5,47,0,0,10,0,144,264
"London North Centre/London-Centre-Nord"," 89","London",76,17,34,0,1,10,0,138,245
"London North Centre/London-Centre-Nord"," 90","London",74,36,49,0,0,5,0,164,354
"London North Centre/London-Centre-Nord"," 91","London",79,65,49,1,1,6,3,204,295
"London North Centre/London-Centre-Nord"," 92","London",137,71,80,0,0,28,1,317,457
"London North Centre/London-Centre-Nord"," 93","London",156,133,81,0,0,24,3,397,580
"London North Centre/London-Centre-Nord"," 94","London",104,78,59,1,1,24,0,267,430
"London North Centre/London-Centre-Nord"," 95","London",112,80,66,0,1,20,0,279,396
"London North Centre/London-Centre-Nord"," 96","London",153,92,69,0,0,27,4,345,356
"London North Centre/London-Centre-Nord"," 97","London",111,89,84,0,2,22,2,310,317
"London North Centre/London-Centre-Nord"," 98","London",148,54,93,0,0,28,1,324,448
"London North Centre/London-Centre-Nord"," 99","London",151,61,96,0,0,16,1,325,476
"London North Centre/London-Centre-Nord"," 100A","London",77,43,74,0,1,8,1,204,366
"London North Centre/London-Centre-Nord"," 100B","London",80,47,52,0,1,10,0,190,339
"London North Centre/London-Centre-Nord"," 101","London",137,56,108,1,3,20,0,325,598
"London North Centre/London-Centre-Nord"," 102","London",80,65,85,0,0,9,0,239,393
"London North Centre/London-Centre-Nord"," 103","London",81,47,73,0,0,12,0,213,334
"London North Centre/London-Centre-Nord"," 104","London",85,57,86,2,1,13,0,244,415
"London North Centre/London-Centre-Nord"," 105","London",54,73,71,1,0,9,3,211,390
"London North Centre/London-Centre-Nord"," 106","London",30,61,24,0,1,6,0,122,312
"London North Centre/London-Centre-Nord"," 107","London",44,49,31,0,1,10,3,138,318
"London North Centre/London-Centre-Nord"," 108","London",100,69,78,1,0,15,1,264,472
"London North Centre/London-Centre-Nord"," 109","London",126,57,66,0,2,11,3,265,450
"London North Centre/London-Centre-Nord"," 110","London",67,55,57,0,0,13,2,194,345
"London North Centre/London-Centre-Nord"," 111","London",114,72,49,3,1,13,2,254,588
"London North Centre/London-Centre-Nord"," 112","London",94,72,61,2,1,14,2,246,553
"London North Centre/London-Centre-Nord"," 113","London",Void/Supprimé,,,,,,,,
"London North Centre/London-Centre-Nord"," 114","London",46,52,30,1,0,6,2,137,362
"London North Centre/London-Centre-Nord"," 115","London",110,109,75,1,2,13,2,312,485
"London North Centre/London-Centre-Nord"," 116","London",63,38,27,1,1,7,3,140,365
"London North Centre/London-Centre-Nord"," 117","London",60,61,45,0,1,6,0,173,285
"London North Centre/London-Centre-Nord"," 118","London",34,58,11,2,1,9,2,117,359
"London North Centre/London-Centre-Nord"," 119","London",100,97,80,1,2,14,2,296,606
"London North Centre/London-Centre-Nord"," 120","London",44,19,20,0,1,9,0,93,271
"London North Centre/London-Centre-Nord"," 121","London",59,66,45,2,1,13,1,187,462
"London North Centre/London-Centre-Nord"," 122","London",74,78,56,0,1,17,3,229,385
"London North Centre/London-Centre-Nord"," 123","London",50,39,37,0,0,8,0,134,267
"London North Centre/London-Centre-Nord"," 124","London",75,93,62,1,1,19,4,255,451
"London North Centre/London-Centre-Nord"," 125","London",70,57,46,0,1,8,1,183,349
"London North Centre/London-Centre-Nord"," 126","London",81,57,78,0,2,13,0,231,375
"London North Centre/London-Centre-Nord"," 127","London",101,70,76,0,4,12,1,264,379
"London North Centre/London-Centre-Nord"," 128","London",71,43,60,0,2,13,1,190,346
"London North Centre/London-Centre-Nord"," 129","London",65,47,44,0,1,6,1,164,317
"London North Centre/London-Centre-Nord"," 130","London",104,77,63,0,0,19,1,264,388
"London North Centre/London-Centre-Nord"," 131","London",116,77,56,3,1,15,4,272,381
"London North Centre/London-Centre-Nord"," 132","London",95,47,70,1,1,26,0,240,312
"London North Centre/London-Centre-Nord"," 133","London",96,55,60,2,1,22,1,237,378
"London North Centre/London-Centre-Nord"," 134A","London",109,85,62,0,0,24,0,280,479
"London North Centre/London-Centre-Nord"," 134B","Mobile poll/Bureau itinérant",82,30,44,4,3,6,3,172,159
"London North Centre/London-Centre-Nord"," 135","London",107,48,63,0,0,22,1,241,390
"London North Centre/London-Centre-Nord"," 136","London",101,78,60,0,0,26,1,266,400
"London North Centre/London-Centre-Nord"," 137","London",106,59,57,0,0,20,2,244,408
"London North Centre/London-Centre-Nord"," 138","London",89,93,59,0,2,24,1,268,440
"London North Centre/London-Centre-Nord"," 139","London",103,82,55,1,3,18,1,263,432
"London North Centre/London-Centre-Nord"," 140","London",66,66,33,0,1,12,2,180,336
"London North Centre/London-Centre-Nord"," 141","London",66,82,40,0,0,10,1,199,390
"London North Centre/London-Centre-Nord"," 142","London",58,72,45,0,2,9,1,187,383
"London North Centre/London-Centre-Nord"," 143","London",54,63,51,1,0,9,2,180,345
"London North Centre/London-Centre-Nord"," 144","London",64,59,65,1,1,26,1,217,345
"London North Centre/London-Centre-Nord"," 145","London",169,81,80,0,1,38,1,370,505
"London North Centre/London-Centre-Nord"," 146","London",167,52,102,1,1,26,0,349,513
"London North Centre/London-Centre-Nord"," 147","London",Merged with No. 148/Fusionné avec le nº 148,,,,,,,,77
"London North Centre/London-Centre-Nord"," 148","London",142,80,90,1,0,26,1,340,442
"London North Centre/London-Centre-Nord"," 149","London",82,58,41,0,3,19,3,206,353
"London North Centre/London-Centre-Nord"," 150","London",103,92,34,1,0,13,1,244,370
"London North Centre/London-Centre-Nord"," 151","London",87,65,56,1,3,27,1,240,425
"London North Centre/London-Centre-Nord"," 152","London",77,39,29,0,1,14,3,163,296
"London North Centre/London-Centre-Nord"," 153","London",55,63,35,1,0,20,0,174,334
"London North Centre/London-Centre-Nord"," 154","London",47,61,23,1,0,14,0,146,344
"London North Centre/London-Centre-Nord"," 155","London",59,59,32,0,1,22,0,173,291
"London North Centre/London-Centre-Nord"," 156","London",68,62,26,0,2,21,1,180,326
"London North Centre/London-Centre-Nord"," 157","London",36,46,23,1,0,20,3,129,231
"London North Centre/London-Centre-Nord"," 158","London",42,32,28,0,0,4,0,106,209
"London North Centre/London-Centre-Nord"," 159A","London",62,32,39,1,1,10,0,145,261
"London North Centre/London-Centre-Nord"," 159B","Mobile poll/Bureau itinérant",Merged with No. 71B/Fusionné avec le nº 71B,,,,,,,,49
"London North Centre/London-Centre-Nord"," 160","London",95,68,50,2,1,16,2,234,372
"London North Centre/London-Centre-Nord"," 161","London",97,21,67,0,1,10,0,196,309
"London North Centre/London-Centre-Nord"," 162","London",116,73,82,0,2,16,1,290,493
"London North Centre/London-Centre-Nord"," 163","London",75,73,55,1,1,8,0,213,334
"London North Centre/London-Centre-Nord"," 164","London",111,45,57,1,0,18,2,234,388
"London North Centre/London-Centre-Nord"," 165","London",45,25,20,0,1,6,0,97,232
"London North Centre/London-Centre-Nord"," 166A","London",80,45,70,0,2,14,0,211,372
"London North Centre/London-Centre-Nord"," 166B","London",71,39,59,0,1,20,0,190,373
"London North Centre/London-Centre-Nord"," 167","London",78,62,36,1,0,13,2,192,379
"London North Centre/London-Centre-Nord"," 168A","London",55,45,46,0,1,10,1,158,335
"London North Centre/London-Centre-Nord"," 168B","Mobile poll/Bureau itinérant",Merged with No. 134B/Fusionné avec le nº 134B,,,,,,,,25
"London North Centre/London-Centre-Nord"," 169","London",53,53,43,2,2,5,0,158,335
"London North Centre/London-Centre-Nord"," 170","London",64,64,35,2,1,15,0,181,345
"London North Centre/London-Centre-Nord"," 171","London",35,38,27,2,1,8,2,113,222
"London North Centre/London-Centre-Nord"," 172","London",52,49,40,0,1,7,0,149,288
"London North Centre/London-Centre-Nord"," 173","London",82,83,66,0,0,20,2,253,525
"London North Centre/London-Centre-Nord"," 174","London",73,98,53,12,0,0,1,237,386
"London North Centre/London-Centre-Nord"," 175","London",29,35,24,0,0,5,0,93,339
"London North Centre/London-Centre-Nord"," 176","London",56,63,18,0,2,8,1,148,210
"London North Centre/London-Centre-Nord"," 177","London",23,28,5,0,0,3,0,59,252
"London North Centre/London-Centre-Nord"," 178","London",Merged with No. 176/Fusionné avec le nº 176,,,,,,,,122
"London North Centre/London-Centre-Nord"," 179","London",66,101,48,2,1,7,2,227,469
"London North Centre/London-Centre-Nord"," 180","London",52,61,42,0,0,11,1,167,352
"London North Centre/London-Centre-Nord"," 181","London",66,105,46,2,2,28,0,249,506
"London North Centre/London-Centre-Nord"," 182","London",64,99,34,0,0,18,0,215,420
"London North Centre/London-Centre-Nord"," 183","London",54,64,42,1,0,21,1,183,380
"London North Centre/London-Centre-Nord"," 184","London",61,65,26,1,0,9,0,162,366
"London North Centre/London-Centre-Nord"," 185","London",50,57,26,0,1,20,0,154,323
"London North Centre/London-Centre-Nord"," 186","London",31,56,25,2,0,9,1,124,306
"London North Centre/London-Centre-Nord"," 187","London",74,92,37,1,1,16,0,221,520
"London North Centre/London-Centre-Nord"," 188","London",44,59,46,0,1,13,0,163,378
"London North Centre/London-Centre-Nord"," 189","London",69,76,53,2,1,19,3,223,443
"London North Centre/London-Centre-Nord"," 190","London",71,52,42,2,4,6,1,178,423
"London North Centre/London-Centre-Nord"," 191","London",55,69,34,2,2,8,0,170,382
"London North Centre/London-Centre-Nord"," 192","London",43,86,33,1,3,11,3,180,336
"London North Centre/London-Centre-Nord"," 193","London",39,77,46,0,3,4,0,169,335
"London North Centre/London-Centre-Nord"," 194","London",50,72,43,0,1,7,1,174,368
"London North Centre/London-Centre-Nord"," 195A","London",57,69,56,0,1,9,1,193,422
"London North Centre/London-Centre-Nord"," 195B","Mobile poll/Bureau itinérant",35,11,14,2,1,2,0,65,35
"London North Centre/London-Centre-Nord"," 196","London",66,80,45,1,2,7,1,202,460
"London North Centre/London-Centre-Nord"," 197","London",36,75,43,0,2,7,3,166,434
"London North Centre/London-Centre-Nord"," 198","London",38,35,24,0,2,9,0,108,291
"London North Centre/London-Centre-Nord"," 199","London",47,39,24,0,1,10,0,121,267
"London North Centre/London-Centre-Nord"," 200","London",58,57,33,12,1,0,0,161,317
"London North Centre/London-Centre-Nord"," 201","London",44,23,33,0,1,3,0,104,286
"London North Centre/London-Centre-Nord"," 202","London",39,55,21,0,0,14,0,129,351
"London North Centre/London-Centre-Nord"," 203A","London",44,46,27,0,0,17,1,135,315
"London North Centre/London-Centre-Nord"," 203B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,40
"London North Centre/London-Centre-Nord"," 204","London",81,44,49,0,0,12,0,186,376
"London North Centre/London-Centre-Nord"," 205","London",92,67,38,2,1,7,2,209,485
"London North Centre/London-Centre-Nord"," 206","London",84,67,41,0,2,17,1,212,501
"London North Centre/London-Centre-Nord"," 207","London",51,62,21,0,2,15,0,151,370
"London North Centre/London-Centre-Nord"," 208","London",55,64,39,0,0,24,0,182,445
"London North Centre/London-Centre-Nord"," 209","London",43,54,37,0,1,18,3,156,356
"London North Centre/London-Centre-Nord"," 210","London",64,68,29,1,2,13,0,177,422
"London North Centre/London-Centre-Nord"," 211","London",43,54,64,2,3,11,3,180,378
"London North Centre/London-Centre-Nord"," 212","London",46,56,33,1,0,10,0,146,335
"London North Centre/London-Centre-Nord"," 213","London",48,65,49,3,0,9,1,175,389
"London North Centre/London-Centre-Nord"," 214","London",46,63,40,0,1,11,0,161,367
"London North Centre/London-Centre-Nord"," 215","London",54,53,39,1,0,6,0,153,335
"London North Centre/London-Centre-Nord"," 216","London",44,35,29,0,3,8,2,121,267
"London North Centre/London-Centre-Nord"," 217","London",61,54,24,0,1,11,1,152,348
"London North Centre/London-Centre-Nord"," 218","London",58,81,48,0,3,8,1,199,362
"London North Centre/London-Centre-Nord"," 400","London",76,24,88,0,5,9,2,204,284
"London North Centre/London-Centre-Nord"," 401","London",Void/Supprimé,,,,,,,,
"London North Centre/London-Centre-Nord"," 402","London",98,39,67,1,3,3,0,211,273
"London North Centre/London-Centre-Nord"," 403","London",193,96,101,2,0,26,1,419,526
"London North Centre/London-Centre-Nord"," 404","London",193,87,99,1,4,21,2,407,422
"London North Centre/London-Centre-Nord"," 405","London",316,153,146,3,2,39,1,660,690
"London North Centre/London-Centre-Nord"," 406","London",Merged with No. 22/Fusionné avec le nº 22,,,,,,,,1
"London North Centre/London-Centre-Nord"," 407","London",Merged with No. 403/Fusionné avec le nº 403,,,,,,,,122
"London North Centre/London-Centre-Nord"," 408","London",Void/Supprimé,,,,,,,,
"London North Centre/London-Centre-Nord"," 409","London",Void/Supprimé,,,,,,,,
"London North Centre/London-Centre-Nord"," 410","London",Merged with No. 403/Fusionné avec le nº 403,,,,,,,,24
"London North Centre/London-Centre-Nord"," 411","London",27,31,12,0,3,2,0,75,128
"London North Centre/London-Centre-Nord"," 412","London",111,36,74,1,0,15,1,238,310
"London North Centre/London-Centre-Nord"," 413","London",46,9,24,0,0,1,28,108,138
"London North Centre/London-Centre-Nord"," 414","London",76,58,24,0,1,6,1,166,253
"London North Centre/London-Centre-Nord"," 500","Mobile poll/Bureau itinérant",34,12,14,1,0,1,2,64,108
"London North Centre/London-Centre-Nord"," 600","London",327,63,416,1,2,33,0,842,
"London North Centre/London-Centre-Nord"," 601","London",240,59,288,1,3,12,1,604,
"London North Centre/London-Centre-Nord"," 602","London",350,122,483,1,0,21,0,977,
"London North Centre/London-Centre-Nord"," 603","London",173,75,132,0,3,22,0,405,
"London North Centre/London-Centre-Nord"," 604","London",168,49,191,0,1,7,5,421,
"London North Centre/London-Centre-Nord"," 605","London",230,142,204,1,2,23,0,602,
"London North Centre/London-Centre-Nord"," 606","London",238,125,166,0,2,21,0,552,
"London North Centre/London-Centre-Nord"," 607","London",201,109,146,0,4,24,1,485,
"London North Centre/London-Centre-Nord"," 608","London",109,113,109,1,6,15,2,355,
"London North Centre/London-Centre-Nord"," 609","London",240,174,176,1,5,39,4,639,
"London North Centre/London-Centre-Nord",,Group 1/Groupe 1,79,32,58,2,5,12,7,195,403
"London North Centre/London-Centre-Nord",,Group 2/Groupe 2,580,284,567,5,12,62,29,1539,
