Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Josée Carbonneau,Charles Lavergne,Marc Lemay,Christine Moore,Patrick Rancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 1","Val-Paradis",13,22,72,10,2,2,121,188
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 2","Beaucanton",19,8,89,6,2,3,127,229
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 3","Villebois",27,12,77,11,3,2,132,206
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 4","Saint-Lambert-de-Méloizes",26,7,56,9,2,2,102,173
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 5","Normétal",45,15,96,11,4,2,173,323
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 6","Normétal",37,21,116,17,2,1,194,386
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 7","Saint-Vital-de-Clermont",54,12,96,16,4,5,187,351
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 8A","Val-Saint-Gilles",4,4,11,2,0,1,22,46
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 8B","Val-Saint-Gilles",19,23,28,5,2,0,77,149
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 9","La Reine",35,19,71,51,1,2,179,276
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 10","Saint-Jacques-de-Dupuy",41,19,87,26,4,5,182,272
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 11","Saint-Jacques-de-Dupuy",68,34,107,21,7,4,241,430
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 12","La Sarre",76,20,133,25,8,1,263,516
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 13","La Sarre",51,22,77,17,2,5,174,350
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 14","La Sarre",39,15,105,21,4,2,186,404
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 15","Chazel",19,20,61,16,5,0,121,229
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 16","La Sarre",14,4,38,3,1,2,62,53
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 17","La Sarre",Merged with No. 16/Fusionné avec le nº 16,,,,,,,53
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 18A","La Sarre",44,20,113,24,5,1,207,423
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 18B","La Sarre",60,14,119,24,4,3,224,417
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 19","La Sarre",43,21,66,14,3,6,153,400
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 20","La Sarre",46,23,70,6,4,0,149,387
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 21","La Sarre",66,18,118,30,3,0,235,495
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 22","La Sarre",26,21,74,11,5,2,139,299
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 23","La Sarre",52,21,64,15,11,2,165,359
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 24","La Sarre",50,16,107,15,6,0,194,401
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 25","La Sarre",49,9,131,22,6,3,220,476
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 26","La Sarre",52,17,87,12,3,1,172,355
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 27","La Sarre",31,13,94,14,5,2,159,337
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 28","La Sarre",45,9,86,20,3,0,163,330
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 29","Clerval",31,18,69,19,2,1,140,242
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 30","Sainte-Hélène-de-Mancebourg",31,14,80,32,2,0,159,262
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 31","Palmarolle",42,23,146,35,8,3,257,413
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 32","Palmarolle",52,25,86,33,7,3,206,360
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 33","Palmarolle",30,16,87,26,5,4,168,298
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 34","Colombourg",64,17,113,25,3,2,224,405
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 35","Macamic",63,34,119,32,3,7,258,500
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 36","Macamic",43,17,79,9,3,0,151,316
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 37","Macamic",55,12,80,16,5,2,170,363
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 38","Macamic",49,24,83,23,10,1,190,412
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 39A","Mobile poll/Bureau itinérant",Merged with No. 39B/Fusionné avec le nº 39B,,,,,,,12
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 39B","Mobile poll/Bureau itinérant",5,13,7,4,0,0,29,130
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 40","Authier-Nord",23,16,68,2,5,0,114,199
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 41","Authier",28,19,65,13,2,1,128,219
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 42","Taschereau",41,20,86,10,2,3,162,316
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 43","Roquemaure",43,14,99,25,7,3,191,305
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 44","Gallichan",58,25,98,14,10,0,205,338
