Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sunny Athwal,Nancy Clegg,Harjit Daudharia,Sukh Dhaliwal,Phil Eidsvik,Rob Girn,Mike Saifie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Newton--North Delta/Newton--Delta-Nord"," 1","Delta",10,81,0,64,61,2,1,2,221,352
"Newton--North Delta/Newton--Delta-Nord"," 2","Delta",6,89,1,55,120,1,0,1,273,444
"Newton--North Delta/Newton--Delta-Nord"," 3","Delta",8,117,0,73,133,1,0,2,334,462
"Newton--North Delta/Newton--Delta-Nord"," 4","Delta",11,87,0,50,128,0,0,0,276,432
"Newton--North Delta/Newton--Delta-Nord"," 5","Delta",6,101,2,61,90,3,0,0,263,388
"Newton--North Delta/Newton--Delta-Nord"," 6","Delta",2,93,0,61,93,4,1,1,255,414
"Newton--North Delta/Newton--Delta-Nord"," 7","Delta",5,117,1,59,75,4,1,0,262,377
"Newton--North Delta/Newton--Delta-Nord"," 8","Delta",4,81,1,64,80,2,0,0,232,431
"Newton--North Delta/Newton--Delta-Nord"," 9","Delta",7,80,1,62,70,4,1,1,226,386
"Newton--North Delta/Newton--Delta-Nord"," 10","Delta",6,123,0,50,82,4,3,0,268,439
"Newton--North Delta/Newton--Delta-Nord"," 11","Delta",7,90,0,45,79,0,1,1,223,393
"Newton--North Delta/Newton--Delta-Nord"," 12","Delta",11,88,1,81,62,1,1,1,246,429
"Newton--North Delta/Newton--Delta-Nord"," 13","Delta",7,106,0,63,70,2,0,0,248,373
"Newton--North Delta/Newton--Delta-Nord"," 14","Delta",7,109,0,80,64,2,0,1,263,498
"Newton--North Delta/Newton--Delta-Nord"," 15","Delta",2,63,0,39,45,0,0,0,149,319
"Newton--North Delta/Newton--Delta-Nord"," 16","Delta",9,62,0,54,77,1,1,1,205,363
"Newton--North Delta/Newton--Delta-Nord"," 17","Delta",9,122,0,97,87,4,0,1,320,514
"Newton--North Delta/Newton--Delta-Nord"," 18","Delta",5,68,1,44,43,0,1,0,162,355
"Newton--North Delta/Newton--Delta-Nord"," 19","Delta",3,66,2,61,115,2,0,1,250,468
"Newton--North Delta/Newton--Delta-Nord"," 20","Delta",10,64,0,60,74,6,1,0,215,343
"Newton--North Delta/Newton--Delta-Nord"," 21","Delta",4,116,0,101,108,1,0,1,331,527
"Newton--North Delta/Newton--Delta-Nord"," 22","Delta",7,82,0,76,96,1,1,0,263,410
"Newton--North Delta/Newton--Delta-Nord"," 23","Delta",8,104,2,68,103,1,0,0,286,444
"Newton--North Delta/Newton--Delta-Nord"," 24","Delta",8,94,2,36,85,1,0,0,226,354
"Newton--North Delta/Newton--Delta-Nord"," 25","Delta",7,80,1,88,80,3,0,0,259,457
"Newton--North Delta/Newton--Delta-Nord"," 26","Delta",4,82,0,53,66,0,0,0,205,381
"Newton--North Delta/Newton--Delta-Nord"," 27","Delta",2,105,0,59,75,0,0,3,244,409
"Newton--North Delta/Newton--Delta-Nord"," 28","Delta",3,52,1,42,79,3,2,0,182,310
"Newton--North Delta/Newton--Delta-Nord"," 29","Delta",2,129,2,81,96,3,1,1,315,539
"Newton--North Delta/Newton--Delta-Nord"," 30","Delta",2,98,1,59,70,3,0,1,234,363
"Newton--North Delta/Newton--Delta-Nord"," 31","Delta",3,86,0,57,55,2,2,0,205,345
"Newton--North Delta/Newton--Delta-Nord"," 32","Delta",2,76,1,72,90,2,1,0,244,381
"Newton--North Delta/Newton--Delta-Nord"," 33","Delta",9,94,0,74,62,4,1,3,247,435
"Newton--North Delta/Newton--Delta-Nord"," 34","Delta",3,81,1,75,37,1,0,0,198,394
"Newton--North Delta/Newton--Delta-Nord"," 35","Delta",3,92,1,85,46,0,2,0,229,399
"Newton--North Delta/Newton--Delta-Nord"," 36","Delta",4,60,0,50,66,3,1,0,184,361
"Newton--North Delta/Newton--Delta-Nord"," 37","Delta",5,82,0,88,63,0,0,2,240,417
"Newton--North Delta/Newton--Delta-Nord"," 38","Delta",4,99,0,69,57,1,1,1,232,505
"Newton--North Delta/Newton--Delta-Nord"," 39","Delta",3,34,0,34,52,1,0,0,124,254
"Newton--North Delta/Newton--Delta-Nord"," 40","Delta",5,116,0,79,111,4,1,1,317,462
"Newton--North Delta/Newton--Delta-Nord"," 41","Delta",4,71,1,93,123,0,1,0,293,421
