Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen J. Harper,Larry R. Heather,Holly Heffernan,Mike Swanson,Kim Warnke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Calgary Southwest/Calgary-Sud-Ouest"," 34","Calgary",147,1,11,29,22,1,211,404
"Calgary Southwest/Calgary-Sud-Ouest"," 35","Calgary",104,2,19,30,14,0,169,360
"Calgary Southwest/Calgary-Sud-Ouest"," 36","Calgary",129,0,11,20,23,0,183,352
"Calgary Southwest/Calgary-Sud-Ouest"," 37","Calgary",110,2,14,27,16,1,170,324
"Calgary Southwest/Calgary-Sud-Ouest"," 38","Calgary",184,0,10,39,10,0,243,404
"Calgary Southwest/Calgary-Sud-Ouest"," 39","Calgary",217,0,17,32,36,1,303,420
"Calgary Southwest/Calgary-Sud-Ouest"," 40","Calgary",177,2,10,33,23,0,245,377
"Calgary Southwest/Calgary-Sud-Ouest"," 41","Calgary",107,0,14,27,16,1,165,405
"Calgary Southwest/Calgary-Sud-Ouest"," 42","Calgary",109,0,31,32,16,2,190,264
"Calgary Southwest/Calgary-Sud-Ouest"," 43","Calgary",79,0,13,21,10,1,124,325
"Calgary Southwest/Calgary-Sud-Ouest"," 44A","Calgary",Merged with No. 42/Fusionné avec le nº 42,,,,,,,133
"Calgary Southwest/Calgary-Sud-Ouest"," 44B","Calgary",Merged with No. 45/Fusionné avec le nº 45,,,,,,,103
"Calgary Southwest/Calgary-Sud-Ouest"," 45","Calgary",152,2,28,30,29,1,242,299
"Calgary Southwest/Calgary-Sud-Ouest"," 46","Calgary",117,0,26,28,27,0,198,367
"Calgary Southwest/Calgary-Sud-Ouest"," 47","Calgary",118,1,21,34,18,0,192,448
"Calgary Southwest/Calgary-Sud-Ouest"," 48","Calgary",107,3,13,21,11,0,155,359
"Calgary Southwest/Calgary-Sud-Ouest"," 49","Calgary",Void/Supprimé,,,,,,,
"Calgary Southwest/Calgary-Sud-Ouest"," 50","Calgary",194,0,21,27,26,1,269,359
"Calgary Southwest/Calgary-Sud-Ouest"," 51","Calgary",154,1,8,27,29,2,221,382
"Calgary Southwest/Calgary-Sud-Ouest"," 52","Calgary",172,0,30,28,24,1,255,403
"Calgary Southwest/Calgary-Sud-Ouest"," 53","Calgary",181,0,29,24,21,0,255,460
"Calgary Southwest/Calgary-Sud-Ouest"," 54","Calgary",114,0,14,25,17,0,170,345
"Calgary Southwest/Calgary-Sud-Ouest"," 55","Calgary",140,1,16,16,20,0,193,325
"Calgary Southwest/Calgary-Sud-Ouest"," 56","Calgary",133,0,20,20,21,0,194,333
"Calgary Southwest/Calgary-Sud-Ouest"," 57","Calgary",150,0,25,22,28,0,225,359
"Calgary Southwest/Calgary-Sud-Ouest"," 58","Calgary",190,1,25,37,14,0,267,363
"Calgary Southwest/Calgary-Sud-Ouest"," 59","Calgary",101,2,24,35,15,1,178,309
"Calgary Southwest/Calgary-Sud-Ouest"," 60","Calgary",144,1,14,20,24,1,204,363
"Calgary Southwest/Calgary-Sud-Ouest"," 61","Calgary",179,0,21,28,29,0,257,386
"Calgary Southwest/Calgary-Sud-Ouest"," 62","Calgary",162,1,20,22,20,0,225,394
"Calgary Southwest/Calgary-Sud-Ouest"," 63","Calgary",185,1,20,24,23,1,254,391
"Calgary Southwest/Calgary-Sud-Ouest"," 64","Calgary",118,6,34,22,32,0,212,323
"Calgary Southwest/Calgary-Sud-Ouest"," 65","Calgary",171,2,40,20,29,1,263,381
"Calgary Southwest/Calgary-Sud-Ouest"," 66","Calgary",206,2,35,41,31,0,315,451
"Calgary Southwest/Calgary-Sud-Ouest"," 67","Calgary",123,1,24,35,23,1,207,368
"Calgary Southwest/Calgary-Sud-Ouest"," 68","Calgary",185,2,26,29,17,1,260,427
"Calgary Southwest/Calgary-Sud-Ouest"," 69","Calgary",143,1,13,20,16,0,193,360
"Calgary Southwest/Calgary-Sud-Ouest"," 70","Calgary",170,0,15,28,14,0,227,360
"Calgary Southwest/Calgary-Sud-Ouest"," 71","Calgary",140,0,21,18,27,0,206,400
"Calgary Southwest/Calgary-Sud-Ouest"," 72","Calgary",168,3,30,22,21,3,247,469
"Calgary Southwest/Calgary-Sud-Ouest"," 73","Calgary",176,0,20,33,14,0,243,428
"Calgary Southwest/Calgary-Sud-Ouest"," 74","Calgary",162,0,12,35,15,1,225,397
"Calgary Southwest/Calgary-Sud-Ouest"," 75","Calgary",127,0,20,12,15,1,175,285
"Calgary Southwest/Calgary-Sud-Ouest"," 76","Calgary",147,1,22,26,18,0,214,409
"Calgary Southwest/Calgary-Sud-Ouest"," 77","Calgary",129,0,12,21,8,1,171,353
"Calgary Southwest/Calgary-Sud-Ouest"," 78","Calgary",193,1,31,43,19,1,288,532
"Calgary Southwest/Calgary-Sud-Ouest"," 79","Calgary",119,0,22,35,9,0,185,383
"Calgary Southwest/Calgary-Sud-Ouest"," 80","Calgary",182,1,19,23,22,0,247,407
"Calgary Southwest/Calgary-Sud-Ouest"," 81","Calgary",177,3,22,41,20,0,263,473
"Calgary Southwest/Calgary-Sud-Ouest"," 82","Calgary",140,2,19,25,21,1,208,398
"Calgary Southwest/Calgary-Sud-Ouest"," 83","Calgary",148,4,15,21,19,0,207,325
"Calgary Southwest/Calgary-Sud-Ouest"," 84","Calgary",162,1,26,17,18,1,225,365
"Calgary Southwest/Calgary-Sud-Ouest"," 85","Calgary",219,1,16,38,35,2,311,514
"Calgary Southwest/Calgary-Sud-Ouest"," 86","Calgary",175,1,18,18,14,1,227,337
"Calgary Southwest/Calgary-Sud-Ouest"," 87","Calgary",138,4,33,25,21,1,222,426
"Calgary Southwest/Calgary-Sud-Ouest"," 88","Calgary",97,1,18,18,18,0,152,359
"Calgary Southwest/Calgary-Sud-Ouest"," 89","Calgary",126,1,16,16,18,0,177,332
"Calgary Southwest/Calgary-Sud-Ouest"," 90","Calgary",133,0,24,15,14,0,186,336
"Calgary Southwest/Calgary-Sud-Ouest"," 91","Calgary",192,2,24,23,21,0,262,421
"Calgary Southwest/Calgary-Sud-Ouest"," 92","Calgary",195,1,8,21,15,3,243,373
"Calgary Southwest/Calgary-Sud-Ouest"," 93","Calgary",178,2,24,19,10,0,233,378
"Calgary Southwest/Calgary-Sud-Ouest"," 94","Calgary",175,0,15,24,13,1,228,373
"Calgary Southwest/Calgary-Sud-Ouest"," 95","Calgary",144,0,20,29,28,0,221,403
"Calgary Southwest/Calgary-Sud-Ouest"," 96","Calgary",158,2,27,30,26,2,245,408
"Calgary Southwest/Calgary-Sud-Ouest"," 97","Calgary",153,0,24,31,14,0,222,397
"Calgary Southwest/Calgary-Sud-Ouest"," 98","Calgary",187,1,9,36,15,2,250,413
"Calgary Southwest/Calgary-Sud-Ouest"," 99","Calgary",154,0,17,30,15,0,216,398
"Calgary Southwest/Calgary-Sud-Ouest"," 100","Calgary",135,4,12,23,16,0,190,333
"Calgary Southwest/Calgary-Sud-Ouest"," 101","Calgary",164,1,18,27,18,0,228,355
"Calgary Southwest/Calgary-Sud-Ouest"," 102","Calgary",176,0,14,31,17,0,238,433
"Calgary Southwest/Calgary-Sud-Ouest"," 103","Calgary",202,1,30,35,15,1,284,467
"Calgary Southwest/Calgary-Sud-Ouest"," 104","Calgary",141,1,24,31,14,2,213,370
"Calgary Southwest/Calgary-Sud-Ouest"," 105","Calgary",129,1,15,26,17,1,189,343
"Calgary Southwest/Calgary-Sud-Ouest"," 106","Calgary",202,5,20,16,23,1,267,421
"Calgary Southwest/Calgary-Sud-Ouest"," 107","Calgary",160,0,23,26,21,1,231,347
"Calgary Southwest/Calgary-Sud-Ouest"," 108","Calgary",192,0,13,36,30,0,271,430
"Calgary Southwest/Calgary-Sud-Ouest"," 109","Calgary",183,0,11,23,29,0,246,381
"Calgary Southwest/Calgary-Sud-Ouest"," 110","Calgary",196,1,7,31,20,1,256,428
"Calgary Southwest/Calgary-Sud-Ouest"," 111","Calgary",186,0,20,20,23,0,249,440
"Calgary Southwest/Calgary-Sud-Ouest"," 112","Calgary",116,0,16,11,10,0,153,385
"Calgary Southwest/Calgary-Sud-Ouest"," 113","Calgary",174,1,17,30,20,0,242,382
"Calgary Southwest/Calgary-Sud-Ouest"," 114","Calgary",169,1,13,39,14,0,236,415
"Calgary Southwest/Calgary-Sud-Ouest"," 115","Calgary",176,0,22,38,22,0,258,449
"Calgary Southwest/Calgary-Sud-Ouest"," 116","Calgary",Void/Supprimé,,,,,,,
"Calgary Southwest/Calgary-Sud-Ouest"," 117","Calgary",150,1,15,20,12,0,198,355
"Calgary Southwest/Calgary-Sud-Ouest"," 118","Calgary",112,1,20,21,19,0,173,345
"Calgary Southwest/Calgary-Sud-Ouest"," 119","Calgary",171,1,22,18,18,2,232,339
"Calgary Southwest/Calgary-Sud-Ouest"," 120","Calgary",154,2,21,43,25,0,245,392
"Calgary Southwest/Calgary-Sud-Ouest"," 121","Calgary",241,2,20,29,22,0,314,449
"Calgary Southwest/Calgary-Sud-Ouest"," 122","Calgary",204,3,23,25,24,0,279,378
"Calgary Southwest/Calgary-Sud-Ouest"," 123","Calgary",153,0,10,22,18,0,203,339
"Calgary Southwest/Calgary-Sud-Ouest"," 124","Calgary",197,1,23,15,24,0,260,380
"Calgary Southwest/Calgary-Sud-Ouest"," 125","Calgary",127,3,15,16,18,0,179,313
"Calgary Southwest/Calgary-Sud-Ouest"," 126","Calgary",178,1,31,27,21,0,258,451
"Calgary Southwest/Calgary-Sud-Ouest"," 127","Calgary",157,3,10,20,12,0,202,380
"Calgary Southwest/Calgary-Sud-Ouest"," 128","Calgary",123,4,29,28,18,0,202,325
"Calgary Southwest/Calgary-Sud-Ouest"," 129","Calgary",149,1,20,24,13,0,207,331
"Calgary Southwest/Calgary-Sud-Ouest"," 130","Calgary",170,4,19,22,6,1,222,347
"Calgary Southwest/Calgary-Sud-Ouest"," 131","Calgary",114,2,18,17,16,0,167,353
"Calgary Southwest/Calgary-Sud-Ouest"," 132","Calgary",137,1,12,23,15,0,188,405
"Calgary Southwest/Calgary-Sud-Ouest"," 133","Calgary",67,2,12,25,18,0,124,306
"Calgary Southwest/Calgary-Sud-Ouest"," 134","Calgary",103,2,20,15,18,0,158,400
"Calgary Southwest/Calgary-Sud-Ouest"," 135","Calgary",127,3,20,37,16,0,203,451
"Calgary Southwest/Calgary-Sud-Ouest"," 136","Calgary",191,2,14,40,21,0,268,401
"Calgary Southwest/Calgary-Sud-Ouest"," 137","Calgary",127,1,29,18,26,0,201,462
"Calgary Southwest/Calgary-Sud-Ouest"," 137-1","Calgary",167,2,16,26,33,2,246,326
"Calgary Southwest/Calgary-Sud-Ouest"," 138A","Calgary",Merged with No. 139/Fusionné avec le nº 139,,,,,,,101
"Calgary Southwest/Calgary-Sud-Ouest"," 138B","Calgary",Merged with No. 137-1/Fusionné avec le nº 137-1,,,,,,,99
"Calgary Southwest/Calgary-Sud-Ouest"," 139","Calgary",206,4,19,40,30,0,299,341
"Calgary Southwest/Calgary-Sud-Ouest"," 140","Calgary",198,2,31,33,14,0,278,417
"Calgary Southwest/Calgary-Sud-Ouest"," 141","Calgary",239,0,25,33,28,1,326,468
"Calgary Southwest/Calgary-Sud-Ouest"," 142","Calgary",162,0,14,31,25,0,232,356
"Calgary Southwest/Calgary-Sud-Ouest"," 143","Calgary",206,0,11,35,18,0,270,436
"Calgary Southwest/Calgary-Sud-Ouest"," 144","Calgary",170,3,20,25,18,1,237,398
"Calgary Southwest/Calgary-Sud-Ouest"," 145","Calgary",197,1,21,19,23,1,262,390
"Calgary Southwest/Calgary-Sud-Ouest"," 146","Calgary",140,0,26,22,33,0,221,439
"Calgary Southwest/Calgary-Sud-Ouest"," 147","Calgary",187,1,27,33,21,1,270,407
"Calgary Southwest/Calgary-Sud-Ouest"," 148","Calgary",114,1,19,23,22,0,179,336
"Calgary Southwest/Calgary-Sud-Ouest"," 149","Calgary",222,3,9,35,17,0,286,477
"Calgary Southwest/Calgary-Sud-Ouest"," 150","Calgary",103,1,15,21,9,0,149,307
"Calgary Southwest/Calgary-Sud-Ouest"," 151","Calgary",157,0,12,37,16,0,222,397
"Calgary Southwest/Calgary-Sud-Ouest"," 152A","Calgary",163,1,5,18,15,0,202,312
"Calgary Southwest/Calgary-Sud-Ouest"," 152B","Calgary",142,5,9,25,5,0,186,339
"Calgary Southwest/Calgary-Sud-Ouest"," 153","Calgary",195,1,4,32,14,0,246,442
"Calgary Southwest/Calgary-Sud-Ouest"," 154A","Calgary",185,1,11,15,13,0,225,362
"Calgary Southwest/Calgary-Sud-Ouest"," 154B","Calgary",163,0,5,20,15,1,204,337
"Calgary Southwest/Calgary-Sud-Ouest"," 155","Calgary",244,0,7,38,18,0,307,456
"Calgary Southwest/Calgary-Sud-Ouest"," 156A","Calgary",177,2,16,44,16,1,256,463
"Calgary Southwest/Calgary-Sud-Ouest"," 156B","Calgary",Merged with No. 163/Fusionné avec le nº 163,,,,,,,162
"Calgary Southwest/Calgary-Sud-Ouest"," 157","Calgary",177,1,27,32,12,2,251,430
"Calgary Southwest/Calgary-Sud-Ouest"," 158","Calgary",231,1,19,21,21,1,294,467
"Calgary Southwest/Calgary-Sud-Ouest"," 159","Calgary",251,3,21,24,32,1,332,567
"Calgary Southwest/Calgary-Sud-Ouest"," 160","Calgary",173,0,25,21,12,1,232,385
"Calgary Southwest/Calgary-Sud-Ouest"," 161","Calgary",105,1,19,14,15,0,154,293
"Calgary Southwest/Calgary-Sud-Ouest"," 162","Calgary",119,2,16,29,8,0,174,327
"Calgary Southwest/Calgary-Sud-Ouest"," 163","Calgary",175,1,19,25,18,0,238,261
"Calgary Southwest/Calgary-Sud-Ouest"," 164","Calgary",124,1,9,18,9,0,161,317
"Calgary Southwest/Calgary-Sud-Ouest"," 164-1","Calgary",204,8,17,41,10,1,281,502
"Calgary Southwest/Calgary-Sud-Ouest"," 165","Calgary",157,0,21,11,12,0,201,383
"Calgary Southwest/Calgary-Sud-Ouest"," 166","Calgary",196,1,28,31,14,0,270,469
"Calgary Southwest/Calgary-Sud-Ouest"," 167","Calgary",156,1,29,21,15,1,223,358
"Calgary Southwest/Calgary-Sud-Ouest"," 168","Calgary",215,1,19,32,11,0,278,435
"Calgary Southwest/Calgary-Sud-Ouest"," 169","Calgary",181,0,10,12,10,0,213,324
"Calgary Southwest/Calgary-Sud-Ouest"," 170","Calgary",188,4,14,24,14,1,245,455
"Calgary Southwest/Calgary-Sud-Ouest"," 171","Calgary",142,2,27,19,14,0,204,305
"Calgary Southwest/Calgary-Sud-Ouest"," 172","Calgary",154,0,18,17,18,0,207,385
"Calgary Southwest/Calgary-Sud-Ouest"," 173","Calgary",234,2,13,35,11,0,295,466
"Calgary Southwest/Calgary-Sud-Ouest"," 174A","Calgary",234,0,17,30,16,1,298,508
"Calgary Southwest/Calgary-Sud-Ouest"," 174B","Calgary",232,2,14,32,9,0,289,501
"Calgary Southwest/Calgary-Sud-Ouest"," 175A","Calgary",161,1,19,24,6,2,213,392
"Calgary Southwest/Calgary-Sud-Ouest"," 175B","Calgary",151,1,22,15,8,0,197,383
"Calgary Southwest/Calgary-Sud-Ouest"," 176","Calgary",187,0,25,14,15,1,242,454
"Calgary Southwest/Calgary-Sud-Ouest"," 177","Calgary",206,1,21,23,1,2,254,436
"Calgary Southwest/Calgary-Sud-Ouest"," 178","Calgary",183,2,21,22,12,0,240,399
"Calgary Southwest/Calgary-Sud-Ouest"," 179","Calgary",170,0,22,22,8,1,223,370
"Calgary Southwest/Calgary-Sud-Ouest"," 180","Calgary",133,1,10,24,3,0,171,308
"Calgary Southwest/Calgary-Sud-Ouest"," 181","Calgary",151,0,14,8,21,0,194,343
"Calgary Southwest/Calgary-Sud-Ouest"," 182","Calgary",219,1,29,21,15,0,285,467
"Calgary Southwest/Calgary-Sud-Ouest"," 183","Calgary",238,1,16,28,22,0,305,473
"Calgary Southwest/Calgary-Sud-Ouest"," 184","Calgary",168,0,21,18,13,0,220,399
"Calgary Southwest/Calgary-Sud-Ouest"," 185","Calgary",121,0,20,28,16,0,185,343
"Calgary Southwest/Calgary-Sud-Ouest"," 186","Calgary",187,1,22,26,13,0,249,424
"Calgary Southwest/Calgary-Sud-Ouest"," 187","Calgary",174,1,19,38,12,0,244,415
"Calgary Southwest/Calgary-Sud-Ouest"," 187-1","Calgary",238,0,14,30,22,0,304,500
"Calgary Southwest/Calgary-Sud-Ouest"," 188","Calgary",188,1,14,18,9,0,230,397
"Calgary Southwest/Calgary-Sud-Ouest"," 189","Calgary",139,2,20,30,7,0,198,354
"Calgary Southwest/Calgary-Sud-Ouest"," 190","Calgary",120,1,21,21,31,0,194,405
"Calgary Southwest/Calgary-Sud-Ouest"," 191","Calgary",150,1,21,19,7,0,198,366
"Calgary Southwest/Calgary-Sud-Ouest"," 192","Calgary",209,1,12,36,16,0,274,466
"Calgary Southwest/Calgary-Sud-Ouest"," 193","Calgary",225,0,16,32,15,0,288,448
"Calgary Southwest/Calgary-Sud-Ouest"," 194","Calgary",238,2,21,29,9,0,299,460
"Calgary Southwest/Calgary-Sud-Ouest"," 195","Calgary",226,0,12,34,13,0,285,430
"Calgary Southwest/Calgary-Sud-Ouest"," 196","Calgary",166,1,13,20,13,0,213,424
"Calgary Southwest/Calgary-Sud-Ouest"," 197","Calgary",198,0,6,33,8,1,246,411
"Calgary Southwest/Calgary-Sud-Ouest"," 198A","Calgary",197,1,23,36,9,0,266,517
"Calgary Southwest/Calgary-Sud-Ouest"," 198B","Calgary",163,0,23,37,19,1,243,526
"Calgary Southwest/Calgary-Sud-Ouest"," 199A","Calgary",193,2,20,19,11,0,245,452
"Calgary Southwest/Calgary-Sud-Ouest"," 199B","Calgary",191,2,16,20,22,0,251,465
"Calgary Southwest/Calgary-Sud-Ouest"," 199C","Calgary",179,1,11,31,16,1,239,428
"Calgary Southwest/Calgary-Sud-Ouest"," 199D","Calgary",213,1,30,36,17,0,297,499
"Calgary Southwest/Calgary-Sud-Ouest"," 199E","Calgary",181,0,22,24,15,0,242,400
"Calgary Southwest/Calgary-Sud-Ouest"," 199F","Calgary",191,3,27,11,20,0,252,476
"Calgary Southwest/Calgary-Sud-Ouest"," 199G","Calgary",201,1,26,25,13,0,266,456
"Calgary Southwest/Calgary-Sud-Ouest"," 199H","Calgary",166,1,25,27,11,0,230,433
"Calgary Southwest/Calgary-Sud-Ouest"," 199I","Calgary",190,4,15,27,6,0,242,463
"Calgary Southwest/Calgary-Sud-Ouest"," 199J","Calgary",210,2,30,38,12,0,292,467
"Calgary Southwest/Calgary-Sud-Ouest"," 199K","Calgary",197,0,14,22,22,0,255,461
"Calgary Southwest/Calgary-Sud-Ouest"," 199L","Calgary",174,0,24,27,9,1,235,403
"Calgary Southwest/Calgary-Sud-Ouest"," 199M","Calgary",188,2,25,28,12,0,255,453
"Calgary Southwest/Calgary-Sud-Ouest"," 500","Mobile poll/Bureau itinérant",137,7,13,38,9,3,207,266
"Calgary Southwest/Calgary-Sud-Ouest"," 501","Mobile poll/Bureau itinérant",80,0,4,17,1,1,103,197
"Calgary Southwest/Calgary-Sud-Ouest"," 502","Mobile poll/Bureau itinérant",45,2,4,18,3,1,73,127
"Calgary Southwest/Calgary-Sud-Ouest"," 600","Calgary",265,0,32,34,19,0,350,
"Calgary Southwest/Calgary-Sud-Ouest"," 601","Calgary",628,0,40,106,48,1,823,
"Calgary Southwest/Calgary-Sud-Ouest"," 602","Calgary",241,2,35,51,23,0,352,
"Calgary Southwest/Calgary-Sud-Ouest"," 603","Calgary",487,1,50,93,39,0,670,
"Calgary Southwest/Calgary-Sud-Ouest"," 604","Calgary",551,2,54,88,40,0,735,
"Calgary Southwest/Calgary-Sud-Ouest"," 605","Calgary",349,2,32,52,36,0,471,
"Calgary Southwest/Calgary-Sud-Ouest"," 606","Calgary",563,2,25,62,29,1,682,
"Calgary Southwest/Calgary-Sud-Ouest"," 607","Calgary",337,3,16,37,26,1,420,
"Calgary Southwest/Calgary-Sud-Ouest"," 608","Calgary",543,2,42,54,25,1,667,
"Calgary Southwest/Calgary-Sud-Ouest",,Group 1/Groupe 1,84,1,7,38,8,4,142,222
"Calgary Southwest/Calgary-Sud-Ouest",,Group 2/Groupe 2,1202,3,124,172,100,15,1616,
