Political affiliation/Appartenance politique,0-9.9,10-19.9,20-29.9,30-39.9,40 or more/40 et plus,Total
"Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada",1,0,0,0,0,1
"Bloc Québécois/Bloc Québécois",2,5,9,13,46,75
"Canadian Action Party/Parti action canadienne",34,0,0,0,0,34
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",45,0,0,0,0,45
"Communist Party of Canada/Parti communiste du Canada",21,0,0,0,0,21
"Conservative Party of Canada/Parti conservateur du Canada",5,44,72,68,119,308
"First Peoples National Party of Canada/First Peoples National Party of Canada",5,0,0,0,0,5
"Green Party of Canada/Le Parti Vert du Canada",301,7,0,0,0,308
"Liberal Party of Canada/Parti libéral du Canada",25,67,59,69,88,308
"Libertarian Party of Canada/Parti Libertarien du Canada",10,0,0,0,0,10
"Marijuana Party/Parti Marijuana",23,0,0,0,0,23
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",69,0,0,0,0,69
"New Democratic Party/Nouveau Parti Démocratique",94,117,45,32,20,308
"Progressive Canadian Party/Parti Progressiste Canadien",25,0,0,0,0,25
"Western Block Party/Western Block Party",4,0,0,0,0,4
"Independent/Indépendant",82,1,1,1,0,85
"No Affiliation/Aucune appartenance",4,1,0,0,0,5
