Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Réjean Bellemare,Josyanne Forest,Adam Jastrzebski,Claude Jr Lafortune,Benoît Sauvageau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Repentigny/Repentigny"," 1","Saint-Gérard-Majella",30,20,8,58,148,0,264,503
"Repentigny/Repentigny"," 2","Saint-Gérard-Majella",25,12,14,36,169,2,258,478
"Repentigny/Repentigny"," 3A","Saint-Gérard-Majella",10,12,4,32,100,7,165,306
"Repentigny/Repentigny"," 3B","Saint-Gérard-Majella",22,7,6,47,165,1,248,388
"Repentigny/Repentigny"," 4","Saint-Gérard-Majella",33,6,15,45,193,2,294,474
"Repentigny/Repentigny"," 5","Saint-Gérard-Majella",12,7,4,28,111,3,165,316
"Repentigny/Repentigny"," 6","Saint-Gérard-Majella",24,30,7,42,157,3,263,481
"Repentigny/Repentigny"," 7","Saint-Gérard-Majella",16,15,4,48,166,12,261,461
"Repentigny/Repentigny"," 8","L'Assomption",24,9,5,46,134,0,218,378
"Repentigny/Repentigny"," 9","L'Assomption",16,15,13,56,174,2,276,418
"Repentigny/Repentigny"," 10A","L'Assomption",18,17,7,34,134,1,211,374
"Repentigny/Repentigny"," 10B","L'Assomption",13,8,8,32,134,0,195,328
"Repentigny/Repentigny"," 11","L'Assomption",13,10,7,53,132,2,217,382
"Repentigny/Repentigny"," 12","L'Assomption",39,20,9,52,191,6,317,533
"Repentigny/Repentigny"," 13","L'Assomption",11,12,2,32,88,1,146,231
"Repentigny/Repentigny"," 14","L'Assomption",21,17,11,47,148,3,247,443
"Repentigny/Repentigny"," 15","L'Assomption",19,25,12,56,162,4,278,489
"Repentigny/Repentigny"," 16","L'Assomption",19,16,13,34,166,2,250,418
"Repentigny/Repentigny"," 17","L'Assomption",13,7,5,34,135,5,199,355
"Repentigny/Repentigny"," 18","L'Assomption",9,18,5,33,121,4,190,350
"Repentigny/Repentigny"," 19","L'Assomption",20,10,10,20,71,5,136,312
"Repentigny/Repentigny"," 20","L'Assomption",12,13,11,25,137,5,203,429
"Repentigny/Repentigny"," 21","L'Assomption",10,19,5,31,109,5,179,374
"Repentigny/Repentigny"," 22","L'Assomption",16,10,7,40,138,2,213,387
"Repentigny/Repentigny"," 23","L'Assomption",17,13,16,34,117,0,197,345
"Repentigny/Repentigny"," 24","L'Assomption",20,17,7,29,208,3,284,418
"Repentigny/Repentigny"," 25","L'Assomption",13,24,7,39,152,2,237,478
"Repentigny/Repentigny"," 26","L'Assomption",13,21,1,10,127,3,175,351
"Repentigny/Repentigny"," 27A","L'Assomption",25,39,10,53,232,5,364,601
"Repentigny/Repentigny"," 27B","L'Assomption",36,17,10,55,161,5,284,513
"Repentigny/Repentigny"," 28","L'Assomption",11,10,7,50,116,1,195,323
"Repentigny/Repentigny"," 29","L'Épiphanie",16,12,4,54,151,4,241,429
"Repentigny/Repentigny"," 30","L'Épiphanie",9,15,3,28,174,4,233,407
"Repentigny/Repentigny"," 31","L'Épiphanie",18,7,5,44,209,12,295,503
"Repentigny/Repentigny"," 32","L'Épiphanie",17,10,2,30,135,1,195,346
"Repentigny/Repentigny"," 33","L'Épiphanie",16,20,4,33,140,5,218,413
"Repentigny/Repentigny"," 34","L'Épiphanie",10,14,8,44,136,7,219,423
"Repentigny/Repentigny"," 35","L'Épiphanie",9,17,5,38,91,2,162,294
"Repentigny/Repentigny"," 36","L'Épiphanie",12,12,5,15,112,2,158,308
"Repentigny/Repentigny"," 37","L'Épiphanie",20,12,8,40,185,7,272,463
"Repentigny/Repentigny"," 38","L'Épiphanie",2,3,1,7,75,1,89,163
"Repentigny/Repentigny"," 39","L'Épiphanie",9,17,9,51,158,5,249,475
"Repentigny/Repentigny"," 40","L'Épiphanie",9,10,5,38,183,7,252,488
"Repentigny/Repentigny"," 41","L'Épiphanie",10,20,3,35,163,4,235,387
"Repentigny/Repentigny"," 42","L'Épiphanie",24,13,7,48,146,0,238,455
"Repentigny/Repentigny"," 43","Saint-Sulpice",16,30,7,52,139,1,245,446
"Repentigny/Repentigny"," 44","Saint-Sulpice",19,29,9,61,184,2,304,436
"Repentigny/Repentigny"," 45","Saint-Sulpice",25,15,9,48,216,5,318,465
"Repentigny/Repentigny"," 46A","Saint-Sulpice",13,33,13,36,157,7,259,384
"Repentigny/Repentigny"," 46B","Saint-Sulpice",23,15,6,37,145,4,230,333
"Repentigny/Repentigny"," 47","Saint-Sulpice",11,27,5,56,164,0,263,473
"Repentigny/Repentigny"," 48","Le Gardeur",23,15,7,39,153,1,238,411
"Repentigny/Repentigny"," 49A","Le Gardeur",17,15,6,28,106,5,177,366
"Repentigny/Repentigny"," 49B","Le Gardeur",14,15,2,32,159,5,227,381
"Repentigny/Repentigny"," 50A","Le Gardeur",24,20,14,48,217,3,326,486
"Repentigny/Repentigny"," 50B","Le Gardeur",17,23,10,65,195,3,313,494
"Repentigny/Repentigny"," 51A","Le Gardeur",28,10,4,73,224,6,345,539
