Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Boucher,Denis Coderre,Liberato Martelli,Apraham Niziblian,Geneviève Royer,Stefano Saykaly,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bourassa/Bourassa"," 1","Montréal",4,105,44,27,0,15,2,197,360
"Bourassa/Bourassa"," 2","Montréal",8,91,32,70,0,9,4,214,415
"Bourassa/Bourassa"," 3","Montréal",9,98,54,104,2,19,3,289,499
"Bourassa/Bourassa"," 4","Montréal",5,138,59,72,0,20,4,298,520
"Bourassa/Bourassa"," 5","Montréal",6,77,26,30,0,10,1,150,268
"Bourassa/Bourassa"," 6","Montréal",9,211,44,56,2,11,3,336,561
"Bourassa/Bourassa"," 7","Montréal",7,52,46,111,1,16,5,238,429
"Bourassa/Bourassa"," 8","Montréal",2,118,32,74,1,10,8,245,451
"Bourassa/Bourassa"," 9","Montréal",8,164,40,31,2,12,1,258,406
"Bourassa/Bourassa"," 10","Montréal",9,178,68,24,2,4,7,292,528
"Bourassa/Bourassa"," 11","Montréal",9,174,36,31,0,10,8,268,428
"Bourassa/Bourassa"," 12A","Montréal",3,157,44,41,1,9,8,263,477
"Bourassa/Bourassa"," 12B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,63
"Bourassa/Bourassa"," 13","Montréal",9,113,62,111,0,26,6,327,579
"Bourassa/Bourassa"," 14","Montréal",Void/Supprimé,,,,,,,,
"Bourassa/Bourassa"," 15","Montréal",13,68,60,118,1,27,2,289,450
"Bourassa/Bourassa"," 16A","Montréal-Nord",7,141,44,104,3,11,7,317,441
"Bourassa/Bourassa"," 16B","Montréal-Nord",10,133,62,95,3,13,12,328,459
"Bourassa/Bourassa"," 17A","Montréal-Nord",5,98,41,66,2,11,3,226,406
"Bourassa/Bourassa"," 17B","Montréal-Nord",4,112,45,53,0,16,6,236,395
"Bourassa/Bourassa"," 18A","Montréal-Nord",4,83,32,36,2,4,10,171,294
"Bourassa/Bourassa"," 18B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,38
"Bourassa/Bourassa"," 19","Montréal-Nord",4,58,26,72,0,13,1,174,431
"Bourassa/Bourassa"," 20","Montréal-Nord",6,80,25,49,1,7,3,171,451
"Bourassa/Bourassa"," 21","Montréal-Nord",12,170,50,76,1,7,9,325,378
"Bourassa/Bourassa"," 22","Montréal-Nord",2,28,16,15,0,2,1,64,134
"Bourassa/Bourassa"," 23","Montréal-Nord",2,75,20,89,1,6,6,199,535
"Bourassa/Bourassa"," 24","Montréal-Nord",8,138,46,57,2,10,2,263,437
"Bourassa/Bourassa"," 25","Montréal-Nord",11,49,23,83,1,9,4,180,535
"Bourassa/Bourassa"," 26","Montréal-Nord",5,134,41,65,2,15,10,272,434
"Bourassa/Bourassa"," 27","Montréal-Nord",5,132,43,60,0,21,5,266,418
"Bourassa/Bourassa"," 28","Montréal-Nord",5,89,27,72,0,8,5,206,471
"Bourassa/Bourassa"," 29","Montréal-Nord",5,117,49,34,0,13,8,226,415
"Bourassa/Bourassa"," 30","Montréal-Nord",3,93,23,77,0,21,0,217,476
"Bourassa/Bourassa"," 31","Montréal-Nord",5,69,24,90,0,12,5,205,547
"Bourassa/Bourassa"," 32","Montréal-Nord",5,107,41,61,1,4,6,225,509
"Bourassa/Bourassa"," 33","Montréal-Nord",4,30,20,62,0,2,4,122,324
"Bourassa/Bourassa"," 34","Montréal-Nord",6,50,25,58,0,5,3,147,336
"Bourassa/Bourassa"," 35","Montréal-Nord",3,70,26,80,2,8,5,194,506
"Bourassa/Bourassa"," 36","Montréal-Nord",6,90,22,68,2,8,4,200,508
"Bourassa/Bourassa"," 37","Montréal-Nord",7,56,22,74,1,13,4,177,481
"Bourassa/Bourassa"," 38","Montréal-Nord",3,38,20,63,0,3,5,132,381
"Bourassa/Bourassa"," 39","Montréal-Nord",3,116,26,40,2,11,2,200,453
"Bourassa/Bourassa"," 40","Montréal-Nord",4,79,14,29,2,2,3,133,357
"Bourassa/Bourassa"," 41","Montréal-Nord",2,48,17,57,0,1,1,126,321
