Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Phil Allt,Brent Barr,Brenda Chamberlain,Manuel Couto,Peter Ellis,Scott Gilbert,Mike Nagy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Guelph/Guelph"," 1A","Guelph",38,97,58,0,1,0,18,2,214,408
"Guelph/Guelph"," 1B","Guelph",53,74,64,0,2,0,13,2,208,386
"Guelph/Guelph"," 2","Guelph",55,65,85,0,6,0,12,0,223,349
"Guelph/Guelph"," 3","Guelph",43,70,99,1,4,0,13,1,231,375
"Guelph/Guelph"," 4","Guelph",41,57,85,0,2,0,9,0,194,370
"Guelph/Guelph"," 5","Guelph",39,66,60,0,1,1,7,0,174,377
"Guelph/Guelph"," 6","Guelph",77,109,91,0,6,0,16,0,299,538
"Guelph/Guelph"," 7","Guelph",53,59,69,0,2,1,25,0,209,365
"Guelph/Guelph"," 8","Guelph",22,67,65,0,2,0,20,2,178,331
"Guelph/Guelph"," 9","Guelph",30,43,86,0,2,0,16,0,177,326
"Guelph/Guelph"," 10","Guelph",40,64,41,0,0,1,14,0,160,262
"Guelph/Guelph"," 11","Guelph",60,80,108,0,4,0,19,1,272,397
"Guelph/Guelph"," 12","Guelph",59,105,103,0,4,0,29,0,300,446
"Guelph/Guelph"," 13","Guelph",36,88,107,0,6,1,20,1,259,465
"Guelph/Guelph"," 14","Guelph",64,103,81,0,6,0,25,0,279,430
"Guelph/Guelph"," 15","Guelph",28,74,92,0,17,0,15,0,226,365
"Guelph/Guelph"," 16","Guelph",30,107,140,0,6,0,4,2,289,371
"Guelph/Guelph"," 17","Guelph",31,80,123,0,3,0,7,0,244,398
"Guelph/Guelph"," 18","Guelph",60,97,135,0,1,0,14,1,308,431
"Guelph/Guelph"," 19","Guelph",101,114,143,0,2,2,17,5,384,573
"Guelph/Guelph"," 20","Guelph",30,75,104,0,7,0,12,0,228,382
"Guelph/Guelph"," 21","Guelph",45,78,80,0,4,0,15,0,222,393
"Guelph/Guelph"," 22","Guelph",63,63,58,0,1,0,18,2,205,425
"Guelph/Guelph"," 23","Guelph",59,89,75,0,4,0,21,0,248,447
"Guelph/Guelph"," 24","Guelph",40,63,69,0,2,0,11,0,185,326
"Guelph/Guelph"," 25","Guelph",38,56,75,0,2,0,9,0,180,313
"Guelph/Guelph"," 26","Guelph",60,58,96,1,2,0,17,1,235,368
"Guelph/Guelph"," 27","Guelph",67,86,85,0,5,0,17,2,262,390
"Guelph/Guelph"," 28","Guelph",52,71,73,0,2,0,28,1,227,403
"Guelph/Guelph"," 29","Guelph",80,62,80,0,3,1,17,3,246,399
"Guelph/Guelph"," 30","Guelph",30,54,56,0,0,0,20,1,161,319
"Guelph/Guelph"," 31","Guelph",31,36,21,0,0,0,6,0,94,213
"Guelph/Guelph"," 32","Guelph",40,58,80,0,0,0,12,0,190,293
"Guelph/Guelph"," 33A","Guelph",41,101,78,0,1,0,16,2,239,360
"Guelph/Guelph"," 33B","Guelph",43,90,62,0,0,0,19,1,215,387
"Guelph/Guelph"," 33C","Guelph",54,112,124,0,2,1,27,1,321,337
"Guelph/Guelph"," 34","Guelph",89,112,141,1,2,0,21,2,368,587
"Guelph/Guelph"," 35","Guelph",46,78,64,0,2,0,18,2,210,374
"Guelph/Guelph"," 36","Guelph",Merged with No. 33C/Fusionné avec le nº 33C,,,,,,,,,179
"Guelph/Guelph"," 37A","Guelph",47,69,40,0,1,0,21,0,178,308
"Guelph/Guelph"," 37B","Guelph",27,70,56,0,4,0,13,0,170,344
"Guelph/Guelph"," 38","Guelph",46,37,83,0,1,0,26,1,194,346
"Guelph/Guelph"," 39","Guelph",31,44,60,0,5,0,20,2,162,282
"Guelph/Guelph"," 40","Guelph",61,45,80,0,0,1,12,1,200,346
"Guelph/Guelph"," 41A","Guelph",49,30,77,0,2,0,16,0,174,305
"Guelph/Guelph"," 41B","Guelph",41,42,86,0,2,1,7,4,183,324
"Guelph/Guelph"," 42A","Guelph",49,70,60,0,3,0,19,2,203,323
"Guelph/Guelph"," 42B","Guelph",30,66,71,0,0,0,8,0,175,287
"Guelph/Guelph"," 42-1","Guelph",76,94,113,0,3,0,25,3,314,522
"Guelph/Guelph"," 43","Guelph",58,55,87,1,4,1,25,0,231,480
"Guelph/Guelph"," 44","Guelph",24,86,132,0,4,0,15,1,262,398
"Guelph/Guelph"," 45","Guelph",39,83,119,0,2,3,19,1,266,442
"Guelph/Guelph"," 46","Guelph",46,51,88,0,0,1,11,0,197,337
"Guelph/Guelph"," 47A","Guelph",36,87,106,1,7,1,22,4,264,317
"Guelph/Guelph"," 47B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,,,,100
"Guelph/Guelph"," 48","Guelph",57,65,95,0,3,1,12,1,234,368
"Guelph/Guelph"," 49","Guelph",45,48,89,0,3,0,39,1,225,374
"Guelph/Guelph"," 50","Guelph",38,33,51,0,0,0,9,1,132,273
"Guelph/Guelph"," 51","Guelph",30,45,37,0,2,0,12,0,126,246
"Guelph/Guelph"," 52","Guelph",89,43,96,0,3,4,45,1,281,403
