Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Brown,Peter Bursztyn,Aileen Carroll,Erich Jacoby-Hawkins,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Barrie/Barrie"," 1","Barrie",90,26,127,15,1,259,418
"Barrie/Barrie"," 2","Barrie",82,22,77,12,0,193,318
"Barrie/Barrie"," 3","Barrie",100,25,97,9,0,231,408
"Barrie/Barrie"," 4","Barrie",61,33,74,12,1,181,355
"Barrie/Barrie"," 5","Barrie",95,14,77,11,1,198,359
"Barrie/Barrie"," 6","Barrie",107,32,106,23,5,273,454
"Barrie/Barrie"," 7","Barrie",56,23,68,17,1,165,351
"Barrie/Barrie"," 8","Barrie",79,17,102,17,0,215,412
"Barrie/Barrie"," 9","Barrie",72,25,110,14,0,221,382
"Barrie/Barrie"," 10","Barrie",68,22,57,7,0,154,323
"Barrie/Barrie"," 11","Barrie",73,17,71,8,1,170,291
"Barrie/Barrie"," 12","Barrie",60,21,62,6,1,150,302
"Barrie/Barrie"," 13","Barrie",81,30,108,15,0,234,422
"Barrie/Barrie"," 14","Barrie",57,16,75,13,1,162,300
"Barrie/Barrie"," 15","Barrie",65,19,82,7,0,173,319
"Barrie/Barrie"," 16A","Barrie",55,15,77,8,0,155,279
"Barrie/Barrie"," 16B","Barrie",47,23,65,7,0,142,291
"Barrie/Barrie"," 17","Barrie",69,18,75,4,1,167,240
"Barrie/Barrie"," 18","Barrie",118,29,97,14,1,259,402
"Barrie/Barrie"," 19","Barrie",90,28,67,24,0,209,385
"Barrie/Barrie"," 20","Barrie",63,47,75,18,0,203,403
"Barrie/Barrie"," 21","Barrie",52,31,66,9,0,158,374
"Barrie/Barrie"," 22","Barrie",72,21,66,17,0,176,360
"Barrie/Barrie"," 23","Barrie",44,34,51,8,0,137,358
"Barrie/Barrie"," 24A","Barrie",115,29,76,11,1,232,352
"Barrie/Barrie"," 24B","Barrie",98,18,97,3,0,216,373
"Barrie/Barrie"," 25","Barrie",99,29,89,8,1,226,384
"Barrie/Barrie"," 26","Barrie",76,25,72,12,0,185,349
"Barrie/Barrie"," 27A","Barrie",117,35,74,13,1,240,437
"Barrie/Barrie"," 27B","Barrie",80,29,93,9,1,212,467
"Barrie/Barrie"," 28A","Barrie",85,39,76,10,0,210,459
"Barrie/Barrie"," 28B","Barrie",79,33,87,17,2,218,460
"Barrie/Barrie"," 29","Barrie",99,32,108,16,1,256,468
