Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Askew,Marc Boyer,Betty Krawczyk,Stephen Owen,Stephen Rogers,Ben West,Donovan Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver Quadra/Vancouver Quadra"," 1","University Endowment Lands",49,1,0,130,81,14,1,0,276,493
"Vancouver Quadra/Vancouver Quadra"," 2","Greater Vancouver A",Void/Supprimé,,,,,,,,,
"Vancouver Quadra/Vancouver Quadra"," 3","University Endowment Lands",9,1,1,133,74,8,0,1,227,407
"Vancouver Quadra/Vancouver Quadra"," 4","University Endowment Lands",36,0,0,108,69,12,0,1,226,358
"Vancouver Quadra/Vancouver Quadra"," 5","University Endowment Lands",24,0,0,58,31,13,0,0,126,328
"Vancouver Quadra/Vancouver Quadra"," 6","University Endowment Lands",43,0,2,66,44,8,0,0,163,339
"Vancouver Quadra/Vancouver Quadra"," 7","University Endowment Lands",60,0,2,69,29,28,1,3,192,274
"Vancouver Quadra/Vancouver Quadra"," 8","University Endowment Lands",59,1,0,105,61,15,1,0,242,369
"Vancouver Quadra/Vancouver Quadra"," 9","University Endowment Lands",52,0,0,90,53,11,1,0,207,401
"Vancouver Quadra/Vancouver Quadra"," 10","University Endowment Lands",25,0,2,108,57,9,1,0,202,412
"Vancouver Quadra/Vancouver Quadra"," 11","University Endowment Lands",16,0,0,51,32,5,0,0,104,217
"Vancouver Quadra/Vancouver Quadra"," 12","University Endowment Lands",7,0,2,77,49,4,0,1,140,235
"Vancouver Quadra/Vancouver Quadra"," 13","University Endowment Lands",58,0,2,188,74,12,0,0,334,579
"Vancouver Quadra/Vancouver Quadra"," 13-1","University Endowment Lands",38,0,2,74,16,10,1,0,141,183
"Vancouver Quadra/Vancouver Quadra"," 14","Vancouver",20,0,2,129,97,11,0,2,261,468
"Vancouver Quadra/Vancouver Quadra"," 15","Vancouver",17,1,1,109,51,12,0,0,191,319
"Vancouver Quadra/Vancouver Quadra"," 16","Vancouver",17,0,1,105,80,6,0,0,209,343
"Vancouver Quadra/Vancouver Quadra"," 17","Vancouver",51,1,1,140,100,15,0,0,308,456
"Vancouver Quadra/Vancouver Quadra"," 18","Vancouver",44,1,3,127,53,12,0,1,241,361
"Vancouver Quadra/Vancouver Quadra"," 19","Vancouver",48,0,1,138,66,17,0,1,271,446
"Vancouver Quadra/Vancouver Quadra"," 20","Vancouver",48,1,1,136,71,14,0,1,272,411
"Vancouver Quadra/Vancouver Quadra"," 21","Vancouver",51,1,4,105,55,19,0,1,236,437
"Vancouver Quadra/Vancouver Quadra"," 22","Vancouver",36,0,1,89,45,4,0,0,175,293
"Vancouver Quadra/Vancouver Quadra"," 23","Vancouver",49,2,0,120,59,25,0,0,255,371
"Vancouver Quadra/Vancouver Quadra"," 24","Vancouver",50,0,0,128,66,26,0,0,270,427
"Vancouver Quadra/Vancouver Quadra"," 25","Vancouver",31,0,0,106,37,4,0,0,178,282
"Vancouver Quadra/Vancouver Quadra"," 26","Vancouver",70,2,0,120,62,9,0,0,263,425
"Vancouver Quadra/Vancouver Quadra"," 27","Vancouver",53,0,1,128,51,21,1,0,255,385
"Vancouver Quadra/Vancouver Quadra"," 28","Vancouver",46,0,1,131,55,11,0,1,245,381
"Vancouver Quadra/Vancouver Quadra"," 29","Vancouver",61,1,2,140,70,19,0,0,293,477
"Vancouver Quadra/Vancouver Quadra"," 30","Vancouver",48,1,1,149,64,16,0,2,281,421
"Vancouver Quadra/Vancouver Quadra"," 31","Vancouver",45,0,1,142,99,8,1,1,297,488
"Vancouver Quadra/Vancouver Quadra"," 32","Vancouver",26,0,0,117,62,11,0,1,217,369
"Vancouver Quadra/Vancouver Quadra"," 33","Vancouver",28,0,1,127,59,5,0,0,220,356
"Vancouver Quadra/Vancouver Quadra"," 34","Vancouver",39,0,1,122,59,5,0,0,226,412
"Vancouver Quadra/Vancouver Quadra"," 35","Vancouver",24,1,0,107,62,11,0,0,205,331
"Vancouver Quadra/Vancouver Quadra"," 36","Vancouver",48,1,2,123,62,8,0,2,246,379
"Vancouver Quadra/Vancouver Quadra"," 37","Vancouver",87,1,3,104,56,18,0,0,269,414
