Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colin Atkins,Brad Bird,Murray Downing,Lisa Gallagher,Bob Senff,Merv Tweed,Mike Volek,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Brandon--Souris/Brandon--Souris"," 1","Elkhorn",1,3,31,0,17,87,0,0,139,206
"Brandon--Souris/Brandon--Souris"," 2","Hargrave",0,9,20,0,41,108,3,1,182,349
"Brandon--Souris/Brandon--Souris"," 3","Burnbank",3,4,5,0,9,108,0,0,129,230
"Brandon--Souris/Brandon--Souris"," 4","Scarth",0,1,21,0,22,72,0,1,117,196
"Brandon--Souris/Brandon--Souris"," 5","Virden",0,9,44,0,26,140,0,0,219,360
"Brandon--Souris/Brandon--Souris"," 6","Elkhorn",3,9,38,1,32,123,3,0,209,341
"Brandon--Souris/Brandon--Souris"," 7","Virden",0,2,33,0,38,159,1,0,233,357
"Brandon--Souris/Brandon--Souris"," 8A","Virden",3,5,41,0,22,119,1,0,191,301
"Brandon--Souris/Brandon--Souris"," 8B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,42
"Brandon--Souris/Brandon--Souris"," 9","Virden",2,6,31,0,37,105,1,0,182,350
"Brandon--Souris/Brandon--Souris"," 10","Virden",4,6,46,1,46,130,2,0,235,449
"Brandon--Souris/Brandon--Souris"," 11","Virden",0,11,30,0,34,92,2,0,169,295
"Brandon--Souris/Brandon--Souris"," 12","Virden",1,10,35,2,52,166,2,2,270,435
"Brandon--Souris/Brandon--Souris"," 13","Kenton",0,16,36,3,45,160,5,1,266,386
"Brandon--Souris/Brandon--Souris"," 14","Maskawata",6,2,10,0,15,76,1,0,110,185
"Brandon--Souris/Brandon--Souris"," 15","Cromer",0,2,17,1,9,38,1,0,68,157
"Brandon--Souris/Brandon--Souris"," 16","Sinclair",0,3,27,0,13,65,1,0,109,198
"Brandon--Souris/Brandon--Souris"," 17","Pipestone",1,2,42,0,11,70,0,0,126,187
"Brandon--Souris/Brandon--Souris"," 18","Reston",0,9,63,0,49,145,1,1,268,461
"Brandon--Souris/Brandon--Souris"," 19","Oak Lake Beach",6,2,32,1,30,133,5,1,210,335
"Brandon--Souris/Brandon--Souris"," 20","Oak Lake",8,4,21,1,41,81,1,0,157,301
"Brandon--Souris/Brandon--Souris"," 21","Oak Lake Reserve",2,2,36,2,11,5,0,0,58,175
"Brandon--Souris/Brandon--Souris"," 22A","Sioux Valley",0,1,140,2,39,8,0,0,190,571
"Brandon--Souris/Brandon--Souris"," 22B","Mobile poll/Bureau itinérant",Merged with No. 93B/Fusionné avec le nº 93B,,,,,,,,,20
"Brandon--Souris/Brandon--Souris"," 23","Bradwardine",1,4,9,0,8,61,1,0,84,114
"Brandon--Souris/Brandon--Souris"," 24","Rivers",0,3,21,1,32,87,6,1,151,317
"Brandon--Souris/Brandon--Souris"," 25","Levine",0,7,36,0,24,107,3,0,177,330
"Brandon--Souris/Brandon--Souris"," 26","Rivers",0,3,50,0,52,116,2,0,223,347
"Brandon--Souris/Brandon--Souris"," 27","Rivers",0,3,39,1,42,75,5,1,166,295
"Brandon--Souris/Brandon--Souris"," 28","Forrest Station",0,7,21,1,36,107,2,1,175,261
"Brandon--Souris/Brandon--Souris"," 29","Forrest Station",2,14,38,1,60,134,2,0,251,417
"Brandon--Souris/Brandon--Souris"," 30","Justice",1,4,21,0,39,88,5,0,158,267
"Brandon--Souris/Brandon--Souris"," 31","Brookdale",0,5,24,0,11,73,2,0,115,243
"Brandon--Souris/Brandon--Souris"," 32","Wellwood",0,10,16,0,30,101,0,0,157,247
"Brandon--Souris/Brandon--Souris"," 33A","Sprucewoods",1,4,22,0,20,54,1,1,103,298
"Brandon--Souris/Brandon--Souris"," 33B","Sprucewoods",0,9,37,0,22,72,0,1,141,345
"Brandon--Souris/Brandon--Souris"," 33C","Sprucewoods",0,4,28,0,20,60,2,0,114,286
"Brandon--Souris/Brandon--Souris"," 34","Fairview",2,10,19,1,35,130,3,0,200,359
"Brandon--Souris/Brandon--Souris"," 35","Melbourne",1,5,10,1,12,112,2,0,143,286
"Brandon--Souris/Brandon--Souris"," 36","Carberry",1,17,42,2,41,138,3,1,245,435
"Brandon--Souris/Brandon--Souris"," 37","Carberry",1,8,18,0,28,114,4,0,173,354
"Brandon--Souris/Brandon--Souris"," 38","Carberry",0,12,25,2,37,97,4,1,178,342
"Brandon--Souris/Brandon--Souris"," 39","Alexander",0,11,40,0,33,130,2,0,216,361
"Brandon--Souris/Brandon--Souris"," 40","Kemnay",1,14,44,0,50,138,5,1,253,374
