Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Lois Brown,Ed Chudak,Glenn Hubbers,Peter Maloney,Belinda Stronach,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Newmarket--Aurora/Newmarket--Aurora"," 1","Newmarket",6,116,45,13,1,143,2,326,567
"Newmarket--Aurora/Newmarket--Aurora"," 2","Newmarket",3,115,27,14,0,138,0,297,480
"Newmarket--Aurora/Newmarket--Aurora"," 3","Newmarket",4,89,16,8,0,108,3,228,413
"Newmarket--Aurora/Newmarket--Aurora"," 4","Newmarket",2,121,21,5,0,123,1,273,399
"Newmarket--Aurora/Newmarket--Aurora"," 5","Newmarket",2,110,21,6,1,132,0,272,455
"Newmarket--Aurora/Newmarket--Aurora"," 6","Newmarket",2,130,24,10,0,142,1,309,509
"Newmarket--Aurora/Newmarket--Aurora"," 7","Newmarket",1,124,15,10,0,141,0,291,435
"Newmarket--Aurora/Newmarket--Aurora"," 8","Newmarket",5,92,44,14,1,110,2,268,460
"Newmarket--Aurora/Newmarket--Aurora"," 9","Newmarket",2,95,33,14,0,100,0,244,436
"Newmarket--Aurora/Newmarket--Aurora"," 10","Newmarket",2,119,10,4,0,112,0,247,352
"Newmarket--Aurora/Newmarket--Aurora"," 11","Newmarket",1,116,15,7,1,94,0,234,380
"Newmarket--Aurora/Newmarket--Aurora"," 12","Newmarket",3,91,22,20,0,151,2,289,476
"Newmarket--Aurora/Newmarket--Aurora"," 13","Newmarket",5,85,30,10,1,135,3,269,410
"Newmarket--Aurora/Newmarket--Aurora"," 14A","Newmarket",1,94,13,5,0,94,0,207,286
"Newmarket--Aurora/Newmarket--Aurora"," 14B","Newmarket",2,80,10,13,0,102,1,208,310
"Newmarket--Aurora/Newmarket--Aurora"," 15","Newmarket",3,119,31,14,0,111,1,279,410
"Newmarket--Aurora/Newmarket--Aurora"," 16","Newmarket",8,129,22,15,0,141,0,315,462
"Newmarket--Aurora/Newmarket--Aurora"," 17A","Newmarket",1,71,17,4,0,109,0,202,318
