Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cynthia Cameron,Norman Dundas,Axel Kuhn,France Tremblay,John Vanderheyden,Borys Wrzesnewskyj,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Etobicoke Centre/Etobicoke-Centre"," 1","Etobicoke",22,2,79,0,9,122,2,236,380
"Etobicoke Centre/Etobicoke-Centre"," 2","Etobicoke",23,3,75,0,11,181,1,294,419
"Etobicoke Centre/Etobicoke-Centre"," 3","Etobicoke",17,1,58,0,5,129,1,211,349
"Etobicoke Centre/Etobicoke-Centre"," 4","Etobicoke",28,1,47,0,3,78,3,160,315
"Etobicoke Centre/Etobicoke-Centre"," 5","Etobicoke",21,1,77,0,10,113,3,225,313
"Etobicoke Centre/Etobicoke-Centre"," 6","Etobicoke",27,4,69,1,9,134,0,244,356
"Etobicoke Centre/Etobicoke-Centre"," 7","Etobicoke",20,1,51,0,9,146,1,228,345
"Etobicoke Centre/Etobicoke-Centre"," 8","Etobicoke",33,3,79,0,14,126,2,257,355
"Etobicoke Centre/Etobicoke-Centre"," 9","Etobicoke",13,1,18,0,5,40,0,77,202
"Etobicoke Centre/Etobicoke-Centre"," 10","Etobicoke",Void/Supprimé,,,,,,,,
"Etobicoke Centre/Etobicoke-Centre"," 11","Etobicoke",30,5,64,1,8,108,0,216,466
"Etobicoke Centre/Etobicoke-Centre"," 12","Etobicoke",25,3,57,0,16,125,2,228,355
"Etobicoke Centre/Etobicoke-Centre"," 13","Etobicoke",16,2,86,0,6,139,0,249,395
"Etobicoke Centre/Etobicoke-Centre"," 14","Etobicoke",27,1,43,1,15,116,1,204,315
"Etobicoke Centre/Etobicoke-Centre"," 15","Etobicoke",41,4,63,0,10,174,2,294,431
"Etobicoke Centre/Etobicoke-Centre"," 16","Etobicoke",24,0,41,0,2,74,1,142,356
"Etobicoke Centre/Etobicoke-Centre"," 17","Etobicoke",17,3,71,0,5,140,3,239,335
"Etobicoke Centre/Etobicoke-Centre"," 18","Etobicoke",22,4,63,0,6,128,0,223,322
"Etobicoke Centre/Etobicoke-Centre"," 19","Etobicoke",38,4,66,1,5,127,4,245,501
"Etobicoke Centre/Etobicoke-Centre"," 20","Etobicoke",15,1,50,0,6,74,0,146,277
"Etobicoke Centre/Etobicoke-Centre"," 21","Etobicoke",21,2,68,1,12,153,0,257,396
"Etobicoke Centre/Etobicoke-Centre"," 22","Etobicoke",19,1,60,0,10,149,2,241,341
"Etobicoke Centre/Etobicoke-Centre"," 23","Etobicoke",11,2,77,1,12,114,1,218,326
"Etobicoke Centre/Etobicoke-Centre"," 24","Etobicoke",42,3,74,1,14,104,1,239,358
"Etobicoke Centre/Etobicoke-Centre"," 25","Etobicoke",33,1,46,0,7,143,0,230,425
"Etobicoke Centre/Etobicoke-Centre"," 26","Etobicoke",18,2,65,0,7,129,0,221,358
"Etobicoke Centre/Etobicoke-Centre"," 27A","Etobicoke",17,2,54,0,4,94,1,172,324
"Etobicoke Centre/Etobicoke-Centre"," 27B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,,183
"Etobicoke Centre/Etobicoke-Centre"," 28","Etobicoke",31,1,65,0,23,155,1,276,528
"Etobicoke Centre/Etobicoke-Centre"," 29","Etobicoke",34,0,63,0,7,133,1,238,459
"Etobicoke Centre/Etobicoke-Centre"," 30","Etobicoke",12,4,73,0,7,140,0,236,363
"Etobicoke Centre/Etobicoke-Centre"," 31","Etobicoke",11,1,66,0,9,155,1,243,387
"Etobicoke Centre/Etobicoke-Centre"," 32","Etobicoke",23,0,75,1,11,146,0,256,450
"Etobicoke Centre/Etobicoke-Centre"," 33","Etobicoke",19,0,83,0,19,188,3,312,453
"Etobicoke Centre/Etobicoke-Centre"," 34","Etobicoke",24,2,71,2,11,205,1,316,440
"Etobicoke Centre/Etobicoke-Centre"," 35","Etobicoke",26,1,82,0,6,124,1,240,373
"Etobicoke Centre/Etobicoke-Centre"," 36","Etobicoke",9,0,60,0,7,146,1,223,356
"Etobicoke Centre/Etobicoke-Centre"," 37","Etobicoke",17,0,79,2,3,173,0,274,476
"Etobicoke Centre/Etobicoke-Centre"," 38","Etobicoke",18,3,67,2,5,151,0,246,386
"Etobicoke Centre/Etobicoke-Centre"," 39","Etobicoke",7,1,61,0,6,124,1,200,325
"Etobicoke Centre/Etobicoke-Centre"," 40","Etobicoke",13,3,63,1,4,146,0,230,360
"Etobicoke Centre/Etobicoke-Centre"," 41","Etobicoke",18,0,82,1,8,163,1,273,455
"Etobicoke Centre/Etobicoke-Centre"," 42","Etobicoke",Void/Supprimé,,,,,,,,
"Etobicoke Centre/Etobicoke-Centre"," 43","Etobicoke",11,1,72,0,7,211,6,308,383
"Etobicoke Centre/Etobicoke-Centre"," 44","Etobicoke",16,2,63,0,5,113,0,199,362
"Etobicoke Centre/Etobicoke-Centre"," 45","Etobicoke",22,0,33,0,2,53,2,112,201
"Etobicoke Centre/Etobicoke-Centre"," 46A","Etobicoke",28,1,75,0,6,145,0,255,468
"Etobicoke Centre/Etobicoke-Centre"," 46B","Etobicoke",40,0,58,2,10,101,1,212,377
"Etobicoke Centre/Etobicoke-Centre"," 47","Etobicoke",57,5,61,1,8,121,1,254,422
"Etobicoke Centre/Etobicoke-Centre"," 48","Etobicoke",45,1,76,1,17,138,2,280,479
"Etobicoke Centre/Etobicoke-Centre"," 49","Etobicoke",25,0,46,1,9,109,1,191,326
"Etobicoke Centre/Etobicoke-Centre"," 50","Etobicoke",19,1,66,0,5,158,1,250,407
"Etobicoke Centre/Etobicoke-Centre"," 51","Etobicoke",20,1,49,1,6,116,2,195,370
"Etobicoke Centre/Etobicoke-Centre"," 52","Etobicoke",13,0,73,0,8,93,0,187,327
"Etobicoke Centre/Etobicoke-Centre"," 53","Etobicoke",5,0,86,0,5,97,0,193,343
"Etobicoke Centre/Etobicoke-Centre"," 54","Etobicoke",13,0,80,2,8,156,0,259,417
"Etobicoke Centre/Etobicoke-Centre"," 55","Etobicoke",16,2,71,0,4,122,0,215,336
"Etobicoke Centre/Etobicoke-Centre"," 56","Etobicoke",17,3,74,0,6,129,2,231,373
"Etobicoke Centre/Etobicoke-Centre"," 57","Etobicoke",29,1,120,0,7,117,0,274,438
"Etobicoke Centre/Etobicoke-Centre"," 58","Etobicoke",13,1,85,0,4,125,1,229,371
"Etobicoke Centre/Etobicoke-Centre"," 59","Etobicoke",25,1,66,1,11,111,2,217,337
"Etobicoke Centre/Etobicoke-Centre"," 60","Etobicoke",11,1,81,1,5,143,0,242,377
"Etobicoke Centre/Etobicoke-Centre"," 61","Etobicoke",34,4,91,2,6,92,1,230,325
"Etobicoke Centre/Etobicoke-Centre"," 62","Etobicoke",24,0,63,1,2,145,1,236,393
"Etobicoke Centre/Etobicoke-Centre"," 63","Etobicoke",13,2,45,0,3,89,0,152,228
"Etobicoke Centre/Etobicoke-Centre"," 64","Etobicoke",26,2,68,0,6,120,1,223,359
"Etobicoke Centre/Etobicoke-Centre"," 65","Etobicoke",29,1,70,1,11,151,0,263,479
"Etobicoke Centre/Etobicoke-Centre"," 66","Etobicoke",13,2,122,0,12,97,0,246,402
"Etobicoke Centre/Etobicoke-Centre"," 67A","Etobicoke",11,3,64,0,4,102,0,184,285
"Etobicoke Centre/Etobicoke-Centre"," 67B","Etobicoke",9,1,32,0,1,56,1,100,135
"Etobicoke Centre/Etobicoke-Centre"," 68","Etobicoke",13,2,35,0,9,73,0,132,209
"Etobicoke Centre/Etobicoke-Centre"," 69","Etobicoke",28,0,64,2,11,148,0,253,422
"Etobicoke Centre/Etobicoke-Centre"," 70","Etobicoke",29,2,37,3,5,117,0,193,321
"Etobicoke Centre/Etobicoke-Centre"," 71","Etobicoke",26,8,39,0,8,97,2,180,309
"Etobicoke Centre/Etobicoke-Centre"," 72","Etobicoke",13,0,28,0,6,131,1,179,265
"Etobicoke Centre/Etobicoke-Centre"," 73","Etobicoke",8,3,15,0,5,141,3,175,316
"Etobicoke Centre/Etobicoke-Centre"," 74","Etobicoke",31,5,45,3,13,165,0,262,467
"Etobicoke Centre/Etobicoke-Centre"," 75","Etobicoke",35,2,76,0,9,95,0,217,348
"Etobicoke Centre/Etobicoke-Centre"," 76","Etobicoke",33,2,90,0,14,95,0,234,364
"Etobicoke Centre/Etobicoke-Centre"," 77","Etobicoke",30,1,76,0,13,105,1,226,337
"Etobicoke Centre/Etobicoke-Centre"," 78","Etobicoke",46,0,74,0,6,109,0,235,367
"Etobicoke Centre/Etobicoke-Centre"," 79","Etobicoke",31,2,71,0,10,126,0,240,360
"Etobicoke Centre/Etobicoke-Centre"," 80","Etobicoke",31,3,72,0,4,191,0,301,471
"Etobicoke Centre/Etobicoke-Centre"," 81","Etobicoke",24,3,105,1,12,135,0,280,445
"Etobicoke Centre/Etobicoke-Centre"," 82","Etobicoke",41,2,85,0,16,142,1,287,499
"Etobicoke Centre/Etobicoke-Centre"," 83A","Etobicoke",11,3,24,0,3,62,0,103,171
"Etobicoke Centre/Etobicoke-Centre"," 83B","Etobicoke",17,1,48,1,18,85,1,171,272
"Etobicoke Centre/Etobicoke-Centre"," 84","Etobicoke",23,0,74,0,11,93,2,203,337
"Etobicoke Centre/Etobicoke-Centre"," 85","Etobicoke",26,1,73,1,8,94,1,204,344
"Etobicoke Centre/Etobicoke-Centre"," 86","Etobicoke",24,2,60,1,3,141,0,231,378
"Etobicoke Centre/Etobicoke-Centre"," 87","Etobicoke",34,3,67,1,10,117,1,233,370
"Etobicoke Centre/Etobicoke-Centre"," 88","Etobicoke",26,3,73,0,11,139,1,253,386
"Etobicoke Centre/Etobicoke-Centre"," 89","Etobicoke",32,0,74,0,6,93,2,207,342
"Etobicoke Centre/Etobicoke-Centre"," 90","Etobicoke",37,3,109,0,13,169,0,331,523
"Etobicoke Centre/Etobicoke-Centre"," 91","Etobicoke",26,0,87,1,10,174,0,298,441
"Etobicoke Centre/Etobicoke-Centre"," 92","Etobicoke",16,0,78,0,6,113,2,215,321
"Etobicoke Centre/Etobicoke-Centre"," 93","Etobicoke",13,0,64,0,6,124,1,208,310
"Etobicoke Centre/Etobicoke-Centre"," 94","Etobicoke",23,0,59,0,6,111,0,199,332
"Etobicoke Centre/Etobicoke-Centre"," 95","Etobicoke",14,3,67,0,13,136,0,233,379
"Etobicoke Centre/Etobicoke-Centre"," 96","Etobicoke",23,1,53,1,6,113,1,198,325
"Etobicoke Centre/Etobicoke-Centre"," 97","Etobicoke",18,2,69,2,9,115,0,215,312
"Etobicoke Centre/Etobicoke-Centre"," 98","Etobicoke",27,0,38,1,13,95,0,174,320
"Etobicoke Centre/Etobicoke-Centre"," 99","Etobicoke",64,2,48,0,10,115,0,239,543
"Etobicoke Centre/Etobicoke-Centre"," 100","Etobicoke",21,1,47,0,9,99,0,177,397
"Etobicoke Centre/Etobicoke-Centre"," 101","Etobicoke",10,1,54,1,9,164,1,240,356
"Etobicoke Centre/Etobicoke-Centre"," 102","Etobicoke",22,3,61,0,6,101,0,193,324
"Etobicoke Centre/Etobicoke-Centre"," 103","Etobicoke",21,1,74,1,11,108,3,219,331
"Etobicoke Centre/Etobicoke-Centre"," 104","Etobicoke",26,3,76,2,9,95,2,213,320
"Etobicoke Centre/Etobicoke-Centre"," 105","Etobicoke",24,0,62,0,8,89,0,183,267
"Etobicoke Centre/Etobicoke-Centre"," 106","Etobicoke",14,0,75,0,15,80,1,185,270
"Etobicoke Centre/Etobicoke-Centre"," 107","Etobicoke",22,6,101,0,9,72,1,211,301
"Etobicoke Centre/Etobicoke-Centre"," 108","Etobicoke",25,4,76,1,10,98,1,215,328
"Etobicoke Centre/Etobicoke-Centre"," 109","Etobicoke",26,1,73,0,11,146,2,259,398
"Etobicoke Centre/Etobicoke-Centre"," 110","Etobicoke",13,0,91,1,14,119,3,241,329
"Etobicoke Centre/Etobicoke-Centre"," 111","Etobicoke",38,0,26,1,9,145,4,223,418
"Etobicoke Centre/Etobicoke-Centre"," 112","Etobicoke",10,2,62,0,17,117,2,210,318
"Etobicoke Centre/Etobicoke-Centre"," 113","Etobicoke",10,2,75,0,11,142,0,240,378
"Etobicoke Centre/Etobicoke-Centre"," 114","Etobicoke",11,2,64,0,7,99,1,184,287
"Etobicoke Centre/Etobicoke-Centre"," 115","Etobicoke",39,3,36,1,6,94,0,179,294
"Etobicoke Centre/Etobicoke-Centre"," 116","Etobicoke",32,1,78,0,12,141,0,264,445
"Etobicoke Centre/Etobicoke-Centre"," 117","Etobicoke",20,1,94,1,7,123,1,247,374
"Etobicoke Centre/Etobicoke-Centre"," 118","Etobicoke",22,2,90,0,9,124,2,249,411
"Etobicoke Centre/Etobicoke-Centre"," 119","Etobicoke",12,0,117,1,17,142,1,290,442
"Etobicoke Centre/Etobicoke-Centre"," 120A","Etobicoke",17,1,33,1,2,60,0,114,243
"Etobicoke Centre/Etobicoke-Centre"," 120B","Etobicoke",20,1,47,0,2,65,0,135,252
"Etobicoke Centre/Etobicoke-Centre"," 121","Etobicoke",15,1,106,0,16,114,0,252,353
"Etobicoke Centre/Etobicoke-Centre"," 122","Etobicoke",Void/Supprimé,,,,,,,,
"Etobicoke Centre/Etobicoke-Centre"," 123","Etobicoke",15,0,85,0,8,100,1,209,302
"Etobicoke Centre/Etobicoke-Centre"," 124","Etobicoke",14,0,104,0,10,134,0,262,377
"Etobicoke Centre/Etobicoke-Centre"," 125","Etobicoke",16,2,88,0,5,121,0,232,316
"Etobicoke Centre/Etobicoke-Centre"," 126","Etobicoke",16,0,111,1,7,136,0,271,390
"Etobicoke Centre/Etobicoke-Centre"," 127","Etobicoke",16,1,66,1,14,80,1,179,259
"Etobicoke Centre/Etobicoke-Centre"," 128","Etobicoke",26,2,76,0,7,104,0,215,335
"Etobicoke Centre/Etobicoke-Centre"," 129","Etobicoke",19,0,62,0,6,98,0,185,272
"Etobicoke Centre/Etobicoke-Centre"," 130","Etobicoke",19,1,65,0,9,93,1,188,282
"Etobicoke Centre/Etobicoke-Centre"," 131","Etobicoke",10,3,83,0,10,87,0,193,347
"Etobicoke Centre/Etobicoke-Centre"," 132","Etobicoke",26,0,95,1,8,139,0,269,412
"Etobicoke Centre/Etobicoke-Centre"," 133","Etobicoke",27,2,97,0,13,138,0,277,394
"Etobicoke Centre/Etobicoke-Centre"," 134","Etobicoke",10,0,92,1,5,102,0,210,337
"Etobicoke Centre/Etobicoke-Centre"," 135","Etobicoke",9,0,102,1,5,102,0,219,357
"Etobicoke Centre/Etobicoke-Centre"," 136","Etobicoke",19,1,115,0,16,73,1,225,369
