Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Abramowitz,Lloyd Helferty,Susan Kadis,Anthony Reale,Simon Strelchik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Thornhill/Thornhill"," 1","Vaughan",2,7,68,37,9,1,124,317
"Thornhill/Thornhill"," 2","Vaughan",6,8,177,70,37,7,305,567
"Thornhill/Thornhill"," 3","Vaughan",6,1,214,101,33,1,356,604
"Thornhill/Thornhill"," 4","Vaughan",8,14,147,85,35,1,290,559
"Thornhill/Thornhill"," 5A","Vaughan",2,11,97,72,27,3,212,416
"Thornhill/Thornhill"," 5B","Vaughan",3,5,107,63,26,1,205,373
"Thornhill/Thornhill"," 6","Vaughan",8,4,66,54,28,0,160,320
"Thornhill/Thornhill"," 7","Vaughan",8,5,133,83,17,0,246,489
"Thornhill/Thornhill"," 8","Vaughan",7,4,93,78,19,1,202,374
"Thornhill/Thornhill"," 9A","Vaughan",4,8,95,67,24,0,198,350
"Thornhill/Thornhill"," 9B","Vaughan",4,3,93,63,16,4,183,342
"Thornhill/Thornhill"," 10","Vaughan",7,12,207,111,34,1,372,603
"Thornhill/Thornhill"," 11A","Vaughan",7,10,147,134,26,2,326,566
"Thornhill/Thornhill"," 11B","Vaughan",16,15,161,123,25,5,345,589
"Thornhill/Thornhill"," 11-1","Vaughan",9,8,148,81,19,2,267,473
"Thornhill/Thornhill"," 11-2","Vaughan",5,6,101,88,16,0,216,418
"Thornhill/Thornhill"," 11-3","Vaughan",5,11,113,103,14,3,249,520
"Thornhill/Thornhill"," 11-4A","Vaughan",5,6,95,67,15,0,188,376
"Thornhill/Thornhill"," 11-4B","Mobile poll/Bureau itinérant",Merged with No. 121B/Fusionné avec le nº 121B,,,,,,,20
"Thornhill/Thornhill"," 11-5","Vaughan",6,6,107,71,11,0,201,351
"Thornhill/Thornhill"," 11-6","Vaughan",9,4,132,111,15,1,272,552
"Thornhill/Thornhill"," 11-7","Vaughan",4,9,159,100,21,2,295,548
"Thornhill/Thornhill"," 11-8","Vaughan",7,6,166,123,11,2,315,541
"Thornhill/Thornhill"," 12A","Vaughan",4,4,95,62,9,0,174,385
"Thornhill/Thornhill"," 12B","Vaughan",7,1,72,53,12,0,145,372
"Thornhill/Thornhill"," 13","Vaughan",2,6,121,92,8,0,229,478
"Thornhill/Thornhill"," 14","Vaughan",10,13,169,102,19,2,315,560
"Thornhill/Thornhill"," 15","Vaughan",3,3,76,74,8,1,165,299
"Thornhill/Thornhill"," 16","Vaughan",7,8,127,98,10,1,251,471
"Thornhill/Thornhill"," 17","Vaughan",2,3,137,92,21,0,255,403
"Thornhill/Thornhill"," 18","Vaughan",8,7,122,77,19,0,233,377
"Thornhill/Thornhill"," 19","Vaughan",2,2,61,39,13,0,117,220
"Thornhill/Thornhill"," 20","Vaughan",4,4,111,79,13,1,212,365
"Thornhill/Thornhill"," 21","Vaughan",3,3,110,78,6,0,200,316
"Thornhill/Thornhill"," 22","Vaughan",4,2,116,107,11,0,240,434
"Thornhill/Thornhill"," 23","Vaughan",1,3,95,99,10,0,208,422
"Thornhill/Thornhill"," 24A","Vaughan",4,14,75,98,27,0,218,468
"Thornhill/Thornhill"," 24B","Vaughan",7,3,128,89,11,0,238,398
"Thornhill/Thornhill"," 25","Vaughan",10,0,83,78,3,0,174,297
"Thornhill/Thornhill"," 26","Vaughan",8,10,177,101,17,2,315,518
"Thornhill/Thornhill"," 27","Vaughan",5,10,156,102,17,0,290,471
"Thornhill/Thornhill"," 28","Vaughan",6,10,174,126,13,0,329,565
"Thornhill/Thornhill"," 29","Vaughan",4,3,90,102,9,1,209,410
"Thornhill/Thornhill"," 30","Vaughan",7,9,146,135,7,0,304,502
"Thornhill/Thornhill"," 31A","Vaughan",6,2,77,72,3,0,160,260
"Thornhill/Thornhill"," 31B","Vaughan",7,8,100,105,2,1,223,366
"Thornhill/Thornhill"," 32","Vaughan",5,2,88,97,19,0,211,429
"Thornhill/Thornhill"," 33","Vaughan",2,9,128,80,14,1,234,366
"Thornhill/Thornhill"," 34","Vaughan",1,12,104,78,13,0,208,358
"Thornhill/Thornhill"," 35","Vaughan",2,4,139,37,27,0,209,423
"Thornhill/Thornhill"," 36A","Vaughan",3,3,139,31,21,1,198,337
"Thornhill/Thornhill"," 36B","Vaughan",2,7,125,25,24,2,185,351
"Thornhill/Thornhill"," 37","Vaughan",6,4,180,65,34,1,290,519
"Thornhill/Thornhill"," 38","Vaughan",2,6,168,59,40,1,276,465
"Thornhill/Thornhill"," 39","Vaughan",2,10,161,87,31,5,296,473
"Thornhill/Thornhill"," 40","Vaughan",2,14,183,79,22,1,301,507
"Thornhill/Thornhill"," 41","Vaughan",3,9,209,89,35,2,347,568
"Thornhill/Thornhill"," 42","Vaughan",5,12,144,45,26,3,235,402
"Thornhill/Thornhill"," 43","Vaughan",5,10,150,54,32,0,251,454
"Thornhill/Thornhill"," 44","Vaughan",2,4,126,44,14,1,191,303
"Thornhill/Thornhill"," 45","Vaughan",4,12,215,88,25,3,347,562
"Thornhill/Thornhill"," 46","Vaughan",7,10,175,87,26,1,306,494
"Thornhill/Thornhill"," 47","Vaughan",0,10,115,52,16,1,194,369
"Thornhill/Thornhill"," 48","Vaughan",2,7,109,38,16,1,173,266
"Thornhill/Thornhill"," 49","Vaughan",7,8,95,58,23,3,194,289
"Thornhill/Thornhill"," 50","Vaughan",5,9,106,62,15,0,197,360
"Thornhill/Thornhill"," 51","Vaughan",5,13,118,90,15,1,242,358
"Thornhill/Thornhill"," 52","Vaughan",6,7,104,62,14,5,198,396
"Thornhill/Thornhill"," 53","Vaughan",3,3,98,75,13,0,192,331
"Thornhill/Thornhill"," 54","Vaughan",3,9,108,92,16,0,228,453
"Thornhill/Thornhill"," 55","Vaughan",1,9,115,72,14,2,213,379
"Thornhill/Thornhill"," 56","Vaughan",1,1,72,37,13,0,124,311
"Thornhill/Thornhill"," 57","Vaughan",4,5,123,72,23,0,227,411
"Thornhill/Thornhill"," 58","Vaughan",3,4,161,61,22,1,252,485
"Thornhill/Thornhill"," 59","Vaughan",7,15,158,59,17,1,257,452
"Thornhill/Thornhill"," 60A","Vaughan",4,10,147,52,11,1,225,403
"Thornhill/Thornhill"," 60B","Vaughan",3,6,85,37,10,0,141,241
"Thornhill/Thornhill"," 61","Vaughan",11,8,177,60,30,1,287,480
"Thornhill/Thornhill"," 62","Vaughan",8,6,164,76,21,1,276,527
"Thornhill/Thornhill"," 63","Vaughan",4,2,158,71,29,1,265,472
