Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Mann,Wayne Marston,Jo Pavlov,Frank Rukavina,Tony Valeri,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 1","Hamilton ",1,99,17,58,77,0,252,452
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 2","Hamilton ",0,129,24,58,51,0,262,407
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 3","Hamilton ",2,70,4,28,20,1,125,289
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 4","Hamilton ",1,99,9,24,21,0,154,286
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 5","Hamilton ",1,93,5,45,31,1,176,309
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 6","Hamilton ",1,106,11,38,46,0,202,356
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 7","Hamilton ",2,111,9,55,51,0,228,411
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 8","Hamilton ",3,111,5,33,42,0,194,371
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 9","Hamilton ",2,93,7,41,41,1,185,342
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 10","Hamilton ",0,63,5,21,26,1,116,412
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 11","Hamilton ",5,78,4,22,34,1,144,414
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 12","Hamilton ",4,76,1,11,21,0,113,426
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 13","Hamilton ",2,130,4,42,40,0,218,357
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 14","Hamilton ",1,112,4,26,46,1,190,326
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 15","Hamilton ",0,74,1,19,35,1,130,306
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 16","Hamilton ",2,80,4,41,63,0,190,303
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 17","Hamilton ",1,82,0,32,34,3,152,315
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 18","Hamilton ",1,81,5,45,41,2,175,356
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 19","Hamilton ",3,99,9,39,42,1,193,397
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 20","Hamilton ",1,86,4,54,64,1,210,444
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 21","Hamilton ",1,98,5,17,23,0,144,344
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 22","Hamilton ",1,67,5,20,27,0,120,286
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 23","Hamilton ",0,93,3,33,24,1,154,331
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 24","Hamilton ",0,55,1,34,25,1,116,338
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 25","Hamilton ",0,76,6,27,27,2,138,297
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 26","Hamilton ",1,131,7,26,42,0,207,393
