Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Capobianco,Cathy Holliday,Michael Ignatieff,Liam McHugh-Russell,Janice Murray,Philip Ridge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 1","Etobicoke",32,3,84,23,0,6,0,148,324
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 2","Etobicoke",88,1,152,37,1,16,3,298,658
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 3","Etobicoke",103,0,129,27,0,8,0,267,481
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 4","Etobicoke",47,2,52,22,0,7,1,131,236
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 5","Etobicoke",105,0,97,46,0,8,0,256,399
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 6","Etobicoke",109,1,101,28,0,6,2,247,396
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 7","Etobicoke",90,1,132,39,1,9,1,273,440
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 8","Etobicoke",96,3,95,27,1,6,1,229,404
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 9","Etobicoke",83,0,96,33,0,4,0,216,325
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 10","Etobicoke",102,0,105,23,0,11,0,241,385
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 11","Etobicoke",95,0,86,18,0,8,0,207,325
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 12","Etobicoke",102,0,118,33,0,9,1,263,394
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 13","Etobicoke",99,1,95,42,0,14,0,251,378
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 14","Etobicoke",111,0,96,36,0,21,0,264,367
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 15","Etobicoke",97,0,110,36,0,12,1,256,420
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 16","Etobicoke",103,0,118,36,0,10,1,268,366
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 17","Etobicoke",107,0,121,27,0,8,1,264,418
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 18","Etobicoke",93,0,141,32,1,6,1,274,370
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 19","Etobicoke",122,0,127,28,0,16,0,293,434
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 20","Etobicoke",89,0,143,43,2,13,0,290,501
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 21","Etobicoke",50,0,88,29,0,13,0,180,380
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 22","Etobicoke",62,0,101,14,0,6,0,183,325
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 23","Etobicoke",98,0,124,20,0,7,0,249,407
