Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles Doucet,David Hackett,Camille Labchuk,Brian Murphy,Ron Pomerleau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 1","Moncton",101,50,6,97,0,0,254,430
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 2","Moncton",Merged with No. 33/Fusionné avec le nº 33,,,,,,,247
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 3","Moncton",85,54,8,98,0,1,246,383
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 4","Moncton",119,36,5,117,1,0,278,468
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 5","Moncton",114,46,9,108,0,2,279,455
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 6","Moncton",118,50,3,149,0,0,320,515
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 7","Moncton",74,33,4,104,0,0,215,353
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 8","Moncton",88,48,6,107,0,2,251,404
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 9","Moncton",66,48,7,90,0,2,213,401
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 10A","Moncton",62,36,6,100,0,0,204,348
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 10B","Moncton",75,31,5,88,1,1,201,346
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 11","Moncton",70,14,0,93,1,5,183,291
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 12","Moncton",107,20,10,116,0,2,255,405
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 13","Moncton",80,47,8,131,1,0,267,522
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 14A","Moncton",76,44,7,108,0,0,235,401
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 14B","Moncton",72,58,6,99,0,1,236,389
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 15","Moncton",132,19,3,92,0,0,246,409
"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 16","Moncton",28,31,2,43,0,1,105,346
