Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cummins,William Jonsson,Jean-Philippe Laflamme,Patricia Whittaker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Delta--Richmond East/Delta--Richmond-Est"," 1","Richmond",144,39,23,159,5,370,663
"Delta--Richmond East/Delta--Richmond-Est"," 2","Richmond",61,22,6,78,2,169,294
"Delta--Richmond East/Delta--Richmond-Est"," 3","Richmond",124,44,8,123,3,302,640
"Delta--Richmond East/Delta--Richmond-Est"," 4","Richmond",75,46,5,80,0,206,475
"Delta--Richmond East/Delta--Richmond-Est"," 5","Richmond",116,71,13,128,1,329,688
"Delta--Richmond East/Delta--Richmond-Est"," 6","Richmond",56,26,6,56,0,144,294
"Delta--Richmond East/Delta--Richmond-Est"," 7","Richmond",139,62,14,89,0,304,541
"Delta--Richmond East/Delta--Richmond-Est"," 8","Richmond",148,48,13,143,3,355,645
"Delta--Richmond East/Delta--Richmond-Est"," 9","Richmond",66,37,11,96,4,214,459
"Delta--Richmond East/Delta--Richmond-Est"," 10","Richmond",104,46,6,71,1,228,522
"Delta--Richmond East/Delta--Richmond-Est"," 11","Richmond",63,20,7,44,0,134,234
"Delta--Richmond East/Delta--Richmond-Est"," 12","Richmond",126,32,8,132,3,301,776
"Delta--Richmond East/Delta--Richmond-Est"," 13","Richmond",95,24,8,112,0,239,611
"Delta--Richmond East/Delta--Richmond-Est"," 14","Richmond",49,43,6,59,0,157,316
"Delta--Richmond East/Delta--Richmond-Est"," 15","Richmond",103,55,6,83,0,247,534
"Delta--Richmond East/Delta--Richmond-Est"," 16","Richmond",74,40,4,67,0,185,403
"Delta--Richmond East/Delta--Richmond-Est"," 17A","Richmond",77,14,3,101,0,195,469
"Delta--Richmond East/Delta--Richmond-Est"," 17B","Richmond",96,26,10,129,1,262,576
"Delta--Richmond East/Delta--Richmond-Est"," 18","Richmond",74,14,1,98,0,187,450
"Delta--Richmond East/Delta--Richmond-Est"," 19","Richmond",131,30,4,124,3,292,655
"Delta--Richmond East/Delta--Richmond-Est"," 20","Richmond",Merged with No. 17B/Fusionné avec le nº 17B,,,,,,19
"Delta--Richmond East/Delta--Richmond-Est"," 21","Richmond",126,18,8,175,0,327,834
"Delta--Richmond East/Delta--Richmond-Est"," 22","Richmond",63,19,1,55,0,138,328
"Delta--Richmond East/Delta--Richmond-Est"," 23","Richmond",114,31,13,60,2,220,400
"Delta--Richmond East/Delta--Richmond-Est"," 24","Richmond",92,30,7,76,1,206,417
"Delta--Richmond East/Delta--Richmond-Est"," 25","Richmond",57,33,10,89,0,189,361
"Delta--Richmond East/Delta--Richmond-Est"," 26A","Richmond",101,34,12,83,1,231,415
"Delta--Richmond East/Delta--Richmond-Est"," 26B","Richmond",76,41,6,77,3,203,360
"Delta--Richmond East/Delta--Richmond-Est"," 27","Richmond",153,55,15,136,2,361,634
"Delta--Richmond East/Delta--Richmond-Est"," 28","Richmond",134,31,11,159,3,338,655
"Delta--Richmond East/Delta--Richmond-Est"," 29","Richmond",107,30,8,232,1,378,508
"Delta--Richmond East/Delta--Richmond-Est"," 30","Richmond",145,65,16,125,0,351,581
"Delta--Richmond East/Delta--Richmond-Est"," 31","Richmond",91,18,13,100,1,223,437
"Delta--Richmond East/Delta--Richmond-Est"," 32","Richmond",117,34,4,71,1,227,432
"Delta--Richmond East/Delta--Richmond-Est"," 33","Richmond",125,31,7,77,0,240,426
"Delta--Richmond East/Delta--Richmond-Est"," 34","Richmond",112,64,18,99,0,293,518
"Delta--Richmond East/Delta--Richmond-Est"," 35","Richmond",82,43,15,88,0,228,430
"Delta--Richmond East/Delta--Richmond-Est"," 36","Richmond",85,49,20,84,1,239,431
"Delta--Richmond East/Delta--Richmond-Est"," 37","Richmond",87,28,12,68,0,195,429
"Delta--Richmond East/Delta--Richmond-Est"," 38","Richmond",97,38,13,102,2,252,449
"Delta--Richmond East/Delta--Richmond-Est"," 39","Richmond",62,36,6,70,0,174,427
"Delta--Richmond East/Delta--Richmond-Est"," 40","Richmond",94,55,11,82,2,244,454
"Delta--Richmond East/Delta--Richmond-Est"," 41","Richmond",67,28,10,62,0,167,302
"Delta--Richmond East/Delta--Richmond-Est"," 42","Richmond",113,48,9,96,0,266,525
"Delta--Richmond East/Delta--Richmond-Est"," 43","Richmond",108,48,14,126,0,296,506
"Delta--Richmond East/Delta--Richmond-Est"," 44","Richmond",92,37,19,69,0,217,373
"Delta--Richmond East/Delta--Richmond-Est"," 45","Richmond",89,36,3,82,0,210,347
"Delta--Richmond East/Delta--Richmond-Est"," 46","Richmond",48,32,10,61,0,151,310
"Delta--Richmond East/Delta--Richmond-Est"," 47","Richmond",111,44,9,83,1,248,434
"Delta--Richmond East/Delta--Richmond-Est"," 48","Richmond",67,32,7,65,0,171,383
"Delta--Richmond East/Delta--Richmond-Est"," 49","Richmond",68,40,6,118,0,232,455
"Delta--Richmond East/Delta--Richmond-Est"," 50","Richmond",66,30,3,67,1,167,325
"Delta--Richmond East/Delta--Richmond-Est"," 51","Richmond",81,52,13,88,0,234,457
"Delta--Richmond East/Delta--Richmond-Est"," 52","Richmond",105,42,11,152,2,312,554
"Delta--Richmond East/Delta--Richmond-Est"," 53","Richmond",87,47,13,105,1,253,455
"Delta--Richmond East/Delta--Richmond-Est"," 54","Richmond",111,38,17,141,1,308,488
"Delta--Richmond East/Delta--Richmond-Est"," 55","Richmond",62,34,11,75,0,182,289
"Delta--Richmond East/Delta--Richmond-Est"," 56","Richmond",47,27,15,64,0,153,296
"Delta--Richmond East/Delta--Richmond-Est"," 57","Richmond",94,43,10,98,0,245,440
"Delta--Richmond East/Delta--Richmond-Est"," 58","Richmond",79,54,9,94,0,236,439
"Delta--Richmond East/Delta--Richmond-Est"," 59","Richmond",73,35,6,102,1,217,408
"Delta--Richmond East/Delta--Richmond-Est"," 60","Richmond",97,53,11,69,1,231,397
"Delta--Richmond East/Delta--Richmond-Est"," 61","Richmond",103,56,10,95,2,266,504
"Delta--Richmond East/Delta--Richmond-Est"," 62","Richmond",89,36,17,87,0,229,432
"Delta--Richmond East/Delta--Richmond-Est"," 63","Richmond",96,73,21,95,2,287,563
"Delta--Richmond East/Delta--Richmond-Est"," 64","Richmond",100,46,7,87,0,240,424
"Delta--Richmond East/Delta--Richmond-Est"," 65","Richmond",101,35,7,72,0,215,406
"Delta--Richmond East/Delta--Richmond-Est"," 66","Richmond",110,46,16,99,0,271,398
"Delta--Richmond East/Delta--Richmond-Est"," 67","Richmond",126,56,21,118,1,322,503
"Delta--Richmond East/Delta--Richmond-Est"," 68","Richmond",146,65,27,106,1,345,571
"Delta--Richmond East/Delta--Richmond-Est"," 69","Richmond",127,76,18,146,1,368,567
"Delta--Richmond East/Delta--Richmond-Est"," 70","Richmond",145,59,11,103,0,318,587
"Delta--Richmond East/Delta--Richmond-Est"," 71","Richmond",89,45,12,72,0,218,328
"Delta--Richmond East/Delta--Richmond-Est"," 72","Richmond",86,58,15,66,0,225,358
"Delta--Richmond East/Delta--Richmond-Est"," 73","Richmond",116,58,19,108,4,305,455
"Delta--Richmond East/Delta--Richmond-Est"," 74","Richmond",155,53,24,111,3,346,548
"Delta--Richmond East/Delta--Richmond-Est"," 75","Richmond",89,59,14,83,2,247,479
"Delta--Richmond East/Delta--Richmond-Est"," 76","Richmond",89,31,7,77,2,206,390
"Delta--Richmond East/Delta--Richmond-Est"," 77","Richmond",161,29,11,121,0,322,492
"Delta--Richmond East/Delta--Richmond-Est"," 78","Richmond",117,21,14,82,0,234,355
"Delta--Richmond East/Delta--Richmond-Est"," 79","Richmond",127,28,23,78,3,259,402
"Delta--Richmond East/Delta--Richmond-Est"," 80","Richmond",133,39,16,95,1,284,412
"Delta--Richmond East/Delta--Richmond-Est"," 81","Richmond",110,34,12,105,0,261,406
