Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Cauchon,Robert Gauthier,Michel Guimond,Yves Jourdain,Yves Laberge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 1","Colombier",1,6,58,3,15,2,85,155
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 2","Colombier",Void/Supprimé,,,,,,,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 3","Colombier",12,5,140,2,37,0,196,373
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 4","Saint-Marc-de-Latour",5,7,79,1,10,1,103,192
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 5","Forestville",10,11,140,4,38,1,204,485
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 6","Forestville",10,12,110,11,38,2,183,359
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 7A","Forestville",13,7,94,6,41,6,167,344
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 7B","Mobile poll/Bureau itinérant",Merged with No. 25B/Fusionné avec le nº 25B,,,,,,,22
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 8","Forestville",7,10,107,1,38,2,165,390
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 9","Forestville",4,9,100,11,40,1,165,401
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 10","Forestville",8,15,128,8,51,0,210,458
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 11","Forestville",7,8,87,5,35,0,142,385
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 12","Sainte-Anne-de-Portneuf",2,6,86,1,23,0,118,208
