Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Georges-Alexandre Bastien,Jean-Paul Bédard,Serge Bellemare,May Chiu,Russ Johnson,Jean-Philippe Lebleu,Paul Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"LaSalle--Émard/LaSalle--Émard"," 1","Montréal",26,0,7,95,24,1,112,5,270,438
"LaSalle--Émard/LaSalle--Émard"," 2","Montréal",7,1,6,136,7,0,55,5,217,406
"LaSalle--Émard/LaSalle--Émard"," 3","Montréal",18,1,6,107,20,0,61,2,215,394
"LaSalle--Émard/LaSalle--Émard"," 4","Montréal",16,1,5,58,7,2,42,3,134,330
"LaSalle--Émard/LaSalle--Émard"," 5","Montréal",18,1,9,116,15,1,44,2,206,438
"LaSalle--Émard/LaSalle--Émard"," 6","Montréal",24,1,4,63,6,1,47,3,149,342
"LaSalle--Émard/LaSalle--Émard"," 7","Montréal",16,1,5,44,11,1,36,2,116,329
"LaSalle--Émard/LaSalle--Émard"," 8","Montréal",16,3,9,72,13,2,70,1,186,491
"LaSalle--Émard/LaSalle--Émard"," 9","Montréal",9,1,8,61,11,0,25,6,121,287
"LaSalle--Émard/LaSalle--Émard"," 10","Montréal",21,2,9,105,12,1,34,1,185,447
"LaSalle--Émard/LaSalle--Émard"," 11","Montréal",9,0,5,69,9,1,36,2,131,269
"LaSalle--Émard/LaSalle--Émard"," 12","Montréal",9,1,4,62,6,1,29,7,119,285
"LaSalle--Émard/LaSalle--Émard"," 13","Montréal",29,1,5,99,9,1,49,7,200,431
"LaSalle--Émard/LaSalle--Émard"," 14","Montréal",Merged with No. 17/Fusionné avec le nº 17,,,,,,,,,243
"LaSalle--Émard/LaSalle--Émard"," 15","Montréal",26,0,7,104,14,1,31,2,185,384
"LaSalle--Émard/LaSalle--Émard"," 16","Montréal",21,1,14,107,15,1,49,5,213,447
"LaSalle--Émard/LaSalle--Émard"," 17","Montréal",21,0,12,125,22,2,75,7,264,245
"LaSalle--Émard/LaSalle--Émard"," 18","Montréal",10,0,7,89,10,1,34,2,153,273
"LaSalle--Émard/LaSalle--Émard"," 19","Montréal",26,3,9,150,14,7,50,6,265,470
"LaSalle--Émard/LaSalle--Émard"," 20","Montréal",14,1,8,85,17,0,39,1,165,264
"LaSalle--Émard/LaSalle--Émard"," 21","Montréal",40,0,8,85,12,3,100,10,258,396
"LaSalle--Émard/LaSalle--Émard"," 22","Montréal",22,3,7,52,10,2,96,8,200,370
"LaSalle--Émard/LaSalle--Émard"," 23","Montréal",25,3,6,100,16,0,84,3,237,385
"LaSalle--Émard/LaSalle--Émard"," 24","Montréal",21,1,9,84,20,2,91,10,238,393
"LaSalle--Émard/LaSalle--Émard"," 25","Montréal",24,1,7,80,12,2,94,4,224,370
"LaSalle--Émard/LaSalle--Émard"," 26","Montréal",13,1,12,91,23,1,96,4,241,452
"LaSalle--Émard/LaSalle--Émard"," 27A","LaSalle",57,2,14,79,14,6,192,7,371,620
"LaSalle--Émard/LaSalle--Émard"," 27B","LaSalle",48,0,13,72,19,2,195,6,355,623
"LaSalle--Émard/LaSalle--Émard"," 28","LaSalle",44,0,10,64,21,2,144,3,288,543
"LaSalle--Émard/LaSalle--Émard"," 29","LaSalle",50,0,4,62,20,4,119,3,262,565
"LaSalle--Émard/LaSalle--Émard"," 30","LaSalle",38,2,4,39,15,1,178,0,277,452
"LaSalle--Émard/LaSalle--Émard"," 31","LaSalle",18,0,4,28,7,1,109,2,169,324
"LaSalle--Émard/LaSalle--Émard"," 32","LaSalle",30,1,8,32,18,0,125,4,218,416
"LaSalle--Émard/LaSalle--Émard"," 33","LaSalle",45,2,9,26,10,1,155,4,252,445
