Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Di Paola,Wess Dowsett,Tim Rudkins,Bryon Wilfert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Richmond Hill/Richmond Hill"," 1","Richmond Hill",110,21,13,146,1,291,585
"Richmond Hill/Richmond Hill"," 2","Richmond Hill",104,25,16,197,0,342,686
"Richmond Hill/Richmond Hill"," 3","Richmond Hill",178,36,17,199,1,431,711
"Richmond Hill/Richmond Hill"," 4","Richmond Hill",149,17,10,137,1,314,552
"Richmond Hill/Richmond Hill"," 5","Richmond Hill",110,19,12,130,0,271,419
"Richmond Hill/Richmond Hill"," 6","Richmond Hill",70,12,3,135,1,221,387
"Richmond Hill/Richmond Hill"," 7A","Richmond Hill",110,16,14,154,2,296,560
"Richmond Hill/Richmond Hill"," 7B","Richmond Hill",105,27,5,177,5,319,559
"Richmond Hill/Richmond Hill"," 8A","Richmond Hill",106,25,11,124,0,266,457
"Richmond Hill/Richmond Hill"," 8B","Richmond Hill",113,27,9,132,0,281,466
"Richmond Hill/Richmond Hill"," 9","Richmond Hill",66,13,11,128,0,218,381
"Richmond Hill/Richmond Hill"," 10","Richmond Hill",92,20,6,137,1,256,453
"Richmond Hill/Richmond Hill"," 11","Richmond Hill",106,20,13,190,3,332,562
"Richmond Hill/Richmond Hill"," 12","Richmond Hill",59,23,9,129,0,220,384
"Richmond Hill/Richmond Hill"," 13","Richmond Hill",60,22,10,109,1,202,381
"Richmond Hill/Richmond Hill"," 14","Richmond Hill",128,14,11,172,2,327,561
"Richmond Hill/Richmond Hill"," 15A","Richmond Hill",57,14,11,99,1,182,302
"Richmond Hill/Richmond Hill"," 15B","Richmond Hill",39,20,10,114,1,184,304
"Richmond Hill/Richmond Hill"," 16","Richmond Hill",152,19,20,180,1,372,565
"Richmond Hill/Richmond Hill"," 17","Richmond Hill",86,38,16,138,2,280,411
"Richmond Hill/Richmond Hill"," 18","Richmond Hill",103,53,26,141,1,324,533
"Richmond Hill/Richmond Hill"," 19","Richmond Hill",35,29,11,76,1,152,293
"Richmond Hill/Richmond Hill"," 20","Richmond Hill",62,32,19,94,0,207,396
"Richmond Hill/Richmond Hill"," 21","Richmond Hill",94,30,24,92,2,242,378
"Richmond Hill/Richmond Hill"," 22","Richmond Hill",106,10,12,135,0,263,439
"Richmond Hill/Richmond Hill"," 23","Richmond Hill",83,20,19,109,2,233,391
"Richmond Hill/Richmond Hill"," 24","Richmond Hill",81,23,17,108,0,229,375
"Richmond Hill/Richmond Hill"," 25","Richmond Hill",84,17,11,108,0,220,354
"Richmond Hill/Richmond Hill"," 26","Richmond Hill",93,33,24,113,2,265,409
"Richmond Hill/Richmond Hill"," 27","Richmond Hill",68,24,27,86,0,205,332
"Richmond Hill/Richmond Hill"," 28","Richmond Hill",76,25,22,101,0,224,368
"Richmond Hill/Richmond Hill"," 29","Richmond Hill",82,31,22,108,0,243,442
"Richmond Hill/Richmond Hill"," 30","Richmond Hill",73,16,21,123,0,233,412
"Richmond Hill/Richmond Hill"," 31","Richmond Hill",88,17,17,141,0,263,462
"Richmond Hill/Richmond Hill"," 32","Richmond Hill",28,22,15,61,1,127,267
"Richmond Hill/Richmond Hill"," 33","Richmond Hill",54,31,12,78,0,175,330
"Richmond Hill/Richmond Hill"," 34","Richmond Hill",62,33,13,81,0,189,327
"Richmond Hill/Richmond Hill"," 35","Richmond Hill",65,43,9,85,1,203,382
"Richmond Hill/Richmond Hill"," 36","Richmond Hill",72,25,12,76,1,186,359
"Richmond Hill/Richmond Hill"," 37","Richmond Hill",68,33,21,89,1,212,349
"Richmond Hill/Richmond Hill"," 38","Richmond Hill",59,32,10,78,0,179,313
"Richmond Hill/Richmond Hill"," 39","Richmond Hill",73,35,13,81,1,203,322
"Richmond Hill/Richmond Hill"," 40","Richmond Hill",77,41,22,114,1,255,451
"Richmond Hill/Richmond Hill"," 41","Richmond Hill",63,21,15,84,0,183,341
"Richmond Hill/Richmond Hill"," 42","Richmond Hill",49,23,11,69,2,154,287
"Richmond Hill/Richmond Hill"," 43","Richmond Hill",57,31,7,73,0,168,296
"Richmond Hill/Richmond Hill"," 44","Richmond Hill",83,32,12,121,1,249,439
"Richmond Hill/Richmond Hill"," 45","Richmond Hill",44,42,13,76,1,176,400
"Richmond Hill/Richmond Hill"," 46","Richmond Hill",63,36,21,104,1,225,390
"Richmond Hill/Richmond Hill"," 47","Richmond Hill",64,34,10,95,1,204,333
"Richmond Hill/Richmond Hill"," 48","Richmond Hill",70,38,18,114,0,240,521
"Richmond Hill/Richmond Hill"," 49","Richmond Hill",42,9,9,71,0,131,212
"Richmond Hill/Richmond Hill"," 50","Richmond Hill",68,22,16,70,1,177,293
"Richmond Hill/Richmond Hill"," 51","Richmond Hill",134,23,20,127,0,304,456
"Richmond Hill/Richmond Hill"," 52","Richmond Hill",94,28,15,121,1,259,434
"Richmond Hill/Richmond Hill"," 53","Richmond Hill",76,41,18,158,0,293,479
"Richmond Hill/Richmond Hill"," 54","Richmond Hill",93,16,10,85,1,205,379
"Richmond Hill/Richmond Hill"," 55","Richmond Hill",61,25,11,48,2,147,270
"Richmond Hill/Richmond Hill"," 56","Richmond Hill",82,47,3,177,0,309,494
"Richmond Hill/Richmond Hill"," 57","Richmond Hill",91,35,13,156,0,295,583
"Richmond Hill/Richmond Hill"," 58","Richmond Hill",101,40,23,156,0,320,522
"Richmond Hill/Richmond Hill"," 59","Richmond Hill",84,19,16,114,0,233,432
"Richmond Hill/Richmond Hill"," 60","Richmond Hill",65,12,8,123,0,208,352
"Richmond Hill/Richmond Hill"," 61","Richmond Hill",97,18,12,184,1,312,472
"Richmond Hill/Richmond Hill"," 62","Richmond Hill",76,20,12,102,1,211,361
"Richmond Hill/Richmond Hill"," 63","Richmond Hill",83,16,12,130,1,242,424
"Richmond Hill/Richmond Hill"," 64","Richmond Hill",66,30,15,94,1,206,362
"Richmond Hill/Richmond Hill"," 65","Richmond Hill",104,44,31,158,2,339,547
"Richmond Hill/Richmond Hill"," 66","Richmond Hill",59,25,10,80,1,175,291
"Richmond Hill/Richmond Hill"," 67","Richmond Hill",58,33,24,114,0,229,387
"Richmond Hill/Richmond Hill"," 68","Richmond Hill",104,56,19,187,1,367,596
"Richmond Hill/Richmond Hill"," 69","Richmond Hill",92,29,25,117,2,265,433
"Richmond Hill/Richmond Hill"," 70","Richmond Hill",113,39,25,145,0,322,507
"Richmond Hill/Richmond Hill"," 71","Richmond Hill",83,18,13,130,1,245,400
"Richmond Hill/Richmond Hill"," 72","Richmond Hill",100,34,6,164,0,304,438
"Richmond Hill/Richmond Hill"," 73","Richmond Hill",39,23,12,56,1,131,346
"Richmond Hill/Richmond Hill"," 74","Richmond Hill",85,40,20,135,3,283,581
"Richmond Hill/Richmond Hill"," 75","Richmond Hill",58,28,16,83,2,187,321
"Richmond Hill/Richmond Hill"," 76","Richmond Hill",81,37,27,103,0,248,478
"Richmond Hill/Richmond Hill"," 77","Richmond Hill",38,19,12,50,0,119,292
"Richmond Hill/Richmond Hill"," 78","Richmond Hill",54,24,9,68,0,155,337
"Richmond Hill/Richmond Hill"," 79","Richmond Hill",48,32,17,71,1,169,336
"Richmond Hill/Richmond Hill"," 80","Richmond Hill",49,41,16,85,1,192,365
"Richmond Hill/Richmond Hill"," 81","Richmond Hill",63,27,4,85,1,180,346
"Richmond Hill/Richmond Hill"," 82","Richmond Hill",64,55,18,141,0,278,425
"Richmond Hill/Richmond Hill"," 83","Richmond Hill",47,20,23,62,0,152,333
"Richmond Hill/Richmond Hill"," 84","Richmond Hill",63,29,8,109,2,211,379
"Richmond Hill/Richmond Hill"," 85","Richmond Hill",Merged with No. 91/Fusionné avec le nº 91,,,,,,144
"Richmond Hill/Richmond Hill"," 86A","Richmond Hill",37,28,8,98,0,171,412
"Richmond Hill/Richmond Hill"," 86B","Richmond Hill",50,27,19,80,0,176,377
"Richmond Hill/Richmond Hill"," 87","Richmond Hill",79,17,11,158,0,265,454
"Richmond Hill/Richmond Hill"," 88","Richmond Hill",36,19,11,71,0,137,254
"Richmond Hill/Richmond Hill"," 89","Richmond Hill",56,13,3,118,2,192,460
"Richmond Hill/Richmond Hill"," 90","Richmond Hill",66,54,8,97,1,226,435
"Richmond Hill/Richmond Hill"," 91","Richmond Hill",43,18,11,107,0,179,192
"Richmond Hill/Richmond Hill"," 92A","Richmond Hill",54,11,4,81,1,151,327
"Richmond Hill/Richmond Hill"," 92B","Richmond Hill",72,15,10,89,0,186,391
"Richmond Hill/Richmond Hill"," 93","Richmond Hill",30,25,5,102,1,163,457
"Richmond Hill/Richmond Hill"," 94","Richmond Hill",30,35,4,118,0,187,457
"Richmond Hill/Richmond Hill"," 95","Richmond Hill",29,18,7,65,0,119,253
"Richmond Hill/Richmond Hill"," 96","Richmond Hill",95,12,10,140,0,257,507
"Richmond Hill/Richmond Hill"," 97","Richmond Hill",54,26,12,164,3,259,469
"Richmond Hill/Richmond Hill"," 98","Richmond Hill",79,31,2,169,0,281,498
"Richmond Hill/Richmond Hill"," 99A","Richmond Hill",58,23,8,112,0,201,361
"Richmond Hill/Richmond Hill"," 99B","Richmond Hill",71,21,3,113,0,208,401
"Richmond Hill/Richmond Hill"," 99C","Richmond Hill",68,23,11,125,0,227,419
"Richmond Hill/Richmond Hill"," 99D","Richmond Hill",89,29,13,149,0,280,491
"Richmond Hill/Richmond Hill"," 100A","Richmond Hill",60,23,6,88,2,179,335
"Richmond Hill/Richmond Hill"," 100B","Richmond Hill",39,21,4,107,0,171,343
"Richmond Hill/Richmond Hill"," 100C","Richmond Hill",80,31,5,135,0,251,461
"Richmond Hill/Richmond Hill"," 100D","Richmond Hill",74,16,16,145,0,251,450
"Richmond Hill/Richmond Hill"," 101","Richmond Hill",38,18,5,93,0,154,284
"Richmond Hill/Richmond Hill"," 102","Richmond Hill",98,33,11,149,1,292,581
"Richmond Hill/Richmond Hill"," 103A","Richmond Hill",50,21,3,107,1,182,371
"Richmond Hill/Richmond Hill"," 103B","Richmond Hill",71,17,4,179,0,271,548
"Richmond Hill/Richmond Hill"," 104","Richmond Hill",79,39,12,148,0,278,554
"Richmond Hill/Richmond Hill"," 105","Richmond Hill",86,25,14,149,0,274,588
"Richmond Hill/Richmond Hill"," 106","Richmond Hill",59,20,6,126,1,212,410
"Richmond Hill/Richmond Hill"," 107","Richmond Hill",96,17,6,218,2,339,612
"Richmond Hill/Richmond Hill"," 108","Richmond Hill",94,28,4,176,1,303,589
"Richmond Hill/Richmond Hill"," 109","Richmond Hill",70,25,12,171,0,278,538
"Richmond Hill/Richmond Hill"," 110A","Richmond Hill",60,16,11,117,2,206,395
"Richmond Hill/Richmond Hill"," 110B","Richmond Hill",76,26,7,130,2,241,466
"Richmond Hill/Richmond Hill"," 111","Richmond Hill",60,19,6,114,0,199,375
"Richmond Hill/Richmond Hill"," 112","Richmond Hill",79,16,6,134,0,235,510
"Richmond Hill/Richmond Hill"," 113","Richmond Hill",63,10,6,157,0,236,494
"Richmond Hill/Richmond Hill"," 114","Richmond Hill",61,15,6,183,0,265,568
"Richmond Hill/Richmond Hill"," 115","Richmond Hill",46,13,3,94,0,156,373
"Richmond Hill/Richmond Hill"," 116","Richmond Hill",62,7,4,100,1,174,425
"Richmond Hill/Richmond Hill"," 117","Richmond Hill",67,9,1,135,0,212,486
"Richmond Hill/Richmond Hill"," 118","Richmond Hill",99,10,2,208,0,319,673
"Richmond Hill/Richmond Hill"," 119","Richmond Hill",76,14,4,174,1,269,576
"Richmond Hill/Richmond Hill"," 120","Richmond Hill",80,5,6,151,2,244,453
"Richmond Hill/Richmond Hill"," 121","Richmond Hill",64,10,3,130,1,208,386
"Richmond Hill/Richmond Hill"," 122","Richmond Hill",78,11,1,122,1,213,457
"Richmond Hill/Richmond Hill"," 123","Richmond Hill",75,9,5,180,1,270,543
"Richmond Hill/Richmond Hill"," 124","Richmond Hill",65,12,6,135,0,218,448
"Richmond Hill/Richmond Hill"," 125","Richmond Hill",68,12,2,121,2,205,579
"Richmond Hill/Richmond Hill"," 126A","Richmond Hill",36,6,3,100,0,145,345
"Richmond Hill/Richmond Hill"," 126B","Richmond Hill",49,6,2,119,1,177,385
"Richmond Hill/Richmond Hill"," 127","Richmond Hill",85,16,20,155,1,277,521
"Richmond Hill/Richmond Hill"," 128","Richmond Hill",141,10,14,116,0,281,552
"Richmond Hill/Richmond Hill"," 129","Richmond Hill",110,30,22,184,0,346,593
"Richmond Hill/Richmond Hill"," 130","Richmond Hill",74,25,11,172,2,284,509
"Richmond Hill/Richmond Hill"," 131","Richmond Hill",69,18,12,128,2,229,407
"Richmond Hill/Richmond Hill"," 132","Richmond Hill",88,32,18,139,0,277,475
"Richmond Hill/Richmond Hill"," 133","Richmond Hill",63,11,9,131,0,214,405
"Richmond Hill/Richmond Hill"," 134","Richmond Hill",72,27,17,155,1,272,451
"Richmond Hill/Richmond Hill"," 135","Richmond Hill",96,15,13,215,2,341,502
"Richmond Hill/Richmond Hill"," 136","Richmond Hill",91,24,21,187,2,325,505
"Richmond Hill/Richmond Hill"," 137A","Richmond Hill",104,37,15,141,1,298,563
"Richmond Hill/Richmond Hill"," 137B","Richmond Hill",98,34,11,133,0,276,529
"Richmond Hill/Richmond Hill"," 137-1A","Richmond Hill",100,35,10,137,1,283,572
"Richmond Hill/Richmond Hill"," 137-1B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,153
"Richmond Hill/Richmond Hill"," 138","Richmond Hill",116,55,10,157,2,340,539
"Richmond Hill/Richmond Hill"," 139A","Richmond Hill",37,5,12,109,2,165,316
"Richmond Hill/Richmond Hill"," 139B","Richmond Hill",57,12,11,97,0,177,340
"Richmond Hill/Richmond Hill"," 140","Richmond Hill",49,19,6,135,0,209,454
"Richmond Hill/Richmond Hill"," 141","Richmond Hill",30,6,4,62,0,102,230
"Richmond Hill/Richmond Hill"," 142","Richmond Hill",36,10,2,100,1,149,416
"Richmond Hill/Richmond Hill"," 143","Richmond Hill",71,6,1,113,0,191,437
