Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mel H. Buffalo,Ian Hopfe,Brian Jean,Roland Lefort,John Malcolm,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 1","Garden Creek",Merged with No. 4/Fusionné avec le nº 4,,,,,,,20
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 2","Chipewyan Lakes ",Merged with No. 4/Fusionné avec le nº 4,,,,,,,7
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 3","Peerless Lake ",Void/Supprimé,,,,,,,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 4","Peerless Lake ",53,1,15,2,0,0,71,221
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 5","Red Earth Creek ",47,5,126,7,2,1,188,338
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 6","Red Earth Creek ",Merged with No. 5/Fusionné avec le nº 5,,,,,,,103
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 7","Trout Lake",35,4,13,6,1,3,62,174
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 8","Atikameg",84,3,33,4,0,0,124,430
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9A","Wabasca",129,12,67,8,2,1,219,486
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9B","Wabasca",153,23,74,26,3,0,279,654
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 10","Wabasca",129,11,38,6,1,1,186,445
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 11","Sandy Lake ",21,5,19,4,2,0,51,280
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 12","Calling Lake ",92,9,65,16,2,0,184,387
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 13","Fitzgerald",126,11,67,38,8,3,253,250
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 14","Fort Chipewyan",Merged with No. 13/Fusionné avec le nº 13,,,,,,,205
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 15","Fort Chipewyan",Merged with No. 13/Fusionné avec le nº 13,,,,,,,154
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 16","Fort McKay",15,1,15,8,10,0,49,184
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 17","Saprae Creek--Wood Buffalo",24,7,219,35,3,0,288,529
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 18","Anzac ",34,15,170,44,27,0,290,557
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 19","Janvier--Chard",33,2,22,3,7,0,67,215
