Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Chiasson,Michel Gauthier,Sébastien Girard,Ghislain Lavoie,François Privé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 1","Saint-Thomas-Didyme",12,100,8,63,2,0,185,265
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 2","Saint-Thomas-Didyme",13,104,4,76,6,2,205,336
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 3","Saint-Edmond",16,84,2,113,8,3,226,370
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 4","Girardville",21,57,9,67,13,0,167,256
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 5","Girardville",8,35,4,58,3,1,109,178
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 6","Girardville",8,52,5,63,6,2,136,230
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 7","Girardville",14,53,4,91,7,1,170,267
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 8","Albanel",6,64,1,27,2,1,101,244
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 9","Albanel",6,103,4,88,14,1,216,419
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 10","Albanel",6,79,10,77,11,2,185,331
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 11","Albanel",11,87,5,62,11,1,177,259
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 12","Albanel",15,72,5,74,7,4,177,274
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 13","Albanel",10,60,5,69,5,1,150,226
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 14","Normandin",26,92,8,109,8,5,248,400
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 15","Normandin",23,89,9,91,6,1,219,359
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 16","Normandin",17,76,11,84,9,0,197,375
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 17","Normandin",16,68,12,96,15,2,209,350
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 18","Normandin",20,98,15,127,13,4,277,458
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 19","Normandin",23,100,15,93,10,3,244,378
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 20","Normandin",19,54,7,67,10,3,160,274
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 21","Saint-Félicien",7,96,11,44,7,0,165,252
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 22","Saint-Félicien",13,108,12,114,17,1,265,443
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 23","Saint-Méthode",22,112,10,88,16,3,251,391
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 24","Sainte-Élisabeth-de-Proulx",2,47,4,16,2,0,71,121
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 25","Sainte-Jeanne-d'Arc",17,102,5,64,9,1,198,380
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 26","Sainte-Jeanne-d'Arc",33,113,13,140,9,7,315,492
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 27","Péribonka",20,143,4,87,9,1,264,399
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 28","Saint-Augustin",16,70,2,70,8,0,166,305
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 29","Saint-Ludger-de-Milot",19,134,4,65,9,3,234,389
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 30","Saint-Ludger-de-Milot",2,68,1,41,0,0,112,199
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 31","Sainte-Monique",10,61,8,94,2,3,178,301
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 32","Sainte-Monique",15,116,10,100,6,2,249,398
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 33","Saint-Henri-de-Taillon",12,118,6,94,31,3,264,386
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 34","Saint-Henri-de-Taillon",9,71,5,44,9,3,141,233
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 35","L'Ascension",11,77,4,45,2,0,139,306
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 36","L'Ascension",4,62,6,55,1,2,130,228
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 37","L'Ascension",Void/Supprimé,,,,,,,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 38","L'Ascension",19,115,9,118,13,3,277,572
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 39","L'Ascension",5,70,8,65,10,2,160,332
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 40","Lamarche",14,120,11,121,17,0,283,408
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 41","Labrecque",7,168,11,108,29,3,326,577
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 42","Labrecque",4,93,11,83,17,1,209,382
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 43","Saint-Nazaire",16,102,10,106,7,4,245,426
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 44","Saint-Nazaire",5,75,7,61,10,5,163,299
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 45","Saint-Nazaire",14,109,7,97,18,3,248,377
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 46","Saint-Nazaire",11,90,10,84,23,1,219,353
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 47","Notre-Dame-de-Lorette",9,43,5,21,2,2,82,166
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 48","Saint-Stanislas",10,86,5,68,0,2,171,259
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 49","Saint-Eugène",27,127,0,73,9,4,240,452
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 50","Dolbeau-Mistassini",15,156,3,109,12,1,296,534
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 51","Dolbeau-Mistassini",21,139,17,79,12,0,268,515
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 52","Dolbeau-Mistassini",10,88,4,66,13,2,183,353
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 53","Dolbeau-Mistassini",12,56,3,48,8,2,129,284
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 54","Dolbeau-Mistassini",33,107,7,81,10,1,239,451
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 55","Dolbeau-Mistassini",15,86,8,89,14,1,213,388
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 56","Dolbeau-Mistassini",16,132,9,150,23,2,332,606
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 57","Dolbeau-Mistassini",17,96,7,116,15,1,252,401
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 58","Dolbeau-Mistassini",15,84,6,57,12,3,177,343
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 59","Dolbeau-Mistassini",21,72,2,55,5,5,160,371
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 60","Dolbeau-Mistassini",12,82,4,48,5,1,152,411
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 61","Dolbeau-Mistassini",16,69,4,65,10,0,164,336
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 62","Dolbeau-Mistassini",13,116,2,102,15,4,252,508
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 63","Dolbeau-Mistassini",20,95,12,94,9,2,232,444
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 64","Dolbeau-Mistassini",25,103,13,106,21,3,271,448
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 65","Dolbeau-Mistassini",6,75,8,64,4,0,157,337
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 66","Dolbeau-Mistassini",11,101,4,51,4,1,172,352
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 67","Dolbeau-Mistassini",23,90,4,95,10,2,224,462
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 68","Dolbeau-Mistassini",10,68,5,73,3,3,162,355
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 69","Dolbeau-Mistassini",7,74,4,60,7,0,152,335
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 70","Dolbeau-Mistassini",19,98,5,76,9,1,208,354
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 71","Dolbeau-Mistassini",11,96,10,89,7,1,214,445
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 72","Dolbeau-Mistassini",7,120,6,111,8,2,254,514
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 73","Dolbeau-Mistassini",15,99,7,73,7,2,203,432
