Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gerry Byrne,Martin Hanzalek,Cyril Jr. Pelley,Holly Pike,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 1","Straitsview",125,1,26,20,0,172,278
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 2","Raleigh",87,1,25,9,0,122,229
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 2-1","Ship Cove",32,1,14,1,1,49,87
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 3","Griquet",103,3,37,19,0,162,330
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 4","St. Lunaire",76,0,43,14,4,137,269
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 5A","Cook's Harbour",66,0,23,9,2,100,195
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 5B","Cook's Harbour",20,0,1,1,0,22,31
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 6","St. Anthony",120,1,51,30,0,202,503
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 7","Great Brehat",46,0,5,6,0,57,83
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 7-1","St. Anthony Bight",59,0,15,8,0,82,155
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 8","St. Anthony",89,0,22,14,0,125,310
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 9","St. Anthony",60,3,33,15,3,114,290
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 10A","St. Anthony",157,3,61,50,3,274,614
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 10B","Mobile poll/Bureau itinérant",Merged with No. 10C/Fusionné avec le nº 10C,,,,,,35
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 10C","Mobile poll/Bureau itinérant",62,1,3,0,4,70,50
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 10D","Mobile poll/Bureau itinérant",18,1,2,0,0,21,29
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 11","St. Anthony",45,0,12,4,0,61,167
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 12","Goose Cove East",87,1,14,1,0,103,172
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 13","Green Island Brook",70,0,16,18,0,104,230
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 14","Green Island Cove",68,0,21,22,1,112,184
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 15","Sandy Cove",48,1,46,27,0,122,191
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 16","Savage Cove",60,1,28,15,0,104,143
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 17","Flower's Cove",111,3,52,32,1,199,342
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 18A","Deadmans Cove-Bear Cove",110,2,26,24,0,162,276
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 18B","Deadmans Cove-Bear Cove",40,0,9,10,0,59,84
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 19","Black Duck Cove",106,1,9,6,0,122,269
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 20","Black Duck Cove",105,2,57,26,0,190,199
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 21","Plum Point",114,4,73,22,0,213,358
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 22","Bird Cove",50,1,43,10,2,106,197
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 23","Shoal Cove West",117,2,40,24,0,183,262
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 24A","Castor River",144,3,39,21,0,207,356
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 24B","Castor River",18,0,5,5,0,28,52
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 25","Main Brook",108,0,36,9,1,154,263
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 26A","St. Julien's",28,1,5,2,0,36,68
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 26B","St. Julien's",20,0,1,2,0,23,38
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 27","Roddickton",113,3,78,14,0,208,444
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 28","Roddickton",71,1,35,3,0,110,271
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 29","Bide Arm",57,0,9,9,2,77,131
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 30","Conche",58,2,15,3,2,80,209
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 31","Englee",176,0,48,7,3,234,470
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 32","Englee",31,1,14,1,0,47,66
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 33","Port Saunders",114,1,70,20,5,210,429
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 34","Port au Choix",50,0,36,9,1,96,202
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 35","Port au Choix",99,3,48,25,1,176,354
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 36","Port au Choix",57,2,49,12,1,121,209
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 37","Port Saunders",90,1,34,20,0,145,174
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 38","Hawke's Bay",126,3,59,15,0,203,335
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 39","River of Ponds",73,1,34,22,0,130,216
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 40A","Bellburns",27,0,13,7,0,47,72
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 40B","Bellburns",93,1,28,31,1,154,272
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 41A","Portland Creek",32,0,15,7,0,54,66
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 41B","Portland Creek",167,1,45,17,2,232,407
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 42","Jackson's Arm",103,1,43,20,1,168,321
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 43","Cow Head",47,0,12,9,0,68,123
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 44","Cow Head",130,0,46,20,0,196,312
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 45","St. Paul's",77,4,42,18,3,144,240
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 46A","Rocky Harbour",94,1,40,14,1,150,274
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 46B","Rocky Harbour",12,0,6,4,0,22,31
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 47","Hampden",50,2,19,9,0,80,164
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 48","Sop's Arm",64,1,36,6,0,107,185
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 49","Pollards Point",87,3,26,20,1,137,272
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 50","Hampden",79,1,23,14,0,117,327
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 51","Trout River",114,2,31,9,0,156,238
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 52","Rocky Harbour",155,5,71,39,3,273,514
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 53","Woody Point",114,1,52,22,0,189,281
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 54","Norris Point",94,5,18,18,0,135,272
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 55","Norris Point",104,1,25,23,1,154,322
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 56","Trout River",103,1,12,10,1,127,260
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 57","Shoal Brook",58,2,51,10,0,121,213
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 58","Wiltondale",15,0,26,12,0,53,72
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 59","Nicholsville",120,4,84,29,0,237,452
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 60","Cormack",52,0,73,18,2,145,328
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 61","Cormack",19,0,45,10,1,75,168
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 62","Howley",72,2,35,10,0,119,215
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 63","Reidville",98,2,69,27,0,196,362
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 64","Deer Lake",112,4,107,18,0,241,469
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 65","Deer Lake",95,3,57,32,1,188,430
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 66","Deer Lake",118,0,56,31,0,205,445
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 67","Deer Lake",99,1,124,28,0,252,548
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 68","Deer Lake",103,1,73,12,0,189,361
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 69","Deer Lake",108,4,58,19,2,191,401
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 70","Deer Lake",87,0,27,10,3,127,249
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 71","Deer Lake",100,1,51,24,1,177,388
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 72","St. Judes",53,3,23,8,0,87,176
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 73","Wild Cove",19,0,18,5,0,42,68
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 74","Fleur de Lys",96,3,44,26,0,169,226
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 75","Pacquet",43,1,65,10,0,119,171
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 76","Coachman's Cove",33,0,18,4,1,56,97
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 77","Ming's Bight",74,4,55,15,2,150,270
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 78","Woodstock",48,1,49,13,0,111,194
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 79","Seal Cove",71,2,22,18,0,113,327
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 80","Baie Verte",56,1,50,44,0,151,295
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 81","Baie Verte",55,1,77,44,2,179,291
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 82","Baie Verte",69,3,86,36,4,198,479
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 83","Burlington",54,2,76,5,0,137,296
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 84","Smith's Harbour",34,0,20,10,0,64,95
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 85","Westport",45,1,60,8,0,114,217
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 86","Middle Arm",29,2,87,11,0,129,347
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 87","Nippers Harbour",45,0,23,3,0,71,141
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 88","Harbour Round",45,1,14,25,2,87,193
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 89","Brent's Cove",Merged with No. 89-1/Fusionné avec le nº 89-1,,,,,,23
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 89-1","Brent's Cove",39,0,18,22,1,80,146
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 90","La Scie",141,0,40,12,0,193,403
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 91","La Scie",63,0,15,8,0,86,218
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 92","La Scie",50,0,25,7,0,82,186
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 93","Shoe Cove",43,1,28,2,0,74,161
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 94","King's Point",15,0,41,6,0,62,125
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 95","Jackson's Cove--Harry's Harbour",39,1,57,12,3,112,196
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 96","Little Bay",47,1,85,9,4,146,319
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 97","King's Point",97,6,155,24,0,282,517
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 98","Springdale",45,2,102,24,0,173,319
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 99","Springdale",68,2,88,19,1,178,428
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 100","Springdale",71,1,118,27,1,218,445
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 101","Springdale",41,4,139,25,1,210,387
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 102","Springdale",50,3,85,22,1,161,289
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 103","Springdale",71,3,167,33,2,276,616
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 104","Sheppardville",22,0,35,0,0,57,81
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 105","South Brook",63,5,140,30,1,239,434
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 106","Little Bay Islands",35,1,39,11,0,86,139
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 107","Beaumont",66,0,46,16,0,128,218
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 108","Port Anson",26,1,85,8,1,121,240
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 109","Robert's Arm",23,1,51,11,0,86,196
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 110","Pilley's Island",58,2,70,24,2,156,293
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 111","Brighton",30,1,77,9,0,117,176
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 112","Triton",41,1,77,6,1,126,328
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 113","Triton",76,2,172,21,3,274,534
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 114","Robert's Arm",59,3,148,23,0,233,488
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 115","Cox's Cove",105,2,37,15,0,159,345
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 116","Humber Village--Little Rapids",75,1,42,45,2,165,252
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 117","Cox's Cove",61,1,37,11,0,110,211
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 118","McIver's",100,3,113,45,0,261,515
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 119","Gillams",86,3,73,24,0,186,316
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 120A","Meadows",200,2,54,42,3,301,500
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 120B","Mobile poll/Bureau itinérant",14,0,12,2,4,32,32
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 121","Summerside",70,2,33,14,2,121,182
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 122","Summerside",91,2,28,26,0,147,216
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 123","Irishtown",116,1,36,16,0,169,286
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 124","Corner Brook",82,1,48,34,0,165,302
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 125","Corner Brook",92,3,76,53,0,224,333
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 126","Corner Brook",138,3,84,72,0,297,513
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 127","Corner Brook",121,6,47,48,0,222,430
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 128","Corner Brook",79,1,63,35,1,179,358
