Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Carey,Parmjeet Gill,Garreth McDonald,Darrell Rankin,Eric Truijen,Judy Wasylycia-Leis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Winnipeg North/Winnipeg-Nord"," 1A","Winnipeg",8,77,61,0,1,107,0,254,489
"Winnipeg North/Winnipeg-Nord"," 1B","Winnipeg",1,23,14,0,1,45,1,85,167
"Winnipeg North/Winnipeg-Nord"," 2","Winnipeg",3,40,41,0,1,96,2,183,356
"Winnipeg North/Winnipeg-Nord"," 3","Winnipeg",6,50,29,1,0,142,1,229,405
"Winnipeg North/Winnipeg-Nord"," 4","Winnipeg",8,65,48,0,2,137,0,260,452
"Winnipeg North/Winnipeg-Nord"," 5","Winnipeg",8,55,38,3,1,118,0,223,385
"Winnipeg North/Winnipeg-Nord"," 6","Winnipeg",4,51,60,0,2,133,0,250,399
"Winnipeg North/Winnipeg-Nord"," 7","Winnipeg",7,43,25,0,0,133,0,208,471
"Winnipeg North/Winnipeg-Nord"," 8","Winnipeg",6,56,28,0,0,113,1,204,457
"Winnipeg North/Winnipeg-Nord"," 9","Winnipeg",4,30,27,1,2,79,0,143,407
"Winnipeg North/Winnipeg-Nord"," 10","Winnipeg",7,42,42,1,1,147,3,243,474
"Winnipeg North/Winnipeg-Nord"," 11","Winnipeg",12,40,48,0,0,144,3,247,481
"Winnipeg North/Winnipeg-Nord"," 12","Winnipeg",5,56,29,0,1,145,4,240,468
"Winnipeg North/Winnipeg-Nord"," 13","Winnipeg",1,61,52,1,0,109,0,224,457
"Winnipeg North/Winnipeg-Nord"," 14","Winnipeg",1,72,47,0,1,150,1,272,474
"Winnipeg North/Winnipeg-Nord"," 15","Winnipeg",8,43,22,0,0,101,1,175,427
"Winnipeg North/Winnipeg-Nord"," 16","Winnipeg",3,65,57,0,1,133,1,260,516
"Winnipeg North/Winnipeg-Nord"," 17","Winnipeg",3,46,44,1,1,106,0,201,403
"Winnipeg North/Winnipeg-Nord"," 18","Winnipeg",4,49,29,0,0,127,1,210,450
"Winnipeg North/Winnipeg-Nord"," 19","Winnipeg",4,41,28,0,1,150,1,225,425
"Winnipeg North/Winnipeg-Nord"," 20","Winnipeg",1,46,27,1,2,117,1,195,386
"Winnipeg North/Winnipeg-Nord"," 21","Winnipeg",3,31,31,1,1,128,0,195,398
"Winnipeg North/Winnipeg-Nord"," 22","Winnipeg",4,53,45,0,1,126,0,229,461
"Winnipeg North/Winnipeg-Nord"," 23","Winnipeg",3,27,23,0,0,71,1,125,321
"Winnipeg North/Winnipeg-Nord"," 24","Winnipeg",5,58,26,0,0,145,1,235,460
"Winnipeg North/Winnipeg-Nord"," 25","Winnipeg",5,45,34,0,0,114,0,198,409
"Winnipeg North/Winnipeg-Nord"," 26","Winnipeg",2,21,25,1,1,59,0,109,254
"Winnipeg North/Winnipeg-Nord"," 27","Winnipeg",3,33,40,0,5,74,0,155,444
"Winnipeg North/Winnipeg-Nord"," 28","Winnipeg",10,24,24,3,0,111,0,172,354
"Winnipeg North/Winnipeg-Nord"," 29A","Winnipeg",7,21,31,1,1,114,1,176,357
"Winnipeg North/Winnipeg-Nord"," 29B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,42
"Winnipeg North/Winnipeg-Nord"," 30","Winnipeg",0,40,5,0,0,54,0,99,387
"Winnipeg North/Winnipeg-Nord"," 31","Winnipeg",3,32,26,1,0,117,2,181,383
"Winnipeg North/Winnipeg-Nord"," 32","Winnipeg",2,27,23,0,1,128,3,184,361
"Winnipeg North/Winnipeg-Nord"," 33","Winnipeg",4,16,22,0,0,96,0,138,319
"Winnipeg North/Winnipeg-Nord"," 34","Winnipeg",5,27,38,1,1,109,1,182,376
"Winnipeg North/Winnipeg-Nord"," 35","Winnipeg",6,31,27,0,3,113,1,181,359
"Winnipeg North/Winnipeg-Nord"," 36A","Winnipeg",1,15,22,0,0,50,1,89,206
"Winnipeg North/Winnipeg-Nord"," 36B","Mobile poll/Bureau itinérant",Merged with No. 36E/Fusionné avec le nº 36E,,,,,,,,11
"Winnipeg North/Winnipeg-Nord"," 36C","Mobile poll/Bureau itinérant",Merged with No. 36E/Fusionné avec le nº 36E,,,,,,,,18
"Winnipeg North/Winnipeg-Nord"," 36D","Mobile poll/Bureau itinérant",Merged with No. 36E/Fusionné avec le nº 36E,,,,,,,,13
"Winnipeg North/Winnipeg-Nord"," 36E","Mobile poll/Bureau itinérant",0,15,8,0,1,41,1,66,132
