Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Fleming,Paul Francis,Richard MacDonald,Peter Stoffer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 1","Beaverbank",Merged with No. 2/Fusionné avec le nº 2,,,,,,8
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 2","Beaverbank",54,45,5,132,0,236,432
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 3","Beaverbank",42,39,3,149,1,234,369
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 4A","Kinsac",17,30,2,96,0,145,265
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 4B","Kinsac",35,26,2,94,0,157,251
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 5","Middle Beaverbank",35,40,5,107,2,189,343
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 6A","Halifax",33,35,4,94,0,166,270
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 6B","Halifax",24,37,6,79,0,146,245
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 7","Halifax",46,27,4,121,0,198,395
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 8","Halifax",32,47,6,82,0,167,284
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 9A","Halifax",49,64,0,83,0,196,328
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 9B","Halifax",59,48,2,94,1,204,322
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 10","Halifax",15,19,4,113,0,151,374
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 11","Halifax",17,15,2,121,1,156,368
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 12","Halifax",22,20,4,118,0,164,390
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 13","Halifax",70,56,1,113,0,240,406
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 14","Upper Sackville",41,44,4,98,1,188,340
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 15A","Middle Sackville",23,35,2,79,1,140,254
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 15B","Middle Sackville",45,35,3,99,0,182,289
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 16A","Middle Sackville",53,63,5,73,0,194,323
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 16B","Middle Sackville",57,46,4,85,1,193,330
