Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mathieu Allard,Ken Cooper,Jane MacDiarmid,Marc Payette,Raymond Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint Boniface/Saint-Boniface"," 1","Winnipeg",54,32,3,27,145,0,261,422
"Saint Boniface/Saint-Boniface"," 2","Winnipeg",53,38,1,6,47,0,145,277
"Saint Boniface/Saint-Boniface"," 3","Winnipeg",90,33,4,11,104,0,242,394
"Saint Boniface/Saint-Boniface"," 4","Winnipeg",52,47,2,5,79,0,185,340
"Saint Boniface/Saint-Boniface"," 5","Winnipeg",27,17,0,13,92,1,150,261
"Saint Boniface/Saint-Boniface"," 6","Winnipeg",95,47,2,7,115,3,269,425
"Saint Boniface/Saint-Boniface"," 7A","Winnipeg",13,14,4,1,51,1,84,274
"Saint Boniface/Saint-Boniface"," 7B","Mobile poll/Bureau itinérant",Merged with No. 9B/Fusionné avec le nº 9B,,,,,,,66
"Saint Boniface/Saint-Boniface"," 8","Winnipeg",33,28,2,6,48,0,117,213
"Saint Boniface/Saint-Boniface"," 9A","Winnipeg",32,13,2,2,68,2,119,220
"Saint Boniface/Saint-Boniface"," 9B","Mobile poll/Bureau itinérant",4,4,5,2,138,0,153,119
"Saint Boniface/Saint-Boniface"," 10","Winnipeg",36,42,3,8,76,2,167,341
"Saint Boniface/Saint-Boniface"," 11","Winnipeg",55,47,2,17,121,3,245,423
"Saint Boniface/Saint-Boniface"," 12","Winnipeg",80,41,3,11,113,0,248,404
"Saint Boniface/Saint-Boniface"," 13","Winnipeg",34,30,4,7,77,1,153,293
"Saint Boniface/Saint-Boniface"," 14","Winnipeg",52,32,0,8,73,0,165,376
"Saint Boniface/Saint-Boniface"," 15","Winnipeg",25,45,1,5,108,0,184,413
"Saint Boniface/Saint-Boniface"," 16","Winnipeg",58,41,4,1,183,2,289,421
"Saint Boniface/Saint-Boniface"," 17","Winnipeg",30,17,0,11,39,0,97,182
"Saint Boniface/Saint-Boniface"," 18A","Winnipeg",36,38,1,5,90,0,170,290
"Saint Boniface/Saint-Boniface"," 18B","Mobile poll/Bureau itinérant",32,29,1,3,94,1,160,126
"Saint Boniface/Saint-Boniface"," 19","Winnipeg",44,39,2,5,42,2,134,317
"Saint Boniface/Saint-Boniface"," 20","Winnipeg",29,53,0,3,39,0,124,327
"Saint Boniface/Saint-Boniface"," 21","Winnipeg",46,64,0,9,90,1,210,360
"Saint Boniface/Saint-Boniface"," 22","Winnipeg",49,113,1,17,67,1,248,467
"Saint Boniface/Saint-Boniface"," 23","Winnipeg",36,53,1,8,62,1,161,360
"Saint Boniface/Saint-Boniface"," 24A","Winnipeg",48,86,2,13,79,2,230,478
"Saint Boniface/Saint-Boniface"," 24B","Winnipeg",Merged with No. 18B/Fusionné avec le nº 18B,,,,,,,81
"Saint Boniface/Saint-Boniface"," 25","Winnipeg",24,40,0,7,50,0,121,302
"Saint Boniface/Saint-Boniface"," 26","Winnipeg",27,42,2,9,40,0,120,276
"Saint Boniface/Saint-Boniface"," 27","Winnipeg",32,63,2,1,76,1,175,304
"Saint Boniface/Saint-Boniface"," 28","Winnipeg",44,66,0,5,56,0,171,330
"Saint Boniface/Saint-Boniface"," 29","Winnipeg",54,58,0,5,50,0,167,304
"Saint Boniface/Saint-Boniface"," 30","Winnipeg",36,54,1,2,53,0,146,268
"Saint Boniface/Saint-Boniface"," 31","Winnipeg",38,70,2,5,85,0,200,377
"Saint Boniface/Saint-Boniface"," 32","Winnipeg",47,91,0,7,85,0,230,387
"Saint Boniface/Saint-Boniface"," 33","Winnipeg",35,49,0,3,51,2,140,258
"Saint Boniface/Saint-Boniface"," 34","Winnipeg",37,57,0,8,52,0,154,342
"Saint Boniface/Saint-Boniface"," 35","Winnipeg",43,88,0,2,75,0,208,414
"Saint Boniface/Saint-Boniface"," 36","Winnipeg",52,64,0,10,90,0,216,371
"Saint Boniface/Saint-Boniface"," 37","Winnipeg",58,78,0,13,77,0,226,364
"Saint Boniface/Saint-Boniface"," 38","Winnipeg",33,78,1,7,97,0,216,286
"Saint Boniface/Saint-Boniface"," 39","Winnipeg",32,65,0,9,58,0,164,271
"Saint Boniface/Saint-Boniface"," 40","Winnipeg",51,62,5,9,78,0,205,318
"Saint Boniface/Saint-Boniface"," 41","Winnipeg",47,65,2,6,80,0,200,344
"Saint Boniface/Saint-Boniface"," 42","Winnipeg",31,81,0,11,81,0,204,354
"Saint Boniface/Saint-Boniface"," 43","Winnipeg",45,94,2,8,76,2,227,366
"Saint Boniface/Saint-Boniface"," 44","Winnipeg",33,88,0,10,96,0,227,349
"Saint Boniface/Saint-Boniface"," 45","Winnipeg",30,77,3,5,58,1,174,278
"Saint Boniface/Saint-Boniface"," 46","Winnipeg",60,54,3,6,79,0,202,287
"Saint Boniface/Saint-Boniface"," 47","Winnipeg",39,79,0,13,92,0,223,338
"Saint Boniface/Saint-Boniface"," 48","Winnipeg",43,35,3,6,47,1,135,282
"Saint Boniface/Saint-Boniface"," 49","Winnipeg",42,39,3,10,54,0,148,307
"Saint Boniface/Saint-Boniface"," 50","Winnipeg",48,45,6,9,80,0,188,346
"Saint Boniface/Saint-Boniface"," 51","Winnipeg",63,33,1,5,57,1,160,322
"Saint Boniface/Saint-Boniface"," 52","Winnipeg",64,42,2,9,75,0,192,394
"Saint Boniface/Saint-Boniface"," 53","Winnipeg",34,32,0,9,32,1,108,186
"Saint Boniface/Saint-Boniface"," 54","Winnipeg",100,74,0,13,90,0,277,463
"Saint Boniface/Saint-Boniface"," 55","Winnipeg",38,45,2,11,76,0,172,312
"Saint Boniface/Saint-Boniface"," 56","Winnipeg",48,53,1,4,80,0,186,324
"Saint Boniface/Saint-Boniface"," 57","Winnipeg",68,51,1,22,77,4,223,350
"Saint Boniface/Saint-Boniface"," 58","Winnipeg",55,48,3,10,131,1,248,361
"Saint Boniface/Saint-Boniface"," 59","Winnipeg",67,55,0,14,104,0,240,365
"Saint Boniface/Saint-Boniface"," 60","Winnipeg",84,90,0,19,101,0,294,389
"Saint Boniface/Saint-Boniface"," 61","Winnipeg",78,60,0,19,89,0,246,330
"Saint Boniface/Saint-Boniface"," 62","Winnipeg",78,62,0,27,89,3,259,380
