Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Dalton,Scott Henry Janzen,Peter Julian,Mary Pynenburg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Burnaby--New Westminster/Burnaby--New Westminster"," 1","Burnaby",52,9,60,54,1,176,389
"Burnaby--New Westminster/Burnaby--New Westminster"," 2","Burnaby",43,7,50,51,1,152,356
"Burnaby--New Westminster/Burnaby--New Westminster"," 3","Burnaby",50,4,48,61,0,163,396
"Burnaby--New Westminster/Burnaby--New Westminster"," 4","Burnaby",30,3,43,27,1,104,291
"Burnaby--New Westminster/Burnaby--New Westminster"," 5","Burnaby",75,7,60,93,0,235,508
"Burnaby--New Westminster/Burnaby--New Westminster"," 6","Burnaby",62,3,96,85,2,248,530
"Burnaby--New Westminster/Burnaby--New Westminster"," 7","Burnaby",49,3,68,80,0,200,394
"Burnaby--New Westminster/Burnaby--New Westminster"," 8","Burnaby",42,8,58,39,0,147,302
"Burnaby--New Westminster/Burnaby--New Westminster"," 9","Burnaby",39,4,41,38,1,123,245
"Burnaby--New Westminster/Burnaby--New Westminster"," 10","Burnaby",44,7,34,46,0,131,245
"Burnaby--New Westminster/Burnaby--New Westminster"," 11","Burnaby",52,4,79,64,2,201,430
"Burnaby--New Westminster/Burnaby--New Westminster"," 12","Burnaby",35,5,52,38,1,131,259
"Burnaby--New Westminster/Burnaby--New Westminster"," 13","Burnaby",28,9,76,49,0,162,330
"Burnaby--New Westminster/Burnaby--New Westminster"," 14","Burnaby",30,7,52,40,1,130,297
"Burnaby--New Westminster/Burnaby--New Westminster"," 15","Burnaby",29,7,43,45,1,125,263
"Burnaby--New Westminster/Burnaby--New Westminster"," 16","Burnaby",13,2,35,31,1,82,229
"Burnaby--New Westminster/Burnaby--New Westminster"," 17","Burnaby",20,1,59,29,0,109,274
"Burnaby--New Westminster/Burnaby--New Westminster"," 18","Burnaby",27,6,41,31,0,105,282
"Burnaby--New Westminster/Burnaby--New Westminster"," 19","Burnaby",40,2,61,35,2,140,318
"Burnaby--New Westminster/Burnaby--New Westminster"," 20","Burnaby",26,10,57,40,0,133,286
"Burnaby--New Westminster/Burnaby--New Westminster"," 21A","Burnaby",40,2,15,44,0,101,252
"Burnaby--New Westminster/Burnaby--New Westminster"," 21B","Burnaby",27,2,25,76,2,132,402
"Burnaby--New Westminster/Burnaby--New Westminster"," 22","Burnaby",62,3,50,98,1,214,504
"Burnaby--New Westminster/Burnaby--New Westminster"," 23","Burnaby",69,9,108,52,1,239,373
"Burnaby--New Westminster/Burnaby--New Westminster"," 24","Burnaby",84,14,118,83,1,300,455
"Burnaby--New Westminster/Burnaby--New Westminster"," 25","Burnaby",71,6,83,72,0,232,460
"Burnaby--New Westminster/Burnaby--New Westminster"," 26","Burnaby",71,10,71,73,0,225,433
"Burnaby--New Westminster/Burnaby--New Westminster"," 27","Burnaby",92,14,154,93,0,353,529
"Burnaby--New Westminster/Burnaby--New Westminster"," 28","Burnaby",79,7,92,61,1,240,399
"Burnaby--New Westminster/Burnaby--New Westminster"," 29","Burnaby",75,9,119,106,1,310,527
"Burnaby--New Westminster/Burnaby--New Westminster"," 30","Burnaby",74,13,87,79,1,254,430
"Burnaby--New Westminster/Burnaby--New Westminster"," 31","Burnaby",72,9,99,74,1,255,413
"Burnaby--New Westminster/Burnaby--New Westminster"," 32","Burnaby",91,13,84,63,1,252,418
"Burnaby--New Westminster/Burnaby--New Westminster"," 33","Burnaby",122,5,85,73,0,285,431
"Burnaby--New Westminster/Burnaby--New Westminster"," 34","Burnaby",80,12,67,68,0,227,366
"Burnaby--New Westminster/Burnaby--New Westminster"," 35","Burnaby",62,11,70,67,1,211,380
"Burnaby--New Westminster/Burnaby--New Westminster"," 36","Burnaby",37,10,66,79,1,193,376
"Burnaby--New Westminster/Burnaby--New Westminster"," 37","Burnaby",60,13,79,62,1,215,399
"Burnaby--New Westminster/Burnaby--New Westminster"," 38","Burnaby",76,15,121,87,1,300,491
"Burnaby--New Westminster/Burnaby--New Westminster"," 39","Burnaby",34,7,80,48,1,170,307
"Burnaby--New Westminster/Burnaby--New Westminster"," 40A","Burnaby",53,9,45,70,2,179,340
"Burnaby--New Westminster/Burnaby--New Westminster"," 40B","Burnaby",48,12,83,53,0,196,295
"Burnaby--New Westminster/Burnaby--New Westminster"," 41","Burnaby",57,2,27,77,0,163,333
"Burnaby--New Westminster/Burnaby--New Westminster"," 42","Burnaby",77,4,72,64,0,217,420
"Burnaby--New Westminster/Burnaby--New Westminster"," 43","Burnaby",40,4,48,60,0,152,312
"Burnaby--New Westminster/Burnaby--New Westminster"," 44","Burnaby",Void/Supprimé,,,,,,
"Burnaby--New Westminster/Burnaby--New Westminster"," 45","Burnaby",76,7,59,96,1,239,376
"Burnaby--New Westminster/Burnaby--New Westminster"," 46","Burnaby",78,1,59,81,0,219,495
"Burnaby--New Westminster/Burnaby--New Westminster"," 47","Burnaby",33,7,50,51,0,141,306
"Burnaby--New Westminster/Burnaby--New Westminster"," 48","Burnaby",41,8,64,40,1,154,326
"Burnaby--New Westminster/Burnaby--New Westminster"," 49","Burnaby",27,5,31,36,0,99,242
"Burnaby--New Westminster/Burnaby--New Westminster"," 50","Burnaby",31,1,59,39,0,130,297
"Burnaby--New Westminster/Burnaby--New Westminster"," 51","Burnaby",39,9,49,45,0,142,407
"Burnaby--New Westminster/Burnaby--New Westminster"," 52","Burnaby",52,3,97,48,0,200,418
"Burnaby--New Westminster/Burnaby--New Westminster"," 53","Burnaby",64,8,54,56,0,182,404
"Burnaby--New Westminster/Burnaby--New Westminster"," 54","Burnaby",73,7,65,78,0,223,382
"Burnaby--New Westminster/Burnaby--New Westminster"," 55","Burnaby",80,4,92,69,0,245,482
"Burnaby--New Westminster/Burnaby--New Westminster"," 56","Burnaby",91,9,42,79,0,221,377
"Burnaby--New Westminster/Burnaby--New Westminster"," 57","Burnaby",89,10,89,76,0,264,486
"Burnaby--New Westminster/Burnaby--New Westminster"," 58","Burnaby",72,8,57,81,0,218,423
"Burnaby--New Westminster/Burnaby--New Westminster"," 59","Burnaby",60,9,90,72,0,231,463
"Burnaby--New Westminster/Burnaby--New Westminster"," 60","Burnaby",72,8,43,98,0,221,384
"Burnaby--New Westminster/Burnaby--New Westminster"," 61","Burnaby",61,5,19,53,1,139,221
"Burnaby--New Westminster/Burnaby--New Westminster"," 62","Burnaby",73,1,81,67,0,222,426
"Burnaby--New Westminster/Burnaby--New Westminster"," 63","Burnaby",54,7,98,81,0,240,438
"Burnaby--New Westminster/Burnaby--New Westminster"," 64","Burnaby",64,3,42,45,1,155,325
"Burnaby--New Westminster/Burnaby--New Westminster"," 65","Burnaby",72,13,38,117,1,241,430
"Burnaby--New Westminster/Burnaby--New Westminster"," 66","Burnaby",91,5,55,56,0,207,370
"Burnaby--New Westminster/Burnaby--New Westminster"," 67","Burnaby",65,13,105,72,3,258,547
"Burnaby--New Westminster/Burnaby--New Westminster"," 68","Burnaby",56,3,82,80,0,221,448
"Burnaby--New Westminster/Burnaby--New Westminster"," 69","Burnaby",65,7,103,86,2,263,487
"Burnaby--New Westminster/Burnaby--New Westminster"," 70","Burnaby",71,7,60,83,0,221,543
"Burnaby--New Westminster/Burnaby--New Westminster"," 71","Burnaby",42,6,70,68,0,186,384
"Burnaby--New Westminster/Burnaby--New Westminster"," 72","Burnaby",62,16,141,116,0,335,549
"Burnaby--New Westminster/Burnaby--New Westminster"," 73","Burnaby",72,8,90,89,0,259,513
"Burnaby--New Westminster/Burnaby--New Westminster"," 74","Burnaby",71,11,114,80,0,276,507
"Burnaby--New Westminster/Burnaby--New Westminster"," 75","Burnaby",52,14,124,62,2,254,370
"Burnaby--New Westminster/Burnaby--New Westminster"," 76","Burnaby",63,12,70,69,0,214,416
"Burnaby--New Westminster/Burnaby--New Westminster"," 77","Burnaby",40,7,44,62,0,153,279
"Burnaby--New Westminster/Burnaby--New Westminster"," 78","Burnaby",44,5,76,38,0,163,287
"Burnaby--New Westminster/Burnaby--New Westminster"," 79","Burnaby",48,4,60,37,1,150,292
"Burnaby--New Westminster/Burnaby--New Westminster"," 80A","Burnaby",52,6,90,57,0,205,297
"Burnaby--New Westminster/Burnaby--New Westminster"," 80B","Burnaby",43,4,64,52,1,164,290
"Burnaby--New Westminster/Burnaby--New Westminster"," 81","Burnaby",79,15,119,95,0,308,479
"Burnaby--New Westminster/Burnaby--New Westminster"," 82","Burnaby",37,13,68,67,2,187,475
"Burnaby--New Westminster/Burnaby--New Westminster"," 83A","Burnaby",79,8,70,73,0,230,466
"Burnaby--New Westminster/Burnaby--New Westminster"," 83B","Burnaby",66,3,59,71,0,199,376
"Burnaby--New Westminster/Burnaby--New Westminster"," 83C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,51
"Burnaby--New Westminster/Burnaby--New Westminster"," 84A","Burnaby",54,7,74,76,0,211,455
"Burnaby--New Westminster/Burnaby--New Westminster"," 84B","Burnaby",43,7,32,60,0,142,344
"Burnaby--New Westminster/Burnaby--New Westminster"," 85","Burnaby",78,15,119,78,2,292,464
"Burnaby--New Westminster/Burnaby--New Westminster"," 86","Burnaby",31,6,52,28,1,118,294
"Burnaby--New Westminster/Burnaby--New Westminster"," 87","Burnaby",29,5,63,15,0,112,267
"Burnaby--New Westminster/Burnaby--New Westminster"," 88","Burnaby",55,17,97,91,3,263,457
"Burnaby--New Westminster/Burnaby--New Westminster"," 89","Burnaby",30,6,50,33,2,121,233
"Burnaby--New Westminster/Burnaby--New Westminster"," 90","Burnaby",68,9,86,72,0,235,509
"Burnaby--New Westminster/Burnaby--New Westminster"," 91","Burnaby",68,7,69,63,1,208,365
"Burnaby--New Westminster/Burnaby--New Westminster"," 92","Burnaby",74,11,77,72,1,235,428
"Burnaby--New Westminster/Burnaby--New Westminster"," 93","Burnaby",Void/Supprimé,,,,,,
"Burnaby--New Westminster/Burnaby--New Westminster"," 94","Burnaby",40,10,116,62,3,231,415
"Burnaby--New Westminster/Burnaby--New Westminster"," 95","Burnaby",45,9,106,61,0,221,394
"Burnaby--New Westminster/Burnaby--New Westminster"," 96","Burnaby",64,12,127,68,0,271,484
"Burnaby--New Westminster/Burnaby--New Westminster"," 97","Burnaby",54,6,77,60,0,197,375
"Burnaby--New Westminster/Burnaby--New Westminster"," 98","Burnaby",60,3,71,75,0,209,419
"Burnaby--New Westminster/Burnaby--New Westminster"," 99","Burnaby",22,7,51,42,0,122,275
"Burnaby--New Westminster/Burnaby--New Westminster"," 100","Burnaby",67,9,150,64,2,292,530
"Burnaby--New Westminster/Burnaby--New Westminster"," 101","Burnaby",29,10,65,48,1,153,361
"Burnaby--New Westminster/Burnaby--New Westminster"," 102","Burnaby",61,3,107,68,0,239,518
"Burnaby--New Westminster/Burnaby--New Westminster"," 103A","Burnaby",27,4,83,52,0,166,304
"Burnaby--New Westminster/Burnaby--New Westminster"," 103B","Burnaby",31,5,71,52,2,161,311
"Burnaby--New Westminster/Burnaby--New Westminster"," 104","Burnaby",43,4,67,46,1,161,329
