Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Audette,Jean-Yves Laforest,Claude Larocque,Martial Toupin,Lucille Whissell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 1","Radisson",12,5,0,0,1,0,18,44
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 2","Obedjiwan 28",14,11,5,24,182,0,236,1057
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 3","Weymontachie",19,20,8,16,124,5,192,567
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 4","Parent",15,101,7,31,17,3,174,341
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 5","Coucoucache 24A",Merged with No. 18/Fusionné avec le nº 18,,,,,,,6
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 6","La Croche",4,92,15,58,17,6,192,451
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 7","Lac-Édouard",7,30,5,22,12,4,80,123
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 8","La Bostonnais",8,107,14,65,30,2,226,440
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 9","La Tuque",2,63,10,31,6,4,116,219
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 10","La Tuque",9,152,17,76,18,6,278,549
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 11","La Tuque",6,103,13,37,14,1,174,404
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 12","Haute-Mauricie",7,112,19,50,18,2,208,486
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 13","Grande Anse",0,24,7,21,17,0,69,118
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 14","La Tuque",12,108,16,67,33,2,238,427
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 15","Saint-Joseph-de-Mékinac",4,68,15,55,19,5,166,247
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 16","La Tuque",3,49,4,30,20,4,110,293
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 17","La Tuque",7,75,9,30,20,2,143,354
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 18","La Tuque",3,118,20,62,19,3,225,433
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 19","La Tuque",3,83,14,40,26,2,168,348
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 20","La Tuque",4,72,11,50,23,2,162,357
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 21","La Tuque",2,84,7,41,16,2,152,334
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 22","La Tuque",8,75,7,40,24,0,154,339
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 23","La Tuque",5,61,10,19,9,6,110,289
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 24","La Tuque",7,40,6,15,11,3,82,282
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 25","La Tuque",5,36,3,25,19,1,89,275
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 26","La Tuque",2,88,11,34,20,3,158,353
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 27","La Tuque",7,81,7,35,10,3,143,315
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 28","La Tuque",5,50,12,16,21,1,105,258
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 29","La Tuque",9,91,14,48,32,3,197,397
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 30","La Tuque",12,82,9,52,22,3,180,348
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 31","La Tuque",8,76,6,37,18,1,146,345
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 32","La Tuque",3,46,10,20,23,0,102,250
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 33","La Tuque",8,85,17,49,23,3,185,321
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 34","La Tuque",6,90,18,46,15,1,176,312
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 35","La Tuque",10,93,29,56,19,2,209,422
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 36","La Tuque",6,82,6,45,10,2,151,307
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 37","Hervey-Jonction",8,76,6,55,9,8,162,260
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 38","Notre-Dame-de-Montauban",Merged with No. 39/Fusionné avec le nº 39,,,,,,,244
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 39","Notre-Dame-de-Montauban",19,150,19,112,34,3,337,303
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 40","Notre-Dame-de-Montauban",4,36,3,10,2,2,57,132
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 41","Lac-aux-Sables",8,108,14,61,22,5,218,336
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 42","Lac-aux-Sables",5,165,15,98,25,7,315,539
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 43","Sainte-Thècle",11,126,13,103,16,1,270,437
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 44","Sainte-Thècle",2,92,12,92,25,3,226,394
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 45","Sainte-Thècle",7,101,16,111,25,4,264,449
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 46","Sainte-Thècle",3,82,11,47,14,5,162,293
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 47","Sainte-Thècle",5,134,19,138,25,12,333,545
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 48","Saint-Adelphe",9,86,20,102,33,8,258,418
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 49","Saint-Adelphe",7,77,19,106,34,6,249,377
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 50","Saint-Roch-de-Mékinac",5,59,5,64,21,2,156,298
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 51","Grandes-Piles",17,97,16,54,24,2,210,308
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 52","Saint-Tite",14,133,19,122,27,7,322,526
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 53","Saint-Tite",1,77,16,95,21,3,213,336
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 54","Saint-Tite",5,68,11,84,11,10,189,337
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 55","Saint-Tite",2,55,18,82,24,2,183,295
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 56","Saint-Tite",6,60,11,95,15,2,189,366
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 57","Saint-Tite",7,90,13,85,26,8,229,383
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 58","Saint-Tite",5,81,12,71,33,5,207,351
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 59","Saint-Tite",4,44,15,67,22,6,158,300
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 60","Saint-Tite",5,93,13,77,21,3,212,363
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 61","Hérouxville",5,63,10,49,17,3,147,231
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 62","Hérouxville",12,128,17,66,26,6,255,519
