Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colin Carrie,David Gershuny,Adam Jobse,Louise Parkes,Sid Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Oshawa/Oshawa"," 34","Oshawa",127,0,4,98,89,1,319,485
"Oshawa/Oshawa"," 35","Oshawa",128,0,2,105,101,1,337,481
"Oshawa/Oshawa"," 36","Oshawa",98,0,2,76,81,1,258,400
"Oshawa/Oshawa"," 37","Oshawa",85,0,12,49,73,1,220,364
"Oshawa/Oshawa"," 38","Oshawa",52,0,7,31,67,0,157,296
"Oshawa/Oshawa"," 39","Oshawa",135,0,8,82,87,0,312,505
"Oshawa/Oshawa"," 40A","Oshawa",127,0,10,81,64,2,284,452
"Oshawa/Oshawa"," 40B","Oshawa",112,0,16,71,71,0,270,443
"Oshawa/Oshawa"," 41","Oshawa",146,1,7,67,116,0,337,578
"Oshawa/Oshawa"," 42","Oshawa",75,0,4,70,47,0,196,290
"Oshawa/Oshawa"," 43","Oshawa",113,0,13,65,100,2,293,497
"Oshawa/Oshawa"," 44","Oshawa",80,0,4,48,53,0,185,363
"Oshawa/Oshawa"," 45","Oshawa",103,1,9,53,43,1,210,376
"Oshawa/Oshawa"," 46","Oshawa",107,0,7,56,76,0,246,390
"Oshawa/Oshawa"," 47","Oshawa",112,0,10,62,65,1,250,419
"Oshawa/Oshawa"," 48","Oshawa",107,0,9,70,51,0,237,400
"Oshawa/Oshawa"," 49","Oshawa",64,0,18,42,64,0,188,411
"Oshawa/Oshawa"," 50","Oshawa",51,1,4,53,69,1,179,246
"Oshawa/Oshawa"," 51","Oshawa",40,2,4,25,64,0,135,316
"Oshawa/Oshawa"," 52","Oshawa",41,1,9,28,58,3,140,407
"Oshawa/Oshawa"," 53","Oshawa",98,1,11,86,121,2,319,633
"Oshawa/Oshawa"," 53-1","Oshawa",Merged with No. 53/Fusionné avec le nº 53,,,,,,,148
"Oshawa/Oshawa"," 54","Oshawa",63,0,6,38,67,0,174,299
"Oshawa/Oshawa"," 54-1","Oshawa",92,0,4,42,40,0,178,266
"Oshawa/Oshawa"," 55","Oshawa",48,0,5,33,65,0,151,337
"Oshawa/Oshawa"," 56","Oshawa",84,0,11,67,99,0,261,453
"Oshawa/Oshawa"," 57","Oshawa",151,0,12,104,81,0,348,486
"Oshawa/Oshawa"," 58","Oshawa",112,0,11,62,77,1,263,412
"Oshawa/Oshawa"," 59","Oshawa",78,0,4,61,62,0,205,317
"Oshawa/Oshawa"," 60","Oshawa",88,0,13,61,74,0,236,362
"Oshawa/Oshawa"," 61","Oshawa",59,0,6,53,67,0,185,278
"Oshawa/Oshawa"," 62","Oshawa",70,1,6,58,75,1,211,333
"Oshawa/Oshawa"," 63","Oshawa",66,0,5,39,74,0,184,305
"Oshawa/Oshawa"," 64","Oshawa",119,0,14,59,106,0,298,452
"Oshawa/Oshawa"," 65","Oshawa",71,0,16,60,134,1,282,465
"Oshawa/Oshawa"," 66","Oshawa",111,0,23,67,110,0,311,528
"Oshawa/Oshawa"," 67","Oshawa",73,0,14,58,71,0,216,349
"Oshawa/Oshawa"," 68","Oshawa",87,0,7,43,56,1,194,338
"Oshawa/Oshawa"," 69","Oshawa",67,1,7,27,51,0,153,258
"Oshawa/Oshawa"," 70","Oshawa",86,0,5,48,71,1,211,381
"Oshawa/Oshawa"," 71","Oshawa",94,0,8,45,59,0,206,347
"Oshawa/Oshawa"," 72","Oshawa",78,0,0,47,64,0,189,354
"Oshawa/Oshawa"," 73","Oshawa",77,0,11,53,93,0,234,379
"Oshawa/Oshawa"," 74","Oshawa",72,1,13,69,81,0,236,486
"Oshawa/Oshawa"," 75","Oshawa",98,0,10,46,92,2,248,420
"Oshawa/Oshawa"," 76","Oshawa",101,1,10,54,69,0,235,454
"Oshawa/Oshawa"," 77","Oshawa",77,0,6,46,79,0,208,388
"Oshawa/Oshawa"," 78","Oshawa",74,0,27,64,70,0,235,426
"Oshawa/Oshawa"," 79","Oshawa",85,0,6,46,71,2,210,475
"Oshawa/Oshawa"," 80","Oshawa",76,1,5,52,65,3,202,310
"Oshawa/Oshawa"," 81","Oshawa",57,0,13,47,68,0,185,342
"Oshawa/Oshawa"," 82","Oshawa",91,1,12,68,80,0,252,394
"Oshawa/Oshawa"," 83","Oshawa",89,0,15,43,88,0,235,342
"Oshawa/Oshawa"," 84","Oshawa",76,0,7,51,70,1,205,350
"Oshawa/Oshawa"," 85","Oshawa",81,0,13,36,83,0,213,404
"Oshawa/Oshawa"," 86","Oshawa",49,0,2,58,64,0,173,347
"Oshawa/Oshawa"," 87","Oshawa",89,1,15,73,72,1,251,367
"Oshawa/Oshawa"," 88","Oshawa",80,0,8,64,71,0,223,334
"Oshawa/Oshawa"," 89","Oshawa",61,0,7,47,92,2,209,407
"Oshawa/Oshawa"," 90","Oshawa",49,0,7,13,63,0,132,464
"Oshawa/Oshawa"," 91","Oshawa",59,0,3,55,73,0,190,410
"Oshawa/Oshawa"," 92","Oshawa",53,1,10,65,76,3,208,406
"Oshawa/Oshawa"," 93","Oshawa",65,0,9,33,73,0,180,422
"Oshawa/Oshawa"," 94","Oshawa",50,0,8,31,57,0,146,352
"Oshawa/Oshawa"," 95","Oshawa",52,1,5,45,71,1,175,288
"Oshawa/Oshawa"," 96","Oshawa",41,1,4,43,70,0,159,375
"Oshawa/Oshawa"," 97","Oshawa",57,1,16,33,70,0,177,341
"Oshawa/Oshawa"," 98","Oshawa",47,1,8,32,59,1,148,327
"Oshawa/Oshawa"," 99","Oshawa",60,3,13,50,69,0,195,400
"Oshawa/Oshawa"," 100","Oshawa",59,0,7,31,50,0,147,362
"Oshawa/Oshawa"," 101","Oshawa",53,0,1,68,51,3,176,339
"Oshawa/Oshawa"," 102","Oshawa",70,1,11,32,56,1,171,325
"Oshawa/Oshawa"," 103","Oshawa",71,0,11,55,98,1,236,375
"Oshawa/Oshawa"," 104","Oshawa",63,2,9,42,89,0,205,302
"Oshawa/Oshawa"," 105","Oshawa",89,1,11,37,70,0,208,380
"Oshawa/Oshawa"," 106","Oshawa",73,0,10,47,68,0,198,357
"Oshawa/Oshawa"," 107","Oshawa",75,0,10,44,81,0,210,365
"Oshawa/Oshawa"," 108","Oshawa",86,0,8,45,67,0,206,364
"Oshawa/Oshawa"," 109","Oshawa",68,0,8,40,64,0,180,344
"Oshawa/Oshawa"," 110","Oshawa",90,0,13,42,87,1,233,400
"Oshawa/Oshawa"," 111","Oshawa",32,1,3,26,46,1,109,325
"Oshawa/Oshawa"," 112","Oshawa",40,0,2,28,36,2,108,275
"Oshawa/Oshawa"," 113","Oshawa",36,0,10,38,62,0,146,334
"Oshawa/Oshawa"," 114","Oshawa",75,0,6,66,95,0,242,428
"Oshawa/Oshawa"," 115","Oshawa",63,0,15,70,90,2,240,404
"Oshawa/Oshawa"," 116","Oshawa",55,0,8,38,46,1,148,352
"Oshawa/Oshawa"," 117","Oshawa",59,0,6,45,54,1,165,313
"Oshawa/Oshawa"," 118","Oshawa",48,0,6,30,64,0,148,258
"Oshawa/Oshawa"," 119","Oshawa",63,1,5,32,88,0,189,388
"Oshawa/Oshawa"," 120","Oshawa",50,0,17,33,63,0,163,336
"Oshawa/Oshawa"," 121","Oshawa",71,0,13,61,86,1,232,471
"Oshawa/Oshawa"," 122","Oshawa",85,0,6,79,100,1,271,524
"Oshawa/Oshawa"," 123","Oshawa",Void/Supprimé,,,,,,,
"Oshawa/Oshawa"," 124","Oshawa",46,0,8,33,72,2,161,398
"Oshawa/Oshawa"," 125","Oshawa",41,0,9,52,77,1,180,434
"Oshawa/Oshawa"," 126","Oshawa",56,2,10,28,84,3,183,389
"Oshawa/Oshawa"," 127","Oshawa",52,3,10,55,91,1,212,477
"Oshawa/Oshawa"," 128","Oshawa",72,2,7,64,67,0,212,412
"Oshawa/Oshawa"," 129","Oshawa",53,1,9,42,66,1,172,363
"Oshawa/Oshawa"," 130","Oshawa",56,0,11,49,103,0,219,390
"Oshawa/Oshawa"," 131","Oshawa",57,0,7,53,83,1,201,387
"Oshawa/Oshawa"," 132","Oshawa",51,1,16,23,74,0,165,309
"Oshawa/Oshawa"," 133","Oshawa",68,0,10,41,63,1,183,339
"Oshawa/Oshawa"," 134","Oshawa",61,0,9,35,80,0,185,343
"Oshawa/Oshawa"," 135","Oshawa",66,0,10,29,93,1,199,391
"Oshawa/Oshawa"," 136","Oshawa",69,1,9,50,85,2,216,402
"Oshawa/Oshawa"," 137","Oshawa",90,2,8,72,90,3,265,455
"Oshawa/Oshawa"," 138","Oshawa",45,1,8,31,103,0,188,344
"Oshawa/Oshawa"," 139","Oshawa",72,0,6,45,80,1,204,402
"Oshawa/Oshawa"," 140","Oshawa",80,0,8,48,82,1,219,347
"Oshawa/Oshawa"," 141","Oshawa",70,0,10,48,96,2,226,374
"Oshawa/Oshawa"," 142","Oshawa",64,1,21,59,90,0,235,370
"Oshawa/Oshawa"," 143","Oshawa",67,0,7,31,66,1,172,289
"Oshawa/Oshawa"," 144","Oshawa",114,0,5,44,95,1,259,434
"Oshawa/Oshawa"," 145","Oshawa",82,0,8,56,94,0,240,360
"Oshawa/Oshawa"," 146","Oshawa",68,0,4,51,81,0,204,372
"Oshawa/Oshawa"," 147","Oshawa",96,1,7,52,107,0,263,428
"Oshawa/Oshawa"," 148","Oshawa",99,0,10,58,62,0,229,358
"Oshawa/Oshawa"," 149","Oshawa",108,0,5,46,84,0,243,404
"Oshawa/Oshawa"," 150","Oshawa",101,0,20,59,84,1,265,410
"Oshawa/Oshawa"," 151","Oshawa",100,0,10,69,78,1,258,422
"Oshawa/Oshawa"," 152","Oshawa",78,0,12,51,89,1,231,390
"Oshawa/Oshawa"," 153","Oshawa",89,0,6,51,99,2,247,424
"Oshawa/Oshawa"," 154","Oshawa",92,1,9,54,76,1,233,358
"Oshawa/Oshawa"," 155","Oshawa",122,2,23,39,76,0,262,433
"Oshawa/Oshawa"," 156","Oshawa",99,0,10,32,85,0,226,359
"Oshawa/Oshawa"," 157","Oshawa",95,0,10,46,52,1,204,332
"Oshawa/Oshawa"," 158","Oshawa",97,0,8,92,61,0,258,416
"Oshawa/Oshawa"," 159","Oshawa",123,0,10,64,88,4,289,430
"Oshawa/Oshawa"," 160","Oshawa",89,0,12,62,92,0,255,480
"Oshawa/Oshawa"," 161","Oshawa",114,1,17,49,112,1,294,510
"Oshawa/Oshawa"," 162","Oshawa",99,1,12,40,83,0,235,412
"Oshawa/Oshawa"," 163","Oshawa",94,2,9,43,81,2,231,447
"Oshawa/Oshawa"," 164","Oshawa",119,0,12,36,88,0,255,470
"Oshawa/Oshawa"," 165","Oshawa",91,0,3,55,67,0,216,362
"Oshawa/Oshawa"," 166","Oshawa",84,0,7,36,71,0,198,359
"Oshawa/Oshawa"," 167","Oshawa",76,0,4,57,90,0,227,383
"Oshawa/Oshawa"," 168","Oshawa",47,1,6,33,71,0,158,380
"Oshawa/Oshawa"," 169","Oshawa",67,1,5,29,69,0,171,354
"Oshawa/Oshawa"," 170","Oshawa",119,1,7,50,106,1,284,477
"Oshawa/Oshawa"," 171","Oshawa",51,0,12,50,56,1,170,331
"Oshawa/Oshawa"," 172","Oshawa",67,0,8,50,92,1,218,483
"Oshawa/Oshawa"," 173","Oshawa",52,2,7,22,77,1,161,295
"Oshawa/Oshawa"," 174","Oshawa",46,1,4,38,74,0,163,338
"Oshawa/Oshawa"," 175","Oshawa",80,0,17,48,125,0,270,595
"Oshawa/Oshawa"," 176","Oshawa",47,0,2,24,55,0,128,418
"Oshawa/Oshawa"," 177","Oshawa",39,0,6,36,65,1,147,389
"Oshawa/Oshawa"," 178","Oshawa",36,1,6,38,60,2,143,374
"Oshawa/Oshawa"," 179","Oshawa",60,0,6,48,69,0,183,373
"Oshawa/Oshawa"," 180","Oshawa",58,0,4,42,32,2,138,262
"Oshawa/Oshawa"," 181","Oshawa",66,2,7,33,81,0,189,293
"Oshawa/Oshawa"," 182","Oshawa",90,0,3,66,87,0,246,417
"Oshawa/Oshawa"," 183","Oshawa",67,1,6,33,81,1,189,312
"Oshawa/Oshawa"," 184","Oshawa",71,1,6,38,95,0,211,375
"Oshawa/Oshawa"," 185","Oshawa",62,0,2,32,77,0,173,399
"Oshawa/Oshawa"," 186","Oshawa",47,0,3,30,100,0,180,385
"Oshawa/Oshawa"," 187","Oshawa",23,0,4,25,70,3,125,349
"Oshawa/Oshawa"," 188","Oshawa",60,0,2,40,84,0,186,399
"Oshawa/Oshawa"," 189","Oshawa",71,0,14,54,97,0,236,452
"Oshawa/Oshawa"," 190","Oshawa",90,0,5,47,86,2,230,405
"Oshawa/Oshawa"," 191","Oshawa",54,0,3,47,76,1,181,326
"Oshawa/Oshawa"," 192","Oshawa",99,0,10,69,90,0,268,447
"Oshawa/Oshawa"," 193","Oshawa",50,0,4,47,79,0,180,294
"Oshawa/Oshawa"," 194","Oshawa",57,0,6,45,86,4,198,340
"Oshawa/Oshawa"," 195","Oshawa",81,0,7,50,81,2,221,374
"Oshawa/Oshawa"," 196","Oshawa",70,1,4,46,99,0,220,400
"Oshawa/Oshawa"," 197","Oshawa",90,0,13,39,83,0,225,375
"Oshawa/Oshawa"," 198","Oshawa",31,0,4,35,66,0,136,310
"Oshawa/Oshawa"," 199","Oshawa",39,0,13,26,63,1,142,388
"Oshawa/Oshawa"," 200","Oshawa",101,1,12,44,66,0,224,418
"Oshawa/Oshawa"," 400","Oshawa",59,1,4,31,58,0,153,332
"Oshawa/Oshawa"," 401","Oshawa",43,2,5,27,52,1,130,329
"Oshawa/Oshawa"," 402","Oshawa",38,2,1,40,44,0,125,269
"Oshawa/Oshawa"," 500","Mobile poll/Bureau itinérant",35,1,1,34,31,2,104,136
"Oshawa/Oshawa"," 600","Oshawa",396,1,24,185,162,1,769,
"Oshawa/Oshawa"," 601","Oshawa",523,2,20,216,156,2,919,
"Oshawa/Oshawa"," 602","Oshawa",91,0,4,57,49,5,206,
"Oshawa/Oshawa"," 603","Oshawa",327,1,18,139,182,2,669,
"Oshawa/Oshawa"," 604","Oshawa",163,1,7,93,91,3,358,
"Oshawa/Oshawa"," 605","Oshawa",236,0,12,117,176,0,541,
"Oshawa/Oshawa"," 606","Oshawa",191,0,15,80,100,0,386,
"Oshawa/Oshawa"," 607","Oshawa",393,2,19,147,177,1,739,
"Oshawa/Oshawa"," 608","Oshawa",254,1,11,108,219,0,593,
"Oshawa/Oshawa",,Group 1/Groupe 1,51,1,15,47,33,3,150,236
"Oshawa/Oshawa",,Group 2/Groupe 2,610,0,54,467,323,16,1470,
