Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jennifer Burgis,Andrew Lewis,Gary Vincent Lunn,Patricia O'Brien,Sheila Orr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 18","Ganges",87,48,60,1,32,0,228,402
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 19","Ganges",81,56,48,1,53,1,240,409
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 20A","Ganges",35,41,23,0,29,0,128,258
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 20B","Ganges",52,40,41,1,20,0,154,272
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 21","Ganges",Void/Supprimé,,,,,,,
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 22","Port Washington",58,58,56,1,31,0,204,309
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 23","Port Washington",24,23,20,0,17,0,84,130
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 24A","Fulford Harbour",80,63,34,0,22,0,199,286
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 24B","Fulford Harbour",79,61,28,0,42,1,211,305
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 25A","Fulford Harbour",59,67,27,1,28,0,182,297
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 25B","Fulford Harbour",80,61,17,0,30,0,188,285
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 26","Port Washington",86,64,68,0,50,0,268,390
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 27","Port Washington",118,78,121,1,53,0,371,536
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 28","Pender Island 8",74,70,78,0,46,2,270,420
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 29","North Saanich",38,36,113,0,69,0,256,369
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 30","North Saanich",49,25,154,0,75,1,304,441
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 31","North Saanich",60,37,110,1,81,0,289,417
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 32","North Saanich",51,29,145,1,87,1,314,509
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 33","North Saanich",35,29,102,0,49,0,215,325
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 34","North Saanich",80,46,118,2,78,0,324,469
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 35","North Saanich",70,42,135,2,82,0,331,489
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 36","North Saanich",51,22,82,0,43,0,198,285
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 37","North Saanich",33,17,67,0,36,0,153,242
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 38","North Saanich",38,12,95,1,49,0,195,291
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 39","North Saanich",31,22,73,0,66,0,192,304
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 40","North Saanich",48,34,109,1,76,1,269,423
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 41","North Saanich",59,35,151,0,102,1,348,507
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 42","North Saanich",50,31,125,2,55,1,264,427
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 43","North Saanich",78,29,85,1,62,0,255,470
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 44","North Saanich",18,16,118,0,55,1,208,319
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 45","North Saanich",31,14,127,1,61,0,234,348
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 46","North Saanich",33,10,127,0,47,0,217,309
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 47","North Saanich",65,41,120,2,50,0,278,425
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 48","North Saanich",27,9,93,0,47,0,176,282
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 49","North Saanich",41,26,112,0,51,0,230,343
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 50","North Saanich",57,29,116,1,48,1,252,405
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 51","North Saanich",59,20,129,1,71,0,280,428
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 52","Sidney",32,25,117,3,53,0,230,414
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 53","Sidney",26,15,54,0,14,0,109,215
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 54","Sidney",45,20,89,1,57,0,212,354
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 55","Sidney",76,33,108,0,66,0,283,492
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 56","Sidney",54,31,138,1,57,1,282,449
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 57","Sidney",60,25,112,1,70,0,268,419
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 58","Sidney",72,33,128,0,56,1,290,438
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 59","Sidney",63,18,90,2,59,1,233,457
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 60","Sidney",75,38,93,1,67,2,276,398
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 61","Sidney",65,39,96,0,47,0,247,388
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 62","Sidney",30,13,99,1,50,0,193,296
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 63","Sidney",48,27,105,3,72,1,256,383
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 64","Sidney",32,9,77,0,38,1,157,371
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 65","Sidney",33,14,80,0,46,1,174,280
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 66","Sidney",49,12,114,0,49,1,225,308
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 67","Sidney",52,24,94,0,51,1,222,367
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 68","Sidney",57,26,143,2,84,0,312,500
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 69","Sidney",60,21,145,3,108,0,337,495
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 70","Sidney",56,22,105,1,66,2,252,403
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 71","Sidney",54,39,100,0,64,1,258,418
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 72","Sidney",67,25,109,0,53,1,255,403
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 73","Sidney",68,28,111,1,59,0,267,430
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 74","Sidney",35,9,111,1,46,1,203,319
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 75","Central Saanich",80,27,121,4,68,0,300,466
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 76","Central Saanich",70,40,114,3,82,1,310,456
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 77A","Central Saanich",44,18,78,1,45,0,186,317
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 77B","Central Saanich",56,21,83,1,52,1,214,358
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 78","Central Saanich",51,19,107,0,68,2,247,370
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 79","Central Saanich",66,27,99,2,58,0,252,378
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 80","Central Saanich",90,23,112,0,68,1,294,469
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 81","Central Saanich",62,30,85,0,60,0,237,367
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 82","East Saanich 2",95,7,152,2,80,0,336,472
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 83","Central Saanich",45,10,116,0,65,0,236,386
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 84A","East Saanich 2",68,8,71,2,31,0,180,372
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 84B","East Saanich 2",79,12,67,1,48,1,208,382
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 85A","South Saanich 1",65,13,31,0,24,0,133,270
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 85B","South Saanich 1",68,10,32,0,23,0,133,338
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 86","Central Saanich",80,36,116,0,70,0,302,452
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 87","Central Saanich",75,38,111,0,52,1,277,409
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 88","Central Saanich",63,17,131,1,59,0,271,484
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 89","Central Saanich",43,18,72,0,40,0,173,294
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 90","Central Saanich",54,16,106,0,64,0,240,352
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 91","Central Saanich",55,17,100,0,50,1,223,322
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 92","Central Saanich",88,22,109,1,69,0,289,460
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 93","East Saanich 2",53,19,92,0,43,0,207,349
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 94","Central Saanich",63,37,78,1,51,0,230,332
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 95","Central Saanich",82,28,106,0,80,0,296,459
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 96","Central Saanich",86,36,113,0,92,1,328,460
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 97","Central Saanich",59,33,71,1,63,1,228,353
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 98","Central Saanich",50,26,142,2,73,0,293,432
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 99","Central Saanich",82,31,107,1,71,0,292,437
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 100","Central Saanich",64,17,104,0,76,0,261,415
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 101A","Central Saanich",35,20,111,0,44,0,210,307
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 101B","Central Saanich",41,6,98,1,34,0,180,268
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 102","Central Saanich",70,23,117,0,67,2,279,451
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 103","Central Saanich",46,22,112,0,65,0,245,344
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 104","Central Saanich",72,27,124,2,63,1,289,420
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 105A","Central Saanich",49,17,76,0,52,0,194,296
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 105B","Central Saanich",44,10,69,0,56,0,179,283
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 106","Saanich",33,2,50,2,48,0,135,197
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 107","Saanich",50,17,179,0,84,0,330,491
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 108","Elk Lake",64,22,124,1,91,0,302,474
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 109","Cordova Bay",77,24,122,0,110,0,333,494
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 110","Saanich",68,20,120,1,97,0,306,436
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 111","Cordova Bay",56,20,150,0,85,0,311,433
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 112","Saanich",66,22,120,0,83,1,292,429
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 113","Cordova Bay",79,18,91,1,78,0,267,399
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 114","Cordova Bay",49,15,100,1,72,0,237,348
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 115","Saanich",50,20,92,0,88,0,250,367
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 116","Saanich",60,21,117,0,91,0,289,411
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 117","Cordova Bay",65,10,114,2,92,1,284,476
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 118","Saanich",50,12,85,0,59,0,206,362
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 119A","Saanich",16,10,100,1,52,0,179,276
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 119B","Saanich",11,8,81,0,47,1,148,267
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 120","Royal Oak",42,6,167,3,90,0,308,457
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 121","Cordova Bay",65,26,129,3,118,0,341,492
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 122","Saanich",34,9,91,0,83,0,217,362
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 123","Saanich",52,18,171,1,91,0,333,466
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 124","Saanich",51,11,41,3,40,0,146,229
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 125","Saanich",27,14,98,0,71,0,210,325
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 126","Saanich",38,13,77,0,71,0,199,325
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 127","Saanich",46,25,125,1,85,0,282,426
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 128","Saanich",19,6,74,0,37,0,136,230
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 129","Royal Oak",47,18,140,0,67,0,272,429
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 130","Saanich",83,11,99,1,77,0,271,428
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 131","Saanich",41,13,135,0,106,0,295,481
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 132","Saanich",105,20,137,2,104,0,368,544
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 133","Saanich",62,21,78,0,73,0,234,401
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 134","Gordon Head",95,20,78,0,84,0,277,428
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 135","Saanich",89,19,88,3,79,0,278,474
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 136A","Saanich",60,18,102,2,62,0,244,350
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 136B","Saanich",59,29,60,2,96,2,248,391
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 137","Saanich",68,5,101,2,64,0,240,353
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 138","Saanich",95,23,76,0,59,0,253,379
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 139","Saanich",88,30,78,0,80,0,276,370
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 140A","Lake Hill",65,20,94,1,79,0,259,430
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 140B","Lake Hill",51,13,96,0,76,1,237,399
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 141","Saanich",71,22,68,0,39,0,200,364
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 142","Saanich",45,9,38,0,42,0,134,261
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 143","Lake Hill",94,27,106,0,97,0,324,492
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 144","Saanich",70,29,73,0,87,0,259,369
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 145","Saanich",81,23,81,0,66,0,251,405
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 146","Saanich",87,23,102,2,111,1,326,530
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 147","Gordon Head",45,25,90,1,94,2,257,379
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 148","Gordon Head",84,30,78,3,97,0,292,404
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 149","Saanich",70,28,78,0,79,0,255,375
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 150","Saanich",77,23,73,0,78,0,251,398
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 151","Saanich",57,20,88,0,87,1,253,384
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 152","Gordon Head",51,21,101,2,62,0,237,388
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 153A","Saanich",128,21,66,1,83,0,299,476
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 153B","Mobile poll/Bureau itinérant",Merged with No. 215B/Fusionné avec le nº 215B,,,,,,,26
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 154","Saanich",77,24,77,2,75,1,256,393
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 155A","Saanich",53,14,50,0,50,0,167,314
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 155B","Saanich",46,14,37,0,37,1,135,271
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 156","Saanich",63,22,74,1,49,0,209,350
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 157","Saanich",117,35,84,1,60,0,297,444
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 158","Saanich",99,23,92,1,84,1,300,481
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 159","Lake Hill",91,33,81,2,101,0,308,460
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 160","Saanich",92,20,111,0,98,1,322,487
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 161","Saanich",62,17,105,0,109,1,294,468
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 162","Saanich",41,16,44,0,50,0,151,248
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 163","Saanich",68,18,95,1,83,1,266,401
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 164","Saanich",61,30,88,0,87,1,267,425
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 165","Saanich",81,18,56,0,85,1,241,416
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 166A","Saanich",49,15,57,1,54,0,176,266
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 166B","Saanich",45,8,52,0,65,2,172,270
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 167","Saanich",82,19,91,0,80,0,272,415
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 168","Saanich",128,32,85,0,71,0,316,508
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 169","Saanich",101,19,61,0,63,0,244,402
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 170","Saanich",99,28,54,2,58,0,241,399
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 171","Saanich",101,28,78,2,58,1,268,420
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 172","Saanich",91,14,41,0,54,1,201,382
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 173","Saanich",82,13,48,2,59,1,205,390
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 174","Lake Hill",100,22,54,0,82,1,259,433
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 175","Saanich",74,36,71,0,77,0,258,404
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 176","Saanich",95,22,83,0,78,0,278,409
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 177","Saanich",95,27,93,0,64,0,279,425
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 178","Saanich",81,31,96,0,97,0,305,430
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 179","Saanich",86,18,96,0,63,1,264,384
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 180","Saanich",59,12,61,0,49,0,181,304
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 181","Gordon Head",64,16,36,2,52,0,170,300
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 182","Saanich",39,15,74,0,74,1,203,282
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 183","Saanich",59,11,41,0,37,1,149,304
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 184","Saanich",95,20,67,1,88,1,272,423
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 185A","Saanich",22,6,27,0,30,0,85,136
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 185B","Mobile poll/Bureau itinérant",38,4,92,2,50,2,188,102
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 186","Saanich",50,14,29,0,46,0,139,257
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 187","Saanich",68,16,35,0,60,0,179,280
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 188","Gordon Head",80,27,91,1,87,0,286,434
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 189","Saanich",84,10,74,0,81,0,249,380
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 190","Saanich",69,9,78,1,57,0,214,339
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 191","Saanich",77,23,86,1,59,0,246,365
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 192","Saanich",76,17,90,0,115,0,298,473
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 193","Gordon Head",77,21,81,1,100,1,281,416
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 194","Gordon Head",56,17,103,0,63,0,239,327
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 195","Gordon Head",113,32,82,1,120,1,349,521
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 196","Saanich",98,25,102,0,86,0,311,450
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 197","Saanich",71,24,70,0,92,0,257,399
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 198","Gordon Head",35,15,85,1,76,1,213,336
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 199","Saanich",70,25,103,1,88,0,287,406
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 200","Gordon Head",58,30,106,1,107,0,302,481
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 201","Saanich",71,28,101,0,83,0,283,411
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 202","Saanich",101,13,57,0,61,0,232,479
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 203","Saanich",83,19,48,0,67,0,217,346
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 204","Saanich",34,16,22,0,18,1,91,185
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 205","Saanich",69,16,26,1,38,0,150,335
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 206","Lake Hill",59,18,60,1,40,1,179,310
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 207","Lake Hill",100,18,71,1,65,0,255,437
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 208","Saanich",89,27,53,0,72,0,241,374
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 209","Saanich",91,36,58,1,88,0,274,435
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 210","Saanich",99,25,36,0,47,0,207,332
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 211","Lake Hill",95,30,95,0,78,0,298,469
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 212","Saanich",108,24,54,1,68,0,255,400
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 213","Saanich",87,22,100,1,88,0,298,425
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 214A","Saanich",47,15,26,0,38,0,126,223
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 214B","Mobile poll/Bureau itinérant",Merged with No. 185B/Fusionné avec le nº 185B,,,,,,,91
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 214C","Mobile poll/Bureau itinérant",Merged with No. 185B/Fusionné avec le nº 185B,,,,,,,56
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 215A","Saanich",101,33,128,2,96,0,360,535
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 215B","Mobile poll/Bureau itinérant",15,8,19,1,16,1,60,44
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 216","Saanich",103,28,58,1,89,1,280,412
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 217","Saanich",94,21,52,1,63,0,231,348
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 218","Saanich",72,12,65,0,60,0,209,343
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 500","Mobile poll/Bureau itinérant",4,4,8,0,7,0,23,44
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 501","Mobile poll/Bureau itinérant",19,1,35,2,20,7,84,214
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 502","Mobile poll/Bureau itinérant",44,7,83,3,68,6,211,307
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 600","Ganges",262,135,274,3,148,2,824,
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 601","North Saanich",122,56,464,2,189,2,835,
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 602","Sidney",140,57,389,2,159,2,749,
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 603","Central Saanich",212,58,442,3,157,1,873,
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 604","Central Saanich",84,28,188,1,69,1,371,
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 605","Royal Oak",89,36,464,1,208,1,799,
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 606","Lake Hill",115,20,252,1,121,0,509,
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 607","Gordon Head",179,45,316,2,216,1,759,
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 608","Lake Hill",207,36,158,0,135,1,537,
"Saanich--Gulf Islands/Saanich--Gulf Islands"," 609","Lake Hill",167,35,224,0,164,5,595,
"Saanich--Gulf Islands/Saanich--Gulf Islands",,Group 1/Groupe 1,38,22,72,0,41,3,176,377
"Saanich--Gulf Islands/Saanich--Gulf Islands",,Group 2/Groupe 2,406,157,961,4,513,21,2062,
