Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Chirico,Dave Fluri,Meg Purdy,Anthony Rota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 1","Hudson Hall",103,57,12,59,4,235,410
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 2","Dymond ",61,44,0,84,1,190,338
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 3A","Dymond ",65,21,4,117,0,207,341
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 3B","Dymond ",40,23,1,54,0,118,218
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 4","Sutton Bay",87,40,3,130,2,262,431
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 5","New Liskeard",69,37,4,94,0,204,378
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 6","New Liskeard",54,37,4,90,1,186,340
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 7","New Liskeard",52,45,8,80,1,186,319
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 8","New Liskeard",47,25,4,70,0,146,258
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 9","New Liskeard",76,41,7,110,0,234,384
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 10","New Liskeard",38,49,3,82,0,172,324
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 11","New Liskeard",64,50,3,91,0,208,385
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 12","New Liskeard",37,28,5,55,1,126,276
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 13","New Liskeard",79,43,2,96,1,221,420
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 14","New Liskeard",52,31,4,81,1,169,315
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 15A","New Liskeard",32,38,3,76,0,149,287
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 15B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,29
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 16","Haileybury",61,58,9,74,0,202,365
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 17","Haileybury",57,47,11,88,1,204,430
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 18","Haileybury",36,29,2,51,0,118,260
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 19","Haileybury",34,24,5,53,3,119,268
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 20","Haileybury",38,32,10,57,0,137,289
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 21","Haileybury",57,52,8,97,1,215,421
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 22","Haileybury",42,43,3,70,0,158,298
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 23","Haileybury",70,46,5,116,0,237,425
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 24","North Cobalt",32,28,3,43,0,106,230
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 25","Haileybury",54,60,4,106,1,225,370
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 26","Coleman",35,64,3,67,2,171,320
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 27","Cobalt",33,48,4,100,1,186,311
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 28","Cobalt",49,64,10,60,0,183,356
