Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew House,Martin MacKinnon,Alexa McDonough,Tony Seed,Nick Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Halifax/Halifax"," 146B","Halifax",19,41,66,0,3,0,129,257
"Halifax/Halifax"," 147","Halifax",30,40,107,0,1,2,180,306
"Halifax/Halifax"," 148","Halifax",96,71,136,2,14,1,320,491
"Halifax/Halifax"," 149","Halifax",58,119,135,1,14,2,329,479
"Halifax/Halifax"," 150","Halifax",46,67,107,3,5,1,229,379
"Halifax/Halifax"," 151","Halifax",51,94,127,0,13,1,286,446
"Halifax/Halifax"," 152","Halifax",28,59,107,1,4,0,199,363
"Halifax/Halifax"," 153","Halifax",34,35,83,0,4,0,156,420
"Halifax/Halifax"," 154","Halifax",18,42,99,1,6,0,166,404
"Halifax/Halifax"," 155","Halifax",34,41,75,1,2,0,153,360
"Halifax/Halifax"," 156","Halifax",28,39,60,0,6,0,133,249
"Halifax/Halifax"," 157","Halifax",64,82,128,0,9,0,283,503
"Halifax/Halifax"," 158","Halifax",18,36,69,1,4,0,128,395
"Halifax/Halifax"," 159","Halifax",9,22,43,0,1,1,76,319
"Halifax/Halifax"," 160","Halifax",18,21,39,0,5,0,83,327
"Halifax/Halifax"," 161","Halifax",35,37,70,1,2,0,145,335
"Halifax/Halifax"," 162","Halifax",26,45,69,1,3,0,144,312
"Halifax/Halifax"," 163","Herring Cove",69,91,119,0,16,2,297,508
"Halifax/Halifax"," 164","Herring Cove",65,102,129,0,8,0,304,506
"Halifax/Halifax"," 165","Harrietsfield",31,37,73,1,1,0,143,323
"Halifax/Halifax"," 166","Harrietsfield",63,42,90,0,4,0,199,431
"Halifax/Halifax"," 167","Herring Cove",41,35,79,0,9,0,164,273
"Halifax/Halifax"," 168","Herring Cove",61,48,63,0,4,0,176,254
"Halifax/Halifax"," 169","Herring Cove",42,43,88,0,11,1,185,319
"Halifax/Halifax"," 170","Portuguese Cove",46,63,107,0,7,0,223,388
"Halifax/Halifax"," 171A","Williamswood",52,50,113,1,3,1,220,410
"Halifax/Halifax"," 171B","Williamswood",36,78,110,0,4,1,229,391
"Halifax/Halifax"," 172","Williamswood",35,46,91,1,2,1,176,307
"Halifax/Halifax"," 173","Pennant",47,54,116,0,6,1,224,393
"Halifax/Halifax"," 174","Sambro",75,51,88,0,1,0,215,364
"Halifax/Halifax"," 175","Ketch Harbour",17,46,109,0,4,0,176,266
"Halifax/Halifax"," 176","Halifax",Merged with No. 175/Fusionné avec le nº 175,,,,,,,1
"Halifax/Halifax"," 600","Halifax",96,191,250,1,12,1,551,
"Halifax/Halifax"," 601","Halifax",121,154,171,1,11,0,458,
"Halifax/Halifax"," 602","Halifax",88,130,155,2,14,0,389,
"Halifax/Halifax"," 603","Halifax",28,84,197,0,7,1,317,
"Halifax/Halifax"," 604","Halifax",73,99,175,0,10,0,357,
"Halifax/Halifax"," 605","Halifax",162,201,229,0,10,0,602,
"Halifax/Halifax"," 606","Halifax",65,104,90,1,11,0,271,
"Halifax/Halifax"," 607","Halifax",161,212,179,1,9,2,564,
"Halifax/Halifax"," 608","Halifax",180,249,220,4,21,1,675,
"Halifax/Halifax"," 609","Halifax",108,106,181,1,16,0,412,
"Halifax/Halifax"," 610","Halifax",78,67,60,0,11,0,216,
"Halifax/Halifax",,Group 1/Groupe 1,118,108,99,3,20,14,362,952
"Halifax/Halifax",,Group 2/Groupe 2,257,356,551,1,33,20,1218,
