Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Art Hanger,Jaswinder S. Johal,Trung Nguyen,Tyler Ragan,Ron Sanderson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Calgary Northeast/Calgary-Nord-Est"," 1A","Calgary",131,22,6,24,0,1,184,307
"Calgary Northeast/Calgary-Nord-Est"," 1B","Calgary",154,16,3,11,0,0,184,312
"Calgary Northeast/Calgary-Nord-Est"," 1-1A","Calgary",207,18,5,7,2,0,239,342
"Calgary Northeast/Calgary-Nord-Est"," 1-1B","Mobile poll/Bureau itinérant",Merged with No. 1-1C/Fusionné avec le nº 1-1C,,,,,,,127
"Calgary Northeast/Calgary-Nord-Est"," 1-1C","Mobile poll/Bureau itinérant",108,30,4,7,5,9,163,139
"Calgary Northeast/Calgary-Nord-Est"," 1-2","Calgary",41,17,2,4,2,0,66,99
"Calgary Northeast/Calgary-Nord-Est"," 1-3A","Calgary",163,23,4,19,0,0,209,371
"Calgary Northeast/Calgary-Nord-Est"," 1-3B","Calgary",163,34,11,15,1,0,224,367
"Calgary Northeast/Calgary-Nord-Est"," 1-4","Calgary",176,37,15,20,3,0,251,403
"Calgary Northeast/Calgary-Nord-Est"," 2","Calgary",203,38,15,46,2,1,305,505
"Calgary Northeast/Calgary-Nord-Est"," 3","Calgary",184,29,13,28,2,0,256,455
"Calgary Northeast/Calgary-Nord-Est"," 4A","Calgary",137,17,13,15,2,0,184,307
"Calgary Northeast/Calgary-Nord-Est"," 4B","Calgary",95,16,10,14,2,2,139,273
"Calgary Northeast/Calgary-Nord-Est"," 4-1","Calgary",74,16,4,15,2,0,111,204
"Calgary Northeast/Calgary-Nord-Est"," 4-2A","Calgary",170,26,15,13,2,0,226,345
"Calgary Northeast/Calgary-Nord-Est"," 4-2B","Calgary",134,11,13,14,3,0,175,302
"Calgary Northeast/Calgary-Nord-Est"," 5","Calgary",212,33,11,19,4,0,279,494
"Calgary Northeast/Calgary-Nord-Est"," 6A","Calgary",168,51,9,28,0,1,257,440
"Calgary Northeast/Calgary-Nord-Est"," 6B","Calgary",136,33,9,29,4,0,211,404
"Calgary Northeast/Calgary-Nord-Est"," 7","Calgary",246,37,17,31,2,1,334,550
"Calgary Northeast/Calgary-Nord-Est"," 8","Calgary",239,37,13,29,3,0,321,547
"Calgary Northeast/Calgary-Nord-Est"," 9","Calgary",190,19,12,36,3,1,261,441
"Calgary Northeast/Calgary-Nord-Est"," 10","Calgary",195,21,14,27,7,0,264,468
"Calgary Northeast/Calgary-Nord-Est"," 11","Calgary",182,29,11,22,5,1,250,499
"Calgary Northeast/Calgary-Nord-Est"," 12","Calgary",183,25,12,15,6,1,242,423
"Calgary Northeast/Calgary-Nord-Est"," 13A","Calgary",135,24,6,9,5,0,179,305
"Calgary Northeast/Calgary-Nord-Est"," 13B","Calgary",113,22,12,12,2,0,161,277
"Calgary Northeast/Calgary-Nord-Est"," 14","Calgary",253,28,8,18,6,2,315,481
"Calgary Northeast/Calgary-Nord-Est"," 15","Calgary",194,24,15,26,1,0,260,341
"Calgary Northeast/Calgary-Nord-Est"," 16A","Calgary",176,15,11,5,0,1,208,317
"Calgary Northeast/Calgary-Nord-Est"," 16B","Calgary",152,27,13,5,1,0,198,335
"Calgary Northeast/Calgary-Nord-Est"," 17","Calgary",233,26,16,17,3,1,296,466
"Calgary Northeast/Calgary-Nord-Est"," 18","Calgary",210,37,15,36,7,0,305,502
"Calgary Northeast/Calgary-Nord-Est"," 19","Calgary",261,28,7,25,1,1,323,495
"Calgary Northeast/Calgary-Nord-Est"," 20","Calgary",201,41,9,27,3,1,282,445
"Calgary Northeast/Calgary-Nord-Est"," 21","Calgary",231,23,15,23,4,2,298,554
"Calgary Northeast/Calgary-Nord-Est"," 22","Calgary",131,23,12,19,3,0,188,322
"Calgary Northeast/Calgary-Nord-Est"," 23A","Calgary",117,20,10,18,2,0,167,319
"Calgary Northeast/Calgary-Nord-Est"," 23B","Mobile poll/Bureau itinérant",Merged with No. 1-1C/Fusionné avec le nº 1-1C,,,,,,,52
"Calgary Northeast/Calgary-Nord-Est"," 24","Calgary",Merged with No. 24-1/Fusionné avec le nº 24-1,,,,,,,17
"Calgary Northeast/Calgary-Nord-Est"," 24-1","Calgary",112,40,2,7,3,1,165,333
"Calgary Northeast/Calgary-Nord-Est"," 24-2","Calgary",94,35,8,11,0,0,148,271
"Calgary Northeast/Calgary-Nord-Est"," 25A","Calgary",114,45,3,12,2,2,178,388
