Province,Valid Votes_SVR Group 1/Votes valides_RES Groupe 1,Valid Votes_SVR Group 2/Votes valides_RES Groupe 2,Total Valid Votes/Total des votes valides
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",1398,3934,5332
"Prince Edward Island/Île-du-Prince-Édouard",307,3935,4242
"Nova Scotia/Nouvelle-Écosse",2727,12109,14836
"New Brunswick/Nouveau-Brunswick",1461,13656,15117
"Quebec/Québec",9245,105898,115143
"Ontario",13709,150751,164460
"Manitoba",1670,15553,17223
"Saskatchewan",1420,13625,15045
"Alberta",3600,35158,38758
"British Columbia/Colombie-Britannique",4312,41465,45777
"Yukon",54,1325,1379
"Northwest Territories/Territoires du Nord-Ouest",163,766,929
"Nunavut",50,99,149
