Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rolf Bramann,Audrey Castonguay,Christine Dandenault,David-Roger Gagnon,Vicky Harvey,Blair T. Longley,Réal Ménard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Hochelaga/Hochelaga"," 1A","Montréal",8,20,1,11,48,1,61,2,152,265
"Hochelaga/Hochelaga"," 1B","Montréal",11,21,1,13,85,0,42,0,173,345
"Hochelaga/Hochelaga"," 2","Montréal",13,32,1,19,72,0,88,2,227,415
"Hochelaga/Hochelaga"," 3","Montréal",6,35,0,14,54,0,68,2,179,397
"Hochelaga/Hochelaga"," 4","Montréal",10,33,0,14,36,1,50,1,145,249
"Hochelaga/Hochelaga"," 5","Montréal",6,48,0,30,56,1,114,2,257,418
"Hochelaga/Hochelaga"," 6","Montréal",6,63,4,25,75,0,104,5,282,444
"Hochelaga/Hochelaga"," 7","Montréal",17,66,0,24,78,0,113,9,307,548
"Hochelaga/Hochelaga"," 8","Montréal",4,52,2,16,80,3,69,5,231,389
"Hochelaga/Hochelaga"," 9","Montréal",10,29,2,22,99,2,57,6,227,437
"Hochelaga/Hochelaga"," 10","Montréal",5,50,1,8,68,1,85,2,220,381
"Hochelaga/Hochelaga"," 11","Montréal",14,36,1,14,70,2,65,2,204,402
"Hochelaga/Hochelaga"," 12","Montréal",3,25,2,9,59,2,79,2,181,383
"Hochelaga/Hochelaga"," 13","Montréal",0,15,1,3,18,0,20,1,58,397
"Hochelaga/Hochelaga"," 14","Montréal",6,46,3,15,102,0,50,5,227,349
"Hochelaga/Hochelaga"," 15","Montréal",2,20,0,13,50,0,38,1,124,198
"Hochelaga/Hochelaga"," 16","Montréal",7,30,3,14,57,1,132,2,246,425
"Hochelaga/Hochelaga"," 17","Montréal",9,37,2,18,56,1,67,3,193,386
"Hochelaga/Hochelaga"," 18","Montréal",10,34,1,16,69,0,91,4,225,382
"Hochelaga/Hochelaga"," 19","Montréal",7,23,1,8,69,1,72,4,185,325
"Hochelaga/Hochelaga"," 20","Montréal",6,36,1,14,55,2,67,5,186,305
"Hochelaga/Hochelaga"," 21","Montréal",6,36,1,19,58,2,108,3,233,386
"Hochelaga/Hochelaga"," 22","Montréal",9,11,0,3,38,2,53,4,120,239
"Hochelaga/Hochelaga"," 23","Montréal",4,35,2,15,33,0,66,1,156,267
"Hochelaga/Hochelaga"," 24","Montréal",10,36,1,23,64,1,96,7,238,469
"Hochelaga/Hochelaga"," 25","Montréal",7,28,1,30,70,3,90,4,233,436
"Hochelaga/Hochelaga"," 26","Montréal",15,36,0,22,49,3,122,2,249,385
"Hochelaga/Hochelaga"," 27","Montréal",7,22,1,15,40,0,97,5,187,305
"Hochelaga/Hochelaga"," 28","Montréal",6,54,0,20,66,2,113,3,264,375
"Hochelaga/Hochelaga"," 29","Montréal",7,29,0,19,41,0,68,2,166,314
"Hochelaga/Hochelaga"," 30","Montréal",7,23,1,21,51,2,83,2,190,422
"Hochelaga/Hochelaga"," 31","Montréal",7,33,0,17,40,3,83,4,187,336
"Hochelaga/Hochelaga"," 32","Montréal",11,34,1,18,42,1,132,7,246,469
"Hochelaga/Hochelaga"," 33","Montréal",12,29,3,6,41,1,96,5,193,394
"Hochelaga/Hochelaga"," 34","Montréal",11,35,2,13,39,0,98,2,200,388
"Hochelaga/Hochelaga"," 35","Montréal",6,25,0,14,34,2,83,1,165,336
"Hochelaga/Hochelaga"," 36","Montréal",7,20,0,15,72,1,101,0,216,453
"Hochelaga/Hochelaga"," 37","Montréal",9,30,0,11,55,1,110,2,218,492
"Hochelaga/Hochelaga"," 38","Montréal",6,29,2,26,43,2,139,5,252,398
"Hochelaga/Hochelaga"," 39","Montréal",6,30,3,28,45,0,128,1,241,494
"Hochelaga/Hochelaga"," 40","Montréal",5,17,1,7,22,2,89,0,143,262
"Hochelaga/Hochelaga"," 41","Montréal",5,19,2,20,43,1,64,2,156,301
"Hochelaga/Hochelaga"," 42","Montréal",11,34,2,22,52,4,120,3,248,479
"Hochelaga/Hochelaga"," 43","Montréal",13,38,2,25,50,1,151,2,282,485
"Hochelaga/Hochelaga"," 44","Montréal",8,35,0,25,26,3,135,3,235,399
"Hochelaga/Hochelaga"," 45","Montréal",10,20,0,12,40,0,103,0,185,378
"Hochelaga/Hochelaga"," 46","Montréal",13,21,1,34,47,1,104,4,225,500
"Hochelaga/Hochelaga"," 47","Montréal",9,32,2,25,55,0,90,3,216,444
"Hochelaga/Hochelaga"," 48","Montréal",9,23,1,18,31,1,90,3,176,423
"Hochelaga/Hochelaga"," 49","Montréal",10,25,1,33,46,2,142,3,262,434
"Hochelaga/Hochelaga"," 50","Montréal",20,39,0,43,62,5,144,2,315,488
"Hochelaga/Hochelaga"," 51","Montréal",10,32,2,20,42,0,119,3,228,429
"Hochelaga/Hochelaga"," 52","Montréal",22,29,0,26,38,1,134,5,255,382
"Hochelaga/Hochelaga"," 53","Montréal",13,30,2,15,38,0,135,2,235,427
"Hochelaga/Hochelaga"," 54","Montréal",10,35,0,27,53,1,111,2,239,449
"Hochelaga/Hochelaga"," 55","Montréal",3,18,0,15,42,0,115,1,194,343
"Hochelaga/Hochelaga"," 56","Montréal",1,42,1,18,67,1,127,1,258,481
"Hochelaga/Hochelaga"," 57","Montréal",3,40,1,19,32,1,56,1,153,283
"Hochelaga/Hochelaga"," 58","Montréal",6,24,2,4,26,0,83,2,147,253
"Hochelaga/Hochelaga"," 59","Montréal",12,34,0,19,55,1,125,2,248,411
"Hochelaga/Hochelaga"," 60","Montréal",11,37,0,10,49,1,132,3,243,381
"Hochelaga/Hochelaga"," 61","Montréal",8,36,1,13,62,0,125,2,247,394
"Hochelaga/Hochelaga"," 62","Montréal",17,60,0,27,67,2,159,5,337,466
"Hochelaga/Hochelaga"," 63","Montréal",14,46,0,24,67,0,140,1,292,409
"Hochelaga/Hochelaga"," 64","Montréal",11,40,1,22,44,2,93,3,216,334
"Hochelaga/Hochelaga"," 65","Montréal",13,50,1,21,44,0,113,2,244,391
"Hochelaga/Hochelaga"," 66","Montréal",11,79,1,12,76,2,127,4,312,463
"Hochelaga/Hochelaga"," 67","Montréal",5,30,0,20,25,0,64,0,144,267
"Hochelaga/Hochelaga"," 68","Montréal",7,56,1,14,46,1,87,4,216,381
"Hochelaga/Hochelaga"," 69","Montréal",14,48,0,30,60,1,102,2,257,428
"Hochelaga/Hochelaga"," 70","Montréal",8,22,1,17,33,1,162,4,248,394
"Hochelaga/Hochelaga"," 71","Montréal",13,19,0,23,22,0,106,2,185,276
"Hochelaga/Hochelaga"," 72","Montréal",Void/Supprimé,,,,,,,,,
"Hochelaga/Hochelaga"," 73","Montréal",8,23,2,15,28,1,131,0,208,440
"Hochelaga/Hochelaga"," 74","Montréal",16,28,1,16,24,0,92,4,181,330
"Hochelaga/Hochelaga"," 75","Montréal",9,39,1,23,30,0,128,8,238,378
"Hochelaga/Hochelaga"," 76","Montréal",14,43,2,27,50,2,188,7,333,528
"Hochelaga/Hochelaga"," 77","Montréal",7,35,0,17,33,2,127,6,227,387
"Hochelaga/Hochelaga"," 78","Montréal",7,33,1,16,15,1,150,5,228,386
"Hochelaga/Hochelaga"," 79","Montréal",16,40,1,22,31,3,169,3,285,492
"Hochelaga/Hochelaga"," 80","Montréal",6,28,1,15,21,0,88,4,163,264
"Hochelaga/Hochelaga"," 81","Montréal",7,15,0,8,16,1,106,2,155,294
"Hochelaga/Hochelaga"," 82","Montréal",7,29,1,8,9,0,104,0,158,257
"Hochelaga/Hochelaga"," 83","Montréal",8,24,0,13,22,3,148,4,222,377
"Hochelaga/Hochelaga"," 84","Montréal",6,22,2,9,13,1,90,2,145,247
"Hochelaga/Hochelaga"," 85A","Montréal",2,25,0,5,19,1,75,3,130,311
"Hochelaga/Hochelaga"," 85B","Montréal",2,22,0,11,23,2,92,1,153,280
"Hochelaga/Hochelaga"," 86","Montréal",4,17,1,12,21,2,74,2,133,303
"Hochelaga/Hochelaga"," 87","Montréal",5,24,1,23,42,3,105,4,207,460
"Hochelaga/Hochelaga"," 88","Montréal",7,13,0,17,13,1,116,5,172,350
"Hochelaga/Hochelaga"," 89A","Montréal",9,12,0,16,22,1,90,0,150,279
"Hochelaga/Hochelaga"," 89B","Montréal",12,6,1,20,26,0,68,3,136,304
"Hochelaga/Hochelaga"," 90","Montréal",5,21,1,14,23,0,114,4,182,296
"Hochelaga/Hochelaga"," 91","Montréal",12,28,0,37,29,3,150,2,261,393
"Hochelaga/Hochelaga"," 92","Montréal",4,16,2,13,22,2,110,2,171,396
"Hochelaga/Hochelaga"," 93A","Montréal",11,14,1,17,8,0,87,2,140,298
"Hochelaga/Hochelaga"," 93B","Montréal",4,4,0,12,9,0,79,3,111,277
"Hochelaga/Hochelaga"," 94","Montréal",14,29,1,13,45,2,171,5,280,468
"Hochelaga/Hochelaga"," 95A","Montréal",5,16,2,8,19,1,71,3,125,317
"Hochelaga/Hochelaga"," 95B","Montréal",8,6,1,16,12,3,114,0,160,333
"Hochelaga/Hochelaga"," 96","Montréal",5,14,0,12,21,1,128,2,183,472
"Hochelaga/Hochelaga"," 97A","Montréal",7,12,0,33,15,4,132,1,204,384
"Hochelaga/Hochelaga"," 97B","Montréal",1,4,0,7,16,0,60,2,90,193
"Hochelaga/Hochelaga"," 98","Montréal",9,18,0,20,9,3,135,2,196,428
"Hochelaga/Hochelaga"," 99","Montréal",18,21,1,24,13,1,152,5,235,474
"Hochelaga/Hochelaga"," 100","Montréal",17,17,0,30,15,4,164,4,251,486
"Hochelaga/Hochelaga"," 101","Montréal",14,14,2,14,22,1,116,4,187,413
"Hochelaga/Hochelaga"," 102","Montréal",21,13,1,25,13,1,144,2,220,428
"Hochelaga/Hochelaga"," 103","Montréal",3,2,0,4,3,4,64,1,81,197
"Hochelaga/Hochelaga"," 104","Montréal",10,15,1,19,23,1,140,3,212,419
"Hochelaga/Hochelaga"," 105","Montréal",15,13,0,25,23,3,131,2,212,463
"Hochelaga/Hochelaga"," 106","Montréal",11,11,0,19,14,4,109,3,171,335
"Hochelaga/Hochelaga"," 107","Montréal",6,13,3,13,12,3,111,3,164,352
"Hochelaga/Hochelaga"," 108","Montréal",15,4,1,13,12,2,142,5,194,371
"Hochelaga/Hochelaga"," 109","Montréal",12,14,0,18,15,5,128,1,193,380
"Hochelaga/Hochelaga"," 110","Montréal",13,12,0,18,20,2,127,3,195,377
"Hochelaga/Hochelaga"," 111","Montréal",10,17,1,28,21,2,233,7,319,487
"Hochelaga/Hochelaga"," 112","Montréal",16,21,3,22,24,1,160,4,251,462
"Hochelaga/Hochelaga"," 113","Montréal",24,14,0,22,28,0,159,7,254,533
"Hochelaga/Hochelaga"," 114","Montréal",17,27,3,35,7,4,172,6,271,485
"Hochelaga/Hochelaga"," 115","Montréal",8,11,0,21,22,0,137,3,202,411
"Hochelaga/Hochelaga"," 116","Montréal",13,24,4,22,31,4,111,1,210,435
"Hochelaga/Hochelaga"," 117","Montréal",18,16,1,21,18,1,111,3,189,406
"Hochelaga/Hochelaga"," 118","Montréal",14,25,1,15,29,1,156,3,244,506
"Hochelaga/Hochelaga"," 119","Montréal",7,16,1,15,15,0,102,5,161,313
"Hochelaga/Hochelaga"," 120A","Montréal",4,9,0,4,7,1,72,1,98,219
"Hochelaga/Hochelaga"," 120B","Montréal",21,16,2,17,25,4,157,3,245,409
"Hochelaga/Hochelaga"," 121","Montréal",11,14,2,22,12,5,160,0,226,475
"Hochelaga/Hochelaga"," 122","Montréal",11,7,0,13,14,3,138,4,190,439
"Hochelaga/Hochelaga"," 123","Montréal",15,14,0,24,9,3,104,0,169,442
"Hochelaga/Hochelaga"," 124A","Montréal",5,7,3,12,8,1,110,0,146,337
"Hochelaga/Hochelaga"," 124B","Montréal",0,9,0,13,7,0,54,2,85,214
"Hochelaga/Hochelaga"," 125","Montréal",7,11,0,9,17,0,166,8,218,398
"Hochelaga/Hochelaga"," 126","Montréal",9,20,1,8,45,1,121,1,206,391
"Hochelaga/Hochelaga"," 127A","Montréal",8,12,0,15,39,6,83,3,166,317
"Hochelaga/Hochelaga"," 127B","Montréal",2,7,0,9,4,1,89,2,114,266
"Hochelaga/Hochelaga"," 128","Montréal",8,8,0,10,25,3,112,0,166,405
"Hochelaga/Hochelaga"," 129","Montréal",10,22,0,19,20,3,143,5,222,497
"Hochelaga/Hochelaga"," 130","Montréal",7,15,0,20,22,1,131,3,199,419
"Hochelaga/Hochelaga"," 131","Montréal",6,16,1,15,12,1,116,3,170,361
"Hochelaga/Hochelaga"," 132","Montréal",8,22,0,24,13,5,138,5,215,391
"Hochelaga/Hochelaga"," 133","Montréal",18,24,1,16,16,1,161,4,241,494
"Hochelaga/Hochelaga"," 134","Montréal",24,17,1,24,15,1,165,4,251,477
"Hochelaga/Hochelaga"," 135","Montréal",16,12,1,21,19,2,148,5,224,509
"Hochelaga/Hochelaga"," 136","Montréal",4,11,2,13,12,2,112,0,156,325
"Hochelaga/Hochelaga"," 137","Montréal",10,15,1,33,16,2,158,1,236,501
"Hochelaga/Hochelaga"," 138A","Montréal",8,5,1,15,11,3,107,1,151,346
"Hochelaga/Hochelaga"," 138B","Montréal",8,10,1,8,6,4,90,0,127,271
"Hochelaga/Hochelaga"," 139","Montréal",6,10,4,30,10,0,133,2,195,365
"Hochelaga/Hochelaga"," 140","Montréal",16,12,0,25,16,2,148,2,221,402
"Hochelaga/Hochelaga"," 141","Montréal",14,7,0,13,12,3,115,6,170,340
"Hochelaga/Hochelaga"," 142","Montréal",7,8,4,10,14,1,56,1,101,162
"Hochelaga/Hochelaga"," 143","Montréal",8,16,0,24,11,2,112,4,177,338
"Hochelaga/Hochelaga"," 144","Montréal",14,17,0,22,18,4,146,1,222,470
"Hochelaga/Hochelaga"," 145","Montréal",10,12,1,24,20,1,130,0,198,329
