Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colleen Beaumier,Bal Gosal,Jaipaul Massey-Singh,Jagtar Singh Shergill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Brampton West/Brampton-Ouest"," 1","Brampton",88,97,9,21,0,215,360
"Brampton West/Brampton-Ouest"," 2","Brampton",93,89,4,32,0,218,383
"Brampton West/Brampton-Ouest"," 3","Brampton",108,65,9,21,1,204,350
"Brampton West/Brampton-Ouest"," 4","Brampton",120,99,9,20,1,249,428
"Brampton West/Brampton-Ouest"," 5","Brampton",118,104,9,20,3,254,422
"Brampton West/Brampton-Ouest"," 6","Brampton",92,85,7,24,3,211,357
"Brampton West/Brampton-Ouest"," 7","Brampton",Merged with No. 6/Fusionné avec le nº 6,,,,,,15
"Brampton West/Brampton-Ouest"," 8","Brampton",Merged with No. 6/Fusionné avec le nº 6,,,,,,3
"Brampton West/Brampton-Ouest"," 9","Brampton",66,63,9,19,0,157,292
"Brampton West/Brampton-Ouest"," 10","Brampton",84,68,5,22,1,180,320
"Brampton West/Brampton-Ouest"," 11","Brampton",94,82,8,26,2,212,353
"Brampton West/Brampton-Ouest"," 12","Brampton",92,51,2,26,1,172,337
"Brampton West/Brampton-Ouest"," 13","Brampton",90,44,4,20,0,158,293
"Brampton West/Brampton-Ouest"," 14","Brampton",Void/Supprimé,,,,,,
"Brampton West/Brampton-Ouest"," 15","Brampton",Void/Supprimé,,,,,,
"Brampton West/Brampton-Ouest"," 16A","Brampton",107,86,9,31,0,233,380
"Brampton West/Brampton-Ouest"," 16B","Brampton",93,63,7,19,0,182,402
"Brampton West/Brampton-Ouest"," 17","Brampton",65,47,6,22,1,141,259
"Brampton West/Brampton-Ouest"," 18","Brampton",Void/Supprimé,,,,,,
"Brampton West/Brampton-Ouest"," 19A","Brampton",40,55,2,13,0,110,211
"Brampton West/Brampton-Ouest"," 19B","Brampton",61,42,5,7,0,115,222
"Brampton West/Brampton-Ouest"," 20","Brampton",96,59,8,38,0,201,362
"Brampton West/Brampton-Ouest"," 21A","Brampton",105,61,8,22,3,199,291
"Brampton West/Brampton-Ouest"," 21B","Brampton",55,33,2,12,1,103,313
"Brampton West/Brampton-Ouest"," 22A","Brampton",77,43,7,10,0,137,317
"Brampton West/Brampton-Ouest"," 22B","Brampton",63,60,6,27,0,156,298
"Brampton West/Brampton-Ouest"," 23","Brampton",Merged with No. 22B/Fusionné avec le nº 22B,,,,,,19
"Brampton West/Brampton-Ouest"," 24","Brampton",39,78,10,17,1,145,258
"Brampton West/Brampton-Ouest"," 25A","Brampton",95,39,7,23,2,166,376
"Brampton West/Brampton-Ouest"," 25B","Brampton",82,39,1,20,1,143,354
"Brampton West/Brampton-Ouest"," 26","Brampton",124,61,10,26,0,221,478
"Brampton West/Brampton-Ouest"," 27","Brampton",79,52,4,18,0,153,309
"Brampton West/Brampton-Ouest"," 28","Brampton",90,49,3,14,0,156,382
"Brampton West/Brampton-Ouest"," 29","Brampton",82,31,6,16,0,135,343
"Brampton West/Brampton-Ouest"," 30A","Brampton",76,30,2,4,0,112,260
"Brampton West/Brampton-Ouest"," 30B","Brampton",64,42,3,7,1,117,243
"Brampton West/Brampton-Ouest"," 31A","Brampton",69,35,2,12,1,119,278
"Brampton West/Brampton-Ouest"," 31B","Brampton",60,32,2,15,3,112,285
"Brampton West/Brampton-Ouest"," 32A","Brampton",118,83,5,31,0,237,490
"Brampton West/Brampton-Ouest"," 32B","Brampton",146,75,5,27,1,254,544
"Brampton West/Brampton-Ouest"," 32C","Brampton",149,70,15,41,0,275,476
"Brampton West/Brampton-Ouest"," 33","Brampton",116,62,5,36,1,220,475
"Brampton West/Brampton-Ouest"," 34","Brampton",121,74,9,19,1,224,467
"Brampton West/Brampton-Ouest"," 35","Brampton",98,55,12,18,2,185,377
"Brampton West/Brampton-Ouest"," 36","Brampton",115,57,11,22,1,206,397
"Brampton West/Brampton-Ouest"," 37A","Brampton",150,70,4,21,0,245,460
"Brampton West/Brampton-Ouest"," 37B","Brampton",162,96,6,24,1,289,559
"Brampton West/Brampton-Ouest"," 37C","Brampton",144,66,6,20,1,237,487
"Brampton West/Brampton-Ouest"," 37D","Brampton",132,92,9,24,0,257,482
"Brampton West/Brampton-Ouest"," 37E","Brampton",166,96,6,34,1,303,555
"Brampton West/Brampton-Ouest"," 37F","Brampton",125,102,5,27,0,259,497
"Brampton West/Brampton-Ouest"," 37G","Brampton",127,71,2,25,0,225,457
"Brampton West/Brampton-Ouest"," 37H","Brampton",135,83,7,26,4,255,478
"Brampton West/Brampton-Ouest"," 37I","Brampton",139,75,7,20,0,241,411
"Brampton West/Brampton-Ouest"," 37J","Brampton",92,54,5,22,0,173,360
"Brampton West/Brampton-Ouest"," 38","Brampton",48,32,1,16,0,97,211
"Brampton West/Brampton-Ouest"," 39","Brampton",66,66,8,25,2,167,297
"Brampton West/Brampton-Ouest"," 40","Brampton",75,47,1,7,0,130,274
"Brampton West/Brampton-Ouest"," 41","Brampton",90,57,8,21,0,176,324
