Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Brooks,Angel Claypool,Patrick Meyer,Vicki Lee Sloan,Mark Warawa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Langley/Langley"," 183","Langley",41,73,27,2,107,1,251,466
"Langley/Langley"," 184","Langley",50,36,6,1,123,0,216,352
"Langley/Langley"," 185","Langley",60,47,9,0,117,0,233,409
"Langley/Langley"," 186","Langley",91,53,9,0,207,1,361,589
"Langley/Langley"," 187A","Langley",43,36,4,0,75,0,158,325
"Langley/Langley"," 187B","Langley",33,38,9,1,81,0,162,323
"Langley/Langley"," 188","Langley",44,79,11,1,96,2,233,402
"Langley/Langley"," 189","Langley",46,32,7,0,81,0,166,337
"Langley/Langley"," 190","Langley",32,48,12,2,80,1,175,332
"Langley/Langley"," 191","Langley",43,60,13,1,115,1,233,473
"Langley/Langley"," 192","Langley",43,66,11,2,139,1,262,467
"Langley/Langley"," 193","Langley",55,80,10,1,93,0,239,350
"Langley/Langley"," 400","Langley",Merged with No. 63/Fusionné avec le nº 63,,,,,,,212
"Langley/Langley"," 401","Langley",30,22,4,1,50,4,111,161
"Langley/Langley"," 500","Mobile poll/Bureau itinérant",10,18,5,4,47,5,89,202
"Langley/Langley"," 501","Mobile poll/Bureau itinérant",12,14,5,1,10,0,42,61
"Langley/Langley"," 502","Mobile poll/Bureau itinérant",21,25,4,1,44,4,99,119
"Langley/Langley"," 600","Langley",122,63,23,0,317,0,525,
"Langley/Langley"," 601","Langley",215,98,37,1,493,3,847,
"Langley/Langley"," 602","Langley",71,48,14,0,315,1,449,
"Langley/Langley"," 603","Langley",128,61,24,3,260,0,476,
"Langley/Langley"," 604","Langley",77,51,14,0,205,0,347,
"Langley/Langley"," 605","Langley",108,65,13,1,314,0,501,
"Langley/Langley"," 606","Langley",47,28,7,0,127,0,209,
"Langley/Langley"," 607","Langley",52,23,7,1,143,0,226,
"Langley/Langley"," 608","Langley",48,36,6,1,175,1,267,
"Langley/Langley",,Group 1/Groupe 1,22,13,7,1,28,0,71,144
"Langley/Langley",,Group 2/Groupe 2,256,116,35,5,650,10,1072,
