Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Françoise Boivin,Anne Levesque,Richard Nadeau,Patrick Robert,Gail Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Gatineau/Gatineau"," 1","Gatineau",51,18,94,58,9,1,231,446
"Gatineau/Gatineau"," 2","Gatineau",48,19,94,45,7,3,216,409
"Gatineau/Gatineau"," 3A","Gatineau",26,27,59,7,3,1,123,264
"Gatineau/Gatineau"," 3B","Gatineau",33,12,52,12,3,0,112,237
"Gatineau/Gatineau"," 4","Gatineau",43,28,82,17,4,2,176,373
"Gatineau/Gatineau"," 5","Gatineau",40,24,67,17,4,1,153,261
"Gatineau/Gatineau"," 6","Gatineau",60,32,118,21,9,4,244,354
"Gatineau/Gatineau"," 7","Gatineau",48,25,95,22,9,1,200,314
"Gatineau/Gatineau"," 8","Gatineau",50,35,102,36,15,0,238,347
"Gatineau/Gatineau"," 9","Gatineau",70,23,93,48,5,0,239,373
"Gatineau/Gatineau"," 10","Gatineau",71,30,89,40,13,0,243,341
"Gatineau/Gatineau"," 11","Gatineau",45,37,103,18,6,0,209,311
"Gatineau/Gatineau"," 12","Gatineau",77,15,62,17,4,0,175,238
"Gatineau/Gatineau"," 13","Gatineau",47,24,102,34,13,2,222,315
"Gatineau/Gatineau"," 14","Gatineau",71,30,132,38,5,1,277,454
"Gatineau/Gatineau"," 15","Gatineau",62,15,53,32,4,1,167,317
"Gatineau/Gatineau"," 16A","Gatineau",54,14,57,27,4,1,157,238
"Gatineau/Gatineau"," 16B","Gatineau",37,19,65,30,6,1,158,246
"Gatineau/Gatineau"," 17","Gatineau",81,24,62,28,6,1,202,337
"Gatineau/Gatineau"," 18","Gatineau",69,31,74,34,8,1,217,315
"Gatineau/Gatineau"," 19","Gatineau",75,31,78,37,11,1,233,332
"Gatineau/Gatineau"," 20","Gatineau",102,29,99,44,12,0,286,406
"Gatineau/Gatineau"," 21","Gatineau",52,20,94,22,8,3,199,282
"Gatineau/Gatineau"," 22","Gatineau",45,27,77,28,11,1,189,317
"Gatineau/Gatineau"," 23","Gatineau",116,28,73,37,11,10,275,361
"Gatineau/Gatineau"," 24","Gatineau",103,34,94,44,4,1,280,457
"Gatineau/Gatineau"," 25","Gatineau",90,19,80,43,14,2,248,364
"Gatineau/Gatineau"," 26","Gatineau",70,23,76,29,7,4,209,350
"Gatineau/Gatineau"," 27","Gatineau",78,22,92,48,8,2,250,396
"Gatineau/Gatineau"," 28","Gatineau",83,25,79,54,3,4,248,388
"Gatineau/Gatineau"," 29","Gatineau",70,28,98,24,6,1,227,400
"Gatineau/Gatineau"," 30","Gatineau",82,33,79,52,12,1,259,345
"Gatineau/Gatineau"," 31","Gatineau",83,27,84,63,8,0,265,386
"Gatineau/Gatineau"," 32","Gatineau",63,19,96,27,6,5,216,359
"Gatineau/Gatineau"," 33A","Gatineau",29,9,44,16,3,0,101,200
"Gatineau/Gatineau"," 33B","Gatineau",48,16,43,24,7,1,139,245
"Gatineau/Gatineau"," 34","Gatineau",65,24,70,37,3,1,200,288
"Gatineau/Gatineau"," 35","Gatineau",86,22,75,46,8,2,239,360
"Gatineau/Gatineau"," 36","Gatineau",99,25,71,37,7,1,240,364
"Gatineau/Gatineau"," 37","Gatineau",76,15,64,39,5,4,203,357
"Gatineau/Gatineau"," 38","Gatineau",60,24,54,28,9,3,178,343
"Gatineau/Gatineau"," 39","Gatineau",55,14,79,16,5,2,171,368
"Gatineau/Gatineau"," 40","Gatineau",75,12,82,30,7,1,207,378
"Gatineau/Gatineau"," 41","Gatineau",70,14,72,42,1,1,200,382
"Gatineau/Gatineau"," 42","Gatineau",59,9,45,36,3,0,152,324
"Gatineau/Gatineau"," 43","Gatineau",60,18,79,38,5,2,202,398
"Gatineau/Gatineau"," 44","Gatineau",31,23,69,28,3,1,155,343
"Gatineau/Gatineau"," 45","Gatineau",32,14,59,29,3,0,137,262
"Gatineau/Gatineau"," 46","Gatineau",51,22,68,27,3,4,175,329
"Gatineau/Gatineau"," 47","Gatineau",53,20,81,29,3,3,189,384
"Gatineau/Gatineau"," 48A","Gatineau",43,12,55,14,1,1,126,318
"Gatineau/Gatineau"," 48B","Gatineau",47,10,67,17,8,0,149,383
"Gatineau/Gatineau"," 49","Gatineau",46,12,74,40,7,1,180,418
"Gatineau/Gatineau"," 50A","Gatineau",24,8,38,21,2,2,95,219
"Gatineau/Gatineau"," 50B","Gatineau",29,9,52,17,4,0,111,247
