Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Russ Aegard,Ken Boshcoff,David Leskowski,Doug MacKay,John Rafferty,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 1A","Nestor Falls",0,29,29,1,13,0,72,180
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 1B","Nestor Falls",0,30,0,2,28,0,60,87
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 2","Morson",Void/Supprimé,,,,,,,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 3","Bergland",5,28,47,1,37,3,121,171
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 4","North Branch",4,35,62,1,22,0,124,245
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 5","Atwood",0,8,29,0,19,0,56,112
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 6","Rainy River",0,28,32,1,43,0,104,271
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 7","Rainy River",6,47,70,0,76,1,200,499
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 8","Sleeman",2,18,34,2,14,0,70,146
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 9","Pinewood",1,8,32,1,37,0,79,128
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 10","Stratton",5,46,126,0,48,0,225,352
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 11","Barwick",0,21,73,1,23,1,119,235
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 12","Manitou Rapids 11",0,41,2,1,31,0,75,136
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 13","Emo",3,33,153,1,41,1,232,338
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 14","Emo",3,37,72,0,45,0,157,273
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 15","Emo",4,52,117,0,86,0,259,455
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 16","Big Fork",3,19,36,2,20,0,80,120
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 17","Devlin",1,42,71,6,78,2,200,292
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 18","Alberton",3,45,78,1,71,1,199,325
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 19","Burriss",2,25,56,2,70,0,155,246
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 20","Alberton",2,52,76,1,73,0,204,346
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 21","Dance Township",0,14,20,4,46,0,84,218
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 22","Nestor Falls",1,77,11,2,108,1,200,401
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 23","Fort Frances",5,64,46,1,95,1,212,356
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 24","Fort Frances",2,21,25,0,34,0,82,215
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 25","Rocky Inlet",6,37,55,2,59,0,159,254
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 26","Bear Pass",0,35,11,0,30,0,76,115
