Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sandy Agnew,Karen Graham,Jen Hill,Adrian Peter Kooger,Bruce Stanton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Simcoe North/Simcoe-Nord"," 1","Christian Island 30",1,204,11,0,5,0,221,327
"Simcoe North/Simcoe-Nord"," 2","Tiny",23,140,47,1,63,0,274,486
"Simcoe North/Simcoe-Nord"," 3A","Tiny",14,85,19,1,28,1,148,304
"Simcoe North/Simcoe-Nord"," 3B","Tiny",21,63,27,2,33,1,147,308
"Simcoe North/Simcoe-Nord"," 4","Tiny",22,85,29,0,61,0,197,390
"Simcoe North/Simcoe-Nord"," 5","Tiny",15,74,43,2,57,0,191,376
"Simcoe North/Simcoe-Nord"," 6","Tiny",23,146,45,2,70,2,288,441
"Simcoe North/Simcoe-Nord"," 7A","Tiny",12,73,15,1,33,1,135,255
"Simcoe North/Simcoe-Nord"," 7B","Tiny",8,85,15,4,45,1,158,276
"Simcoe North/Simcoe-Nord"," 8","Tiny",7,67,24,1,31,0,130,240
"Simcoe North/Simcoe-Nord"," 9","Tiny",16,93,38,3,85,3,238,402
"Simcoe North/Simcoe-Nord"," 10A","Tiny",19,81,19,0,49,2,170,320
"Simcoe North/Simcoe-Nord"," 10B","Tiny",13,86,26,1,55,0,181,331
"Simcoe North/Simcoe-Nord"," 11","Tiny",22,98,29,4,75,2,230,399
"Simcoe North/Simcoe-Nord"," 12","Tiny",14,116,37,5,86,0,258,497
"Simcoe North/Simcoe-Nord"," 13","Tiny",16,117,39,0,82,0,254,410
"Simcoe North/Simcoe-Nord"," 14A","Tiny",9,77,29,1,65,2,183,296
"Simcoe North/Simcoe-Nord"," 14B","Tiny",15,63,21,1,61,0,161,283
"Simcoe North/Simcoe-Nord"," 15A","Tiny",17,63,28,2,67,0,177,292
"Simcoe North/Simcoe-Nord"," 15B","Tiny",10,65,25,4,85,1,190,299
"Simcoe North/Simcoe-Nord"," 16","Tiny",16,109,27,1,112,0,265,430
"Simcoe North/Simcoe-Nord"," 17","Tiny",12,63,26,1,80,1,183,264
"Simcoe North/Simcoe-Nord"," 18","Tiny",9,21,15,0,54,0,99,150
"Simcoe North/Simcoe-Nord"," 19","Penetanguishene",24,93,28,1,60,0,206,416
"Simcoe North/Simcoe-Nord"," 20","Penetanguishene",11,29,10,4,9,0,63,88
"Simcoe North/Simcoe-Nord"," 21A","Penetanguishene",12,91,36,1,52,0,192,335
"Simcoe North/Simcoe-Nord"," 21B","Penetanguishene",17,92,21,4,34,0,168,310
"Simcoe North/Simcoe-Nord"," 22","Penetanguishene",14,130,36,5,57,2,244,379
"Simcoe North/Simcoe-Nord"," 23","Penetanguishene",11,142,50,2,81,0,286,614
"Simcoe North/Simcoe-Nord"," 24","Penetanguishene",7,70,29,2,26,0,134,310
"Simcoe North/Simcoe-Nord"," 25","Penetanguishene",10,91,18,1,47,3,170,302
"Simcoe North/Simcoe-Nord"," 26","Penetanguishene",15,137,32,1,50,0,235,418
