Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel Champagne,Heward Grafftey,Josianne Jetté,David Marler,Christian Ouellet,Denis Paradis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Brome--Missisquoi/Brome--Missisquoi"," 1","Noyan",3,11,8,47,92,75,5,241,461
"Brome--Missisquoi/Brome--Missisquoi"," 2","Noyan",9,17,13,60,127,90,4,320,522
"Brome--Missisquoi/Brome--Missisquoi"," 3","Saint-Georges-de-Clarenceville",6,4,9,31,50,64,2,166,303
"Brome--Missisquoi/Brome--Missisquoi"," 4","Saint-Georges-de-Clarenceville",9,11,5,52,95,115,1,288,507
"Brome--Missisquoi/Brome--Missisquoi"," 5","Venise-en-Québec",7,8,11,59,108,69,2,264,535
"Brome--Missisquoi/Brome--Missisquoi"," 6","Venise-en-Québec",16,7,11,70,137,73,1,315,612
"Brome--Missisquoi/Brome--Missisquoi"," 7","Henryville",3,14,12,48,126,36,8,247,455
"Brome--Missisquoi/Brome--Missisquoi"," 8A","Henryville",10,21,14,58,123,44,6,276,439
"Brome--Missisquoi/Brome--Missisquoi"," 8B","Mobile poll/Bureau itinérant",0,1,2,0,2,4,0,9,28
"Brome--Missisquoi/Brome--Missisquoi"," 9","Henryville",2,4,10,43,81,34,0,174,264
"Brome--Missisquoi/Brome--Missisquoi"," 10","Saint-Sébastien",2,17,8,51,89,56,5,228,308
"Brome--Missisquoi/Brome--Missisquoi"," 11","Saint-Sébastien",5,13,7,31,62,28,1,147,206
"Brome--Missisquoi/Brome--Missisquoi"," 12","Saint-Pierre-de-Véronne-à-Pike-River",7,12,11,52,96,66,0,244,402
"Brome--Missisquoi/Brome--Missisquoi"," 13A","Notre-Dame-de-Stanbridge",6,12,12,49,75,54,0,208,299
"Brome--Missisquoi/Brome--Missisquoi"," 13B","Mobile poll/Bureau itinérant",Merged with No. 14B/Fusionné avec le nº 14B,,,,,,,,25
"Brome--Missisquoi/Brome--Missisquoi"," 14A","Notre-Dame-de-Stanbridge",5,5,9,50,66,43,2,180,238
"Brome--Missisquoi/Brome--Missisquoi"," 14B","Mobile poll/Bureau itinérant",2,5,1,1,9,9,0,27,29
"Brome--Missisquoi/Brome--Missisquoi"," 15","Stanbridge Station",3,13,10,52,64,54,2,198,268
