Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Aubut,Francis Bedard,Frédérik Boisvert,Yonnel Bonaventure,Caroline Drolet,Christiane Gagnon,Michaël Lessard,Alexandre Raymond-Labrie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Québec/Québec"," 1","Québec",3,1,122,11,26,90,18,7,3,281,410
"Québec/Québec"," 2","Québec",1,7,104,10,20,67,11,4,0,224,383
"Québec/Québec"," 3","Québec",5,0,99,4,7,84,12,8,6,225,430
"Québec/Québec"," 4","Québec",1,0,98,10,16,79,16,5,0,225,322
"Québec/Québec"," 5","Québec",6,1,108,8,13,92,19,5,4,256,422
"Québec/Québec"," 6","Québec",5,2,100,8,20,73,14,2,2,226,439
"Québec/Québec"," 7","Québec",4,2,94,7,20,53,12,5,3,200,354
"Québec/Québec"," 8","Québec",4,2,104,13,30,92,14,2,5,266,525
"Québec/Québec"," 9","Québec",2,4,67,8,11,60,15,3,2,172,367
"Québec/Québec"," 10","Québec",9,3,79,7,17,66,12,0,6,199,387
"Québec/Québec"," 11","Québec",7,0,59,9,10,67,15,1,3,171,296
"Québec/Québec"," 12","Québec",2,3,86,7,18,67,9,2,0,194,337
"Québec/Québec"," 13","Québec",4,1,122,3,4,72,21,5,2,234,387
"Québec/Québec"," 14","Québec",5,2,95,8,8,91,17,6,2,234,428
"Québec/Québec"," 15","Québec",2,3,131,5,9,110,30,6,1,297,476
"Québec/Québec"," 16","Québec",7,0,112,13,13,111,12,6,3,277,484
"Québec/Québec"," 17","Québec",3,0,102,6,26,103,16,4,3,263,442
"Québec/Québec"," 18","Québec",9,0,76,9,12,73,14,3,4,200,326
"Québec/Québec"," 19","Québec",2,1,112,5,11,73,14,8,2,228,354
"Québec/Québec"," 20","Québec",3,2,77,3,15,66,14,1,0,181,284
"Québec/Québec"," 21","Québec",2,1,96,1,17,82,16,5,0,220,366
"Québec/Québec"," 22","Québec",6,1,83,7,15,66,16,4,4,202,375
"Québec/Québec"," 23","Québec",4,0,69,7,9,60,25,4,1,179,396
"Québec/Québec"," 24","Québec",9,5,143,12,68,87,21,2,9,356,545
"Québec/Québec"," 25","Québec",6,0,59,7,27,88,12,4,0,203,346
"Québec/Québec"," 26A","Québec",3,0,121,9,9,94,21,2,1,260,467
"Québec/Québec"," 26B","Québec",2,0,122,7,3,94,16,1,1,246,448
"Québec/Québec"," 27","Québec",3,1,73,6,14,64,9,3,2,175,346
"Québec/Québec"," 28","Québec",3,1,69,12,14,70,18,2,0,189,346
"Québec/Québec"," 29","Québec",6,2,96,10,21,84,22,7,1,249,586
"Québec/Québec"," 30","Québec",6,0,60,1,9,41,14,4,1,136,273
"Québec/Québec"," 31","Québec",4,0,82,5,13,66,12,2,4,188,437
"Québec/Québec"," 32","Québec",3,1,76,2,14,60,13,5,1,175,410
"Québec/Québec"," 33","Québec",3,2,65,6,11,70,9,3,1,170,307
"Québec/Québec"," 34","Québec",11,1,85,1,15,66,10,0,2,191,417
"Québec/Québec"," 35","Québec",10,2,188,11,14,129,28,1,3,386,745
"Québec/Québec"," 35-1","Québec",3,0,99,4,10,71,13,3,0,203,392
"Québec/Québec"," 36","Québec",2,2,44,5,15,34,11,2,4,119,266
"Québec/Québec"," 37","Québec",1,1,53,2,6,39,9,2,2,115,284
"Québec/Québec"," 38","Québec",2,0,63,7,15,50,9,0,0,146,319
"Québec/Québec"," 39","Vanier",5,1,115,5,12,82,7,1,3,231,374
"Québec/Québec"," 40","Vanier",8,2,100,5,10,56,13,3,3,200,330
"Québec/Québec"," 41","Vanier",2,1,70,3,13,73,2,2,2,168,381
"Québec/Québec"," 42","Vanier",12,0,93,3,13,49,7,1,6,184,534
"Québec/Québec"," 43","Vanier",6,2,65,5,10,41,5,2,5,141,409
"Québec/Québec"," 44","Québec",3,1,119,4,22,122,20,2,4,297,536
"Québec/Québec"," 45A","Québec",0,0,62,6,20,85,10,1,2,186,360
"Québec/Québec"," 45B","Québec",2,0,63,10,14,70,11,1,2,173,369
"Québec/Québec"," 46","Vanier",6,2,63,3,15,41,13,1,1,145,379
"Québec/Québec"," 47","Vanier",5,3,47,2,20,43,5,0,2,127,285
"Québec/Québec"," 48","Vanier",2,2,54,1,18,28,7,1,2,115,288
"Québec/Québec"," 49","Vanier",12,1,108,13,23,72,6,3,0,238,522
"Québec/Québec"," 50","Vanier",2,0,67,7,18,51,6,1,0,152,365
"Québec/Québec"," 51","Vanier",5,0,83,9,5,59,8,2,1,172,287
"Québec/Québec"," 52","Vanier",6,1,78,1,8,57,11,2,0,164,308
"Québec/Québec"," 53","Vanier",3,2,77,5,18,48,6,3,2,164,371
"Québec/Québec"," 54","Vanier",4,1,59,3,14,44,12,3,3,143,340
"Québec/Québec"," 55","Vanier",4,0,60,3,5,45,8,1,0,126,361
"Québec/Québec"," 56","Vanier",3,1,44,3,23,34,6,1,1,116,322
"Québec/Québec"," 57","Vanier",7,2,79,2,15,62,9,0,2,178,348
"Québec/Québec"," 58","Vanier",2,3,40,1,12,32,5,1,0,96,206
"Québec/Québec"," 59","Vanier",2,3,70,7,17,53,8,1,2,163,335
"Québec/Québec"," 60","Vanier",2,3,55,3,17,37,12,2,2,133,339
"Québec/Québec"," 61","Vanier",0,2,86,4,22,42,5,2,4,167,397
"Québec/Québec"," 62","Vanier",2,2,54,6,8,27,6,1,3,109,288
"Québec/Québec"," 63","Vanier",1,2,76,6,10,43,7,2,2,149,310
"Québec/Québec"," 64","Vanier",3,0,51,2,4,44,6,3,1,114,261
"Québec/Québec"," 65","Vanier",6,1,43,5,16,41,10,1,5,128,280
"Québec/Québec"," 66","Vanier",13,0,56,3,15,33,2,1,5,128,331
"Québec/Québec"," 67","Québec",6,1,46,1,17,41,9,3,0,124,205
"Québec/Québec"," 68","Québec",3,7,118,10,43,123,26,3,2,335,545
"Québec/Québec"," 69","Québec",2,0,45,15,5,108,23,3,0,201,348
"Québec/Québec"," 70","Québec",2,2,62,6,20,124,22,1,2,241,434
"Québec/Québec"," 71","Québec",1,4,37,7,13,99,11,1,2,175,382
"Québec/Québec"," 72","Québec",1,0,36,12,11,78,19,0,0,157,360
"Québec/Québec"," 73","Québec",4,1,33,7,18,82,14,3,4,166,449
"Québec/Québec"," 74","Québec",1,0,45,5,9,48,9,3,4,124,332
"Québec/Québec"," 75","Québec",1,6,33,13,10,125,29,1,3,221,462
"Québec/Québec"," 76","Québec",2,2,41,13,9,99,29,2,4,201,465
"Québec/Québec"," 77","Québec",2,1,35,7,20,70,17,2,0,154,318
"Québec/Québec"," 78","Québec",1,0,33,11,10,97,19,1,1,173,389
"Québec/Québec"," 79","Québec",3,2,35,15,24,107,30,1,3,220,483
"Québec/Québec"," 80","Québec",1,2,21,7,15,61,16,1,3,127,254
"Québec/Québec"," 81","Québec",2,0,27,38,14,122,43,1,4,251,434
