Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sven Biggs,Dawn Black,Dick Estey,Paul Forseth,Joyce Murray,Joseph Theriault,Paul Warnett,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 147","New Westminster",12,100,1,85,53,0,7,2,260,411
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 148","New Westminster",3,79,1,81,36,0,2,1,203,297
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 149","New Westminster",12,79,0,36,28,0,4,1,160,289
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 150","New Westminster",5,97,0,33,44,0,3,1,183,299
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 151","New Westminster",10,111,1,58,43,0,7,0,230,369
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 152","New Westminster",14,164,2,68,53,0,2,1,304,439
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 153","New Westminster",4,85,0,48,39,0,5,0,181,326
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 154","New Westminster",1,90,0,50,45,0,1,1,188,362
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 155","New Westminster",7,125,0,88,49,0,7,1,277,364
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 156","New Westminster",14,133,0,57,36,1,5,0,246,412
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 157","New Westminster",10,116,1,73,43,0,5,2,250,403
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 158","New Westminster",6,58,0,62,51,0,1,0,178,252
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 159","New Westminster",3,40,0,42,31,0,5,0,121,182
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 160","New Westminster",6,59,0,70,56,0,7,1,199,278
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 161","New Westminster",5,76,0,85,58,0,10,0,234,323
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 162","New Westminster",8,100,1,86,67,0,2,2,266,390
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 163","New Westminster",2,129,0,94,50,0,2,2,279,456
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 164","New Westminster",10,120,1,88,73,0,1,0,293,462
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 165A","New Westminster",3,76,1,60,26,0,2,3,171,258
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 165B","New Westminster",4,82,0,42,35,1,2,4,170,266
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 166A","New Westminster",10,90,2,68,71,0,4,0,245,317
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 166B","New Westminster",9,89,0,43,49,0,1,0,191,317
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 167A","New Westminster",8,80,2,43,39,0,1,1,174,257
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 167B","New Westminster",8,94,0,36,37,1,1,0,177,255
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 168","New Westminster",16,179,0,94,54,0,4,1,348,454
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 169","New Westminster",9,135,0,60,60,0,8,0,272,476
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 170A","New Westminster",6,71,2,61,30,0,3,0,173,272
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 170B","New Westminster",5,63,0,60,48,0,4,0,180,263
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 171","New Westminster",4,68,0,48,66,0,4,2,192,299
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 172","New Westminster",11,108,0,33,40,1,3,0,196,361
