Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sven Biggs,Dawn Black,Dick Estey,Paul Forseth,Joyce Murray,Joseph Theriault,Paul Warnett,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 93A","Coquitlam",4,39,0,68,38,0,1,0,150,239
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 93B","Coquitlam",4,46,1,67,35,0,4,0,157,244
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 94","Coquitlam",4,85,0,116,51,0,7,1,264,462
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 95","Coquitlam",5,53,0,56,46,0,4,0,164,283
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 96","Coquitlam",3,57,1,57,47,0,5,0,170,292
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 97","Coquitlam",7,55,0,56,56,0,0,2,176,344
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 98","Coquitlam",7,86,2,90,70,1,8,0,264,396
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 99","Coquitlam",7,56,0,32,30,1,5,0,131,310
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 100","Coquitlam",4,74,0,48,41,0,6,0,173,333
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 101","Coquitlam",4,53,0,30,40,0,1,0,128,324
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 102","Coquitlam",11,91,0,61,52,3,5,0,223,406
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 103A","Coquitlam",6,60,0,48,43,0,0,1,158,274
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 103B","Coquitlam",7,45,0,54,47,0,1,0,154,301
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 104","Coquitlam",2,102,0,87,80,2,15,1,289,458
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 105","Coquitlam",4,89,1,89,30,0,12,2,227,364
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 106","Coquitlam",5,96,1,74,54,0,8,1,239,414
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 107","Coquitlam",7,103,1,106,59,0,9,0,285,435
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 108A","Coquitlam",6,53,0,51,24,0,2,0,136,272
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 108B","Coquitlam",4,64,0,42,36,0,1,4,151,307
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 109","Coquitlam",2,73,0,51,38,0,2,0,166,339
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 110","Coquitlam",2,90,0,52,43,0,6,1,194,295
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 111","Coquitlam",10,97,0,66,70,0,8,2,253,471
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 112A","Coquitlam",4,47,0,40,40,0,3,0,134,263
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 112B","Coquitlam",3,52,0,40,42,0,4,0,141,284
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 113A","Coquitlam",3,68,0,39,30,0,2,1,143,249
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 113B","Coquitlam",5,65,0,42,23,0,4,0,139,271
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 114","Coquitlam",Void/Supprimé,,,,,,,,,
