Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Howatt,Garry McLean,Brian Pallister,David Reimer,Daren Van Den Bussche,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Portage--Lisgar/Portage--Lisgar"," 124","Morden",20,22,192,5,24,1,264,447
"Portage--Lisgar/Portage--Lisgar"," 125A","Morden",15,15,133,5,18,0,186,319
"Portage--Lisgar/Portage--Lisgar"," 125B","Morden",21,25,147,6,15,0,214,349
"Portage--Lisgar/Portage--Lisgar"," 126","Morden",16,20,189,3,20,0,248,486
"Portage--Lisgar/Portage--Lisgar"," 127A","Morden",18,14,113,3,22,0,170,306
"Portage--Lisgar/Portage--Lisgar"," 127B","Morden",9,13,102,3,12,0,139,302
"Portage--Lisgar/Portage--Lisgar"," 128","Morden",16,22,198,6,15,1,258,523
"Portage--Lisgar/Portage--Lisgar"," 129","Morden",21,19,188,15,25,0,268,441
"Portage--Lisgar/Portage--Lisgar"," 130","Morden",20,11,117,1,16,0,165,323
"Portage--Lisgar/Portage--Lisgar"," 131","Morden",19,19,167,8,19,1,233,437
"Portage--Lisgar/Portage--Lisgar"," 132","Thornhill",19,11,184,4,13,0,231,356
"Portage--Lisgar/Portage--Lisgar"," 133","Morden",10,4,157,8,8,0,187,297
"Portage--Lisgar/Portage--Lisgar"," 134","Morden",10,6,120,3,5,0,144,242
"Portage--Lisgar/Portage--Lisgar"," 135","Brown",10,8,148,3,4,0,173,282
"Portage--Lisgar/Portage--Lisgar"," 136","Winkler",6,4,330,6,8,0,354,568
"Portage--Lisgar/Portage--Lisgar"," 137","Chortitz",3,3,67,2,2,0,77,126
"Portage--Lisgar/Portage--Lisgar"," 138","Schanzenfeld",4,1,268,5,2,3,283,472
"Portage--Lisgar/Portage--Lisgar"," 139","Hochfeld",1,5,190,6,1,0,203,327
"Portage--Lisgar/Portage--Lisgar"," 140","Blumenfeld",0,7,202,7,1,0,217,398
"Portage--Lisgar/Portage--Lisgar"," 141","Winkler",7,10,176,8,4,0,205,346
"Portage--Lisgar/Portage--Lisgar"," 142A","Winkler",4,10,175,3,9,1,202,351
"Portage--Lisgar/Portage--Lisgar"," 142B","Winkler",10,7,196,6,10,0,229,389
"Portage--Lisgar/Portage--Lisgar"," 143","Winkler",5,4,190,8,8,1,216,477
"Portage--Lisgar/Portage--Lisgar"," 144","Winkler",11,5,199,5,6,0,226,429
"Portage--Lisgar/Portage--Lisgar"," 145","Winkler",3,5,214,4,7,0,233,439
"Portage--Lisgar/Portage--Lisgar"," 146A","Winkler",3,3,154,3,2,2,167,295
"Portage--Lisgar/Portage--Lisgar"," 146B","Winkler",3,5,169,5,4,0,186,314
"Portage--Lisgar/Portage--Lisgar"," 147","Winkler",12,6,165,6,16,0,205,357
"Portage--Lisgar/Portage--Lisgar"," 148","Winkler",5,13,236,6,9,1,270,484
"Portage--Lisgar/Portage--Lisgar"," 149","Winkler",8,10,189,5,14,0,226,396
"Portage--Lisgar/Portage--Lisgar"," 150","Winkler",5,14,202,4,8,3,236,540
"Portage--Lisgar/Portage--Lisgar"," 151","Winkler",10,13,190,8,6,1,228,432
"Portage--Lisgar/Portage--Lisgar"," 152","Winkler",4,5,194,4,6,3,216,447
"Portage--Lisgar/Portage--Lisgar"," 153","Winkler",3,3,114,4,11,0,135,355
"Portage--Lisgar/Portage--Lisgar"," 154","Winkler",1,0,120,10,3,0,134,356
"Portage--Lisgar/Portage--Lisgar"," 155","Plum Coulee",1,7,188,11,8,1,216,355
"Portage--Lisgar/Portage--Lisgar"," 156","Plum Coulee",3,4,230,3,4,0,244,419
"Portage--Lisgar/Portage--Lisgar"," 157","Plum Coulee",2,6,112,4,5,1,130,289
"Portage--Lisgar/Portage--Lisgar"," 158","Rosenfeld",6,17,155,9,12,1,200,392
"Portage--Lisgar/Portage--Lisgar"," 159","Gnadenthal",1,0,159,12,1,0,173,329
"Portage--Lisgar/Portage--Lisgar"," 160","Altbergthal",9,3,134,6,4,0,156,221
"Portage--Lisgar/Portage--Lisgar"," 161A","Altona",17,18,116,8,13,1,173,284
"Portage--Lisgar/Portage--Lisgar"," 161B","Altona",17,18,121,4,8,0,168,260
"Portage--Lisgar/Portage--Lisgar"," 162A","Altona",10,23,110,7,12,0,162,261
"Portage--Lisgar/Portage--Lisgar"," 162B","Altona",3,6,110,2,18,1,140,245
"Portage--Lisgar/Portage--Lisgar"," 163","Altona",13,18,192,7,19,0,249,485
"Portage--Lisgar/Portage--Lisgar"," 164","Altona",18,21,228,7,38,2,314,548
